base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.3867377,88.5746856,516.7447735,22.8841457,4.685700547504196e8,OPTIMAL,0,0,0.0,0.0,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909
kmedoids_cross_convex,4,Xpress,6.5367989,0.5721634,2.4724494,4.2606023,0.2737188,6.401378157899857e8,OPTIMAL,3,0,30.05412827004481,-1.4432899320127035e-15,112713,64898,92.9922916,6.054937074305215e8,OPTIMAL,29,110,172.67216213325838,74.17541518527085
kmedoids_cross_convex,4,Xpress,9.569912,1.1004597,3.9137364,4.793628,0.2274201,6.420231729049377e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,112713,64898,65.4110235,6.024665031074675e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,2.3344016,1.2340202,4.6344559,4.9647863,0.233111,6.23944380082428e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,112713,64898,63.4091443,6.00211960655112e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,2.3386369,0.629951,3.2404775,5.2050451,0.2063078,6.447889715671921e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,112713,64898,60.6818415,6.021855056449927e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,1.4384304,0.4877765,2.2798352,4.6595905,0.2055523,6.399929751545563e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,112713,64898,60.3511926,6.050695719668063e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,2.1820964,0.6439648,2.6362232,5.2133101,0.2119659,6.447889715671921e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,112713,64898,61.0806162,6.021855056449925e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,1.7607474,0.5159658,2.6647253,4.4716144,0.194002,6.396736103385696e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,112713,64898,61.530461,5.987569907695615e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,2.4559189,0.5182602,2.3714401,4.673324,0.2069512,6.271813372416077e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,112713,64898,60.5014261,6.005762927568983e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,9.9853439,0.5363247,3.0433708,4.9132443,0.2318206,6.271813372416382e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,112713,64898,62.713616,6.005765785811073e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,4,Xpress,1.0332002,0.5250953,2.921713,4.7812251,0.2110607,6.278275014598999e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,112713,64898,59.6054043,6.013944509881661e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.8764281,0.7374505,3.9306565,11.9517691,0.3430922,6.002774831988525e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,173961,112418,58.504816,5.856591519842505e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,1.9650965,0.6573768,3.4409748,12.5439678,0.3457638,6.036836812723618e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,173961,112418,60.5315449,5.862260070046626e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.3634119,0.7529976,3.9054427,11.3633476,0.3309228,6.054042768334808e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,173961,112418,57.1867351,5.890028858091922e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.1434902,0.6869829,3.4809188,12.0843482,0.3358761,6.049833392353134e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,173961,112418,63.2407166,5.88062228873378e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.567824,0.7443357,4.1147926,12.9748482,0.3160964,6.180411309492874e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,173961,112418,61.2446065,5.918029470845197e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,1.6204361,0.7234156,3.8847369,10.722061,0.3456735,6.21447291477356e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,173961,112418,59.1655272,5.953792725170184e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.4019609,0.7550882,3.8701212,10.7649349,0.3514805,6.092123143115768e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,173961,112418,62.4159625,5.89538019278258e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,1.7671518,0.7144559,3.892947,12.6943467,0.3378837,6.009127967227631e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,173961,112418,59.0868291,5.89300484966394e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.6446118,0.7736758,4.0520069,12.7560286,0.3458045,6.062016844427414e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,173961,112418,60.5160901,5.862778467294337e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,8,Xpress,2.4123153,0.7018675,3.5408868,14.2565578,0.3349497,6.069792728107681e8,OPTIMAL,3,0,30.054128270044824,2.1094237467877974e-15,173961,112418,62.8121055,5.888051837234406e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.8468047,0.9254319,4.8164473,24.8942945,0.4448246,5.928503357012253e8,OPTIMAL,4,0,30.3344651772835,-3.6637359812630166e-15,235209,159938,62.656571,5.841755597318709e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.4998153,0.9004833,4.7528237,20.4799058,0.4433038,5.975713796875763e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,235209,159938,62.2079495,5.877057813208838e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,3.3644601,0.9948427,5.3507733,24.9942515,0.4701704,5.894323416326599e8,OPTIMAL,4,0,30.334472805834636,-3.6637359812630166e-15,235209,159938,65.5502452,5.828909853714576e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.6754044,0.9125331,4.7365765,21.5876611,0.4513117,5.948034493317261e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,235209,159938,61.1957758,5.866024779029157e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,3.0088473,0.9539892,4.9059521,19.668852,0.4951998,5.916721799822006e8,OPTIMAL,13,4,43.478790486568215,1.0045662099999961,235209,159938,61.3160447,5.815512657666278e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.4486805,0.9403373,5.1304463,23.7427795,0.9272964,5.972453183618698e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,235209,159938,61.7686189,5.860776192653868e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.6345074,1.0158479,5.4669291,22.6489692,0.4853573,6.016806557176437e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,235209,159938,61.4791616,5.858880889222307e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.7494426,0.8781455,4.7300463,21.5478466,0.4357301,5.993040439226227e8,OPTIMAL,3,0,30.054128270044824,-3.6637359812630166e-15,235209,159938,56.7587501,5.866372900950446e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.4016778,1.0240452,5.0265513,21.3676391,0.4425575,5.969266117104492e8,OPTIMAL,4,0,30.238969864559518,2.1094237467877974e-15,235209,159938,59.1315656,5.877528495810847e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,12,Xpress,2.2326032,0.8877749,4.763321,21.607487,0.5101013,5.978317266404343e8,OPTIMAL,3,0,30.05412827004481,-3.6637359812630166e-15,235209,159938,61.614644,5.873664160383064e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,16,Xpress,3.1175819,1.2050575,6.272468,34.2151624,0.6188744,5.900313425386887e8,OPTIMAL,4,0,30.167971880279946,4.218847493575595e-15,296457,207458,63.8758194,5.816350621160382e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,16,Xpress,2.3050165,1.151484,5.6503242,36.0040266,1.1018877,5.885825815620041e8,OPTIMAL,15,17,61.71571927023082,3.527397260999996,296457,207458,56.5673627,5.772937294581491e8,OPTIMAL,0,1,0.0,0.4129185564366331
kmedoids_cross_convex,16,Xpress,3.3456109,1.2307564,7.2049576,36.8865049,0.5854655,5.88591580132988e8,OPTIMAL,4,0,30.334464058882922,3.774758283725532e-15,296457,207458,67.1567114,5.827983561977715e8,OPTIMAL,0,0,0.0,0.0
kmedoids_cross_convex,16,Xpress,2.6009482,1.1446085,5.8705844,38.1498846,1.0705256,5.890475650014343e8,OPTIMAL,5,1,30.851693807406537,0.3082191779999963,296457,207458,60.2201667,5.850848040983226e8,OPTIMAL,0,0,0.0,0.0
