base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,20.4385399,20.4385399,20.4385399,88.9280378,88.9280378,88.9280378,381.3617187,381.3617187,381.3617187,22.9733618,22.9733618,22.9733618,513.7016582,513.7016582,513.7016582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,3.55398277,2.1362824500000004,2.804238675,0.64647508,0.5026752,0.5524086,3.624415870000001,2.456461825,3.2871625250000003,4.704696520000001,4.548649675,4.88329105,0.22234172000000002,0.2045893,0.23953342500000002,12.751911959999997,10.1026265,15.620517475000002,0.5157652816776312,0.5082604847704092,0.5224158893132012,408.0,341.5,489.0,101.6,54.75,75.75,509.6,468.25,568.5
kmedoids_cross_convex,8,2.3524253799999997,2.1883350000000004,2.6357133,0.7295526000000001,0.726041575,0.74495325,4.1329708499999995,3.9672141499999998,4.23573515,11.825113439999999,11.342509450000001,12.509005075000001,0.37630363,0.33064715,0.34393485,19.4163659,19.080022775000003,20.102793825,0.4903370479163248,0.48269493832616656,0.4988528974643038,361.9,295.25,418.25,52.4,36.0,66.75,414.3,331.25,476.0
kmedoids_cross_convex,12,2.57547002,2.40161815,2.594093625,0.9437355100000001,0.9063630249999999,0.992166025,5.196596,4.845816075,5.57115055,23.41800857,21.845397325,25.27135525,0.46020832,0.44251195000000004,0.474840425,32.59401842,31.284582074999996,34.484208075,0.46255075328685036,0.455209563664295,0.47087731113058273,297.8,246.0,329.75,37.4,26.0,42.75,335.2,278.5,368.5
kmedoids_cross_convex,16,3.14425659,2.69000975,3.3760143250000003,1.1987965200000001,1.115207575,1.2602706000000001,7.716139299999999,6.0354548,7.036879425,33.96060976,32.34561285,34.209051525,0.6184721200000001,0.59871325,0.633762575,46.63827428999999,43.108390799999995,50.87555809999999,0.42437551938425055,0.3861787824307538,0.46039876747391173,264.5,167.5,368.5,30.6,19.25,41.5,295.1,186.75,407.0
kmedoids_cross_convex,20,4.23856214,3.0031073,3.8813732749999996,1.40307995,1.3396059249999999,1.4486354000000001,9.02934998,7.491797525,7.8142035,47.09806179000001,43.879297125,47.952435775000005,0.79972412,0.7504838,0.7766575,62.56877798000001,58.904021825,64.86082425,0.3950889200865497,0.3760813269246453,0.4119083077284571,218.4,138.5,287.25,31.7,18.0,38.75,250.1,157.75,326.0
kmedoids_cross_convex,30,7.5453234899999995,4.34401695,10.942560475,2.01942694,1.8991153749999998,2.099488125,10.92482445,10.20300655,11.532543175,76.63556647,72.28097825,82.799867,1.26052551,1.1215975500000002,1.450196775,98.38566686,93.981782375,103.55440504999999,0.3550752486447789,0.34493998207920423,0.36604870491468705,159.4,108.0,172.5,19.6,9.25,21.25,179.0,117.0,192.5
kmedoids_cross_convex,45,7.531164169999999,5.115847875,6.578256349999999,3.3762088399999994,2.95567035,3.6819028,17.052965769999997,15.114505699999999,15.949120224999998,107.92582881000001,101.63340945,107.07075015,2.0312278399999997,1.677901625,2.280675875,137.91739543,131.505639975,141.31579565,0.32492446477589587,0.3118249305412235,0.33159662464210804,142.7,88.25,161.0,16.2,5.25,16.75,158.9,92.25,175.5
kmedoids_cross_convex,60,15.1577313,16.045960625,16.400647425,3.9736114700000003,3.8009197500000003,4.145041225,19.93278883,19.577677450000003,20.4728579,155.22181376999998,149.8854958,161.251872325,2.85965342,2.91634475,3.0123374,197.14559878999998,191.2194647,204.90630692500002,0.3137367298368307,0.3057923894945495,0.31435036204958205,105.8,49.75,129.25,12.1,3.0,11.75,117.9,55.25,144.75
kmedoids_cross_convex,90,11.01479219,8.6182962,12.491588924999999,7.01761361,5.74915345,8.201486875,32.60384758,32.31069265,34.574669775000004,240.9608773,230.2353234,251.28508564999998,10.577411819999998,5.2387275,14.246824499999999,302.1745425,288.993035525,312.6975905,0.3029798700454823,0.29926836159034736,0.30162395892031935,67.2,1.0,98.25,11.0,1.5,16.75,78.2,5.0,108.5
kmedoids_cross_convex,120,27.31941893,26.5001033,29.089650750000004,11.979200910000001,10.712945575,12.978254925000002,66.76662246,63.3324611,69.3456681,288.91352815,259.9829129,283.08267747499997,5.25476544,4.64284815,5.783501225,400.23353589,370.44197607500007,397.105766175,0.291907392071025,0.29171235988212607,0.2973589623594406,34.4,-0.25,65.5,8.7,1.0,14.0,43.1,3.5,75.75
kmedoids_cross_convex,180,40.58655549,37.013281825,45.781182924999996,21.17444747,20.396934875,23.369595225,111.36003222000002,106.45909005,121.5894256,309.75975940999996,296.77027225,321.973384275,8.657220810000002,8.307696025,8.9139427,491.53801540000006,473.335660775,504.2084974,0.2206581244210505,0.22626712920800085,0.26730449527732686,14.7,-22.25,43.25,21.1,0.0,9.75,35.8,-22.0,49.25
