base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,45.4064978,45.4064978,45.4064978,120.0498127,120.0498127,120.0498127,388.1861487,388.1861487,388.1861487,17.9679502,17.9679502,17.9679502,571.6104094,571.6104094,571.6104094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
convex_cross,4,29.256013240000005,25.996541275000002,33.11946830000001,1.30573812,1.207629825,1.3824665499999997,5.69269533,4.979305025,6.6810293000000005,4.07796532,3.9785108250000003,4.037325675,0.3153616699999999,0.2999477,0.329302275,40.64777368,36.55710305,44.91128925000001,0.24053302777504887,0.240533027775049,0.240533027775049,-37.1,-37.0,-37.0,0.1,0.0,0.0
convex_cross,8,30.469606829999996,26.5908818,34.6776944,1.5791637699999996,1.3503397499999998,1.686444375,6.964375309999999,6.385729775000001,7.664546925,11.148639829999999,10.8736753,11.54788685,0.44526189999999993,0.41763255,0.47632347499999994,50.60704764,46.836177175,54.6471996,0.08698440265579435,0.08698440265579412,0.08698440265579425,-7.1,-6.0,-6.0,3.5,2.0,2.0
convex_cross,12,27.959734700000002,25.075269725,32.242466324999995,1.7950468300000004,1.7427479,1.874318975,9.36299592,8.948073975,10.06631925,20.79592036,20.5641946,20.876785975,0.79105215,0.5667907249999999,0.6289855,60.704749959999994,58.162547274999994,63.72945282499999,0.058678943561601436,0.058678943561601325,0.058678943561601325,107.1,114.0,114.0,10.0,3.0,3.0
convex_cross,16,29.127739749999996,25.784499575,34.669251425,2.2692950000000005,2.16533395,2.392671525,11.66900635,10.860691525000002,12.3849162,32.99544156,32.716998000000004,33.268213024999994,0.86571286,0.735875925,0.80572815,76.92719552,74.55628779999999,81.28256185000001,0.03838476056138255,0.038384760561382424,0.03838476056138265,123.7,129.0,129.0,24.5,17.0,17.0
convex_cross,20,30.320448329999998,25.58295565,35.676176500000004,2.62071147,2.3783686,2.8553326,13.52297452,12.905841525,13.754963675,47.907291539999996,47.5194219,48.1711638,1.10386948,0.91613555,0.990416725,95.47529533999999,90.02327460000001,101.094318275,0.06456081935536988,0.0645608193553698,0.06456081935537003,220.8,222.0,223.0,18.5,16.0,16.0
convex_cross,30,32.68868982,28.60476595,36.34799205,3.67566988,3.3697099500000003,3.9960665499999997,19.494081060000006,17.419789225000002,18.920323475,65.57485453,65.18962947499999,65.92687405000001,1.5338476500000002,1.262067925,1.8984110749999998,122.96714293999999,117.64384545,128.483099625,0.033433680671266376,0.033433680671266286,0.03343368067126642,18.4,19.0,19.0,6.0,5.0,5.0
convex_cross,45,36.77864407,31.829675875,42.125439275,5.24563804,4.47006285,5.853810775,27.267494759999998,25.30913715,27.537670424999998,113.17361106999999,111.114152325,116.082281875,2.3891064600000003,2.020135625,2.608182125,184.8544944,178.68164112499997,188.64928807500002,0.03051995718915355,0.030157633400536257,0.031994724290601996,33.1,30.25,37.5,2.0,0.0,4.0
convex_cross,60,47.45293587,46.076135025000006,49.131411650000004,6.16199931,5.869403175,6.215712125,35.575300600000006,35.379690425,36.1802396,153.74319711,152.89112219999998,159.253481975,3.1632233199999997,3.156185225,3.3575735499999997,246.09665621,247.02348349999997,250.811889425,0.024646730210158826,0.02335007428741225,0.02577474969019728,29.3,13.75,39.75,2.3,0.0,2.0
convex_cross,90,46.90853676,44.528399275,49.869350825,10.80108434,9.75499185,11.1614075,49.428841489999996,47.60318947499999,51.251650775,243.86702649999998,233.37994545,258.8117002,12.042584490000001,4.89258325,17.479992975000002,363.04807358000005,360.274170175,368.21724997499996,0.017269331072259083,0.015755775595701044,0.018732891540932467,-2.3,-7.0,4.25,5.4,2.5,8.0
