method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio,lol_ratio
kmeans,20,768.7400000000001,1086.9999999999998,49.41022542410874,85.108728479094,0.27404868065204335,0.39195265411196195
kmeans,40,469.87999999999994,577.42,23.06961212966604,32.2451531510657,0.170835691339323,0.2502309200401248
kmeans,60,335.88,409.62,14.179628525636724,18.845286349641736,0.18501299970714843,0.25429262722119217
kmeans,80,255.94,301.58,9.823905506537185,12.54762386074357,0.10571044561658419,0.1559884033744225
kmeans,100,198.32000000000002,172.35999999999999,6.992956195886539,6.026976698293149,-0.1565652395417602,-0.19630246597655227
kmeans,150,106.41999999999999,92.02000000000001,3.059628714029091,2.5204933776395726,-0.2736875057422486,-0.4179188803175678
kmeans,300,21.2,22.060000000000002,0.4263295624549099,0.458831704274388,-0.30016237177046323,-0.33954873246965195
kmeans,450,7.080000000000001,8.24,0.1181548103209609,0.15135455045264462,-0.03202896731954201,-0.06799012251760024
kmedoids,20,391.84000000000003,402.44,19.109337608509115,20.96760367681835,-0.1647811901195954,-0.3756443670802122
kmedoids,40,137.26,148.3,4.668982320926677,5.335699261856104,-0.039789202806359066,-0.10619822448097467
kmedoids,60,74.75999999999999,76.44000000000001,2.100999710295956,2.2725515666004035,-0.10043351583126496,-0.06927358069049075
kmedoids,80,51.839999999999996,46.720000000000006,1.3552374929493616,1.1472373899305313,-0.3882613465957273,-0.6404722811596454
kmedoids,100,30.160000000000004,28.7,0.7188066715418168,0.6501961042363777,-0.2178235869131604,-0.27910395057914594
kmedoids,150,17.779999999999998,14.699999999999998,0.3607038499087293,0.3011247363500233,-2.0840856499767635,-2.653725290003028
kmedoids,300,4.86,3.3,0.0844975254140458,0.056411924805465384,-Inf,-Inf
kmedoids,450,2.5000000000000004,1.7,0.03379413465789891,0.02754960882867632,-Inf,-Inf
