base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,1,Gurobi,0.0,1.4667426,5.1857408,2.8850528,0.5428945,556.1522837549234,OPTIMAL,0,0.0,122640,105125,0.0,0.0,,0,0.0
kmeans_cross_dirac,20,1,Gurobi,0.9996858,0.6512899,1.3391679,0.0316216,0.0305339,533.7188346221512,OPTIMAL,0,0.0,3360,2885,0.1049537,147305.4049257231,OPTIMAL,1173,97.84827373730342
kmeans_cross_dirac,20,1,Gurobi,0.0669172,0.6224179,1.2959575,0.0323666,0.0302148,534.3961333511185,OPTIMAL,0,0.0,3360,2885,0.0383255,95887.04830053194,OPTIMAL,954,63.56821973341026
kmeans_cross_dirac,20,1,Gurobi,0.0785897,1.059115,2.0955034,0.0349197,0.0347512,536.8432173191167,OPTIMAL,0,0.0,3360,2885,0.0331968,67751.14234286004,OPTIMAL,753,44.80887766612766
kmeans_cross_dirac,20,1,Gurobi,0.0658324,0.7020696,1.5779916,0.0375898,0.0367346,536.1158259450318,OPTIMAL,0,0.0,3360,2885,0.0378456,70483.27774540345,OPTIMAL,787,46.630770348327346
kmeans_cross_dirac,20,1,Gurobi,0.2367126,0.6854443,1.373335,0.0324909,0.0319316,533.2122156847456,OPTIMAL,0,0.0,3360,2885,0.0368267,114013.82259983539,OPTIMAL,1033,75.65343058263434
kmeans_cross_dirac,40,1,Gurobi,0.236045,0.7076258,1.4412694,0.061289,0.0436458,540.1326025401821,OPTIMAL,0,0.0,6720,5765,0.0375646,38151.06472612266,OPTIMAL,564,25.07335416170921
kmeans_cross_dirac,40,1,Gurobi,0.0739019,0.6748497,1.4740195,0.0870449,0.0445264,541.1878661665625,OPTIMAL,0,0.0,6720,5765,0.0329527,32149.19568614881,OPTIMAL,518,21.071416564261
kmeans_cross_dirac,40,1,Gurobi,0.0902022,0.6399767,1.8075895,0.0718305,0.0531091,542.0809163766497,OPTIMAL,0,0.0,6720,5765,0.0234806,24267.71562625597,OPTIMAL,433,15.81620220117506
kmeans_cross_dirac,40,1,Gurobi,0.2295651,0.7314029,1.6352139,0.0783979,0.044245,539.1647956668031,OPTIMAL,0,0.0,6720,5765,0.035819,47540.108058695856,OPTIMAL,588,31.333629334081664
kmeans_cross_dirac,40,1,Gurobi,0.2186311,0.7087171,1.6858062,0.0500592,0.0448597,542.1605434286475,OPTIMAL,0,0.0,6720,5765,0.0589415,25568.377577930107,OPTIMAL,449,16.683509572246656
kmeans_cross_dirac,60,1,Gurobi,0.0940381,0.8871476,2.6252682,0.1266194,0.0592653,543.1659185869448,OPTIMAL,0,0.0,10080,8645,0.0209865,20316.43324056322,OPTIMAL,381,13.181546737047508
kmeans_cross_dirac,60,1,Gurobi,0.219123,0.9604903,2.8191847,0.1389641,0.0625085,542.7382543041434,OPTIMAL,0,0.0,10080,8645,0.0309283,22857.549137820406,OPTIMAL,417,14.875978158392869
kmeans_cross_dirac,60,1,Gurobi,0.2174203,1.1728925,3.0609063,0.1451149,0.0616968,544.2817911782295,OPTIMAL,0,0.0,10080,8645,0.0317093,14820.103870798283,OPTIMAL,293,9.516580947173182
kmeans_cross_dirac,60,1,Gurobi,0.1009604,1.2959153,4.1171392,0.1275646,0.0626467,545.2714913399512,OPTIMAL,0,0.0,10080,8645,0.030209,10989.06493808534,OPTIMAL,225,6.961796474100547
kmeans_cross_dirac,60,1,Gurobi,2.6407669,0.5655397,0.8889465,0.197079,0.045179,542.5935051338074,OPTIMAL,0,0.0,10080,8645,0.0307645,23226.193891340557,OPTIMAL,423,15.121839820330806
