base_name,rp,weight_first_period,weight_others
convex_cross,4,60.83344365767738,304.1665563423226
convex_cross,8,4.27232217744088,360.72767782255903
convex_cross,12,4.598308525953407,360.4016914740465
convex_cross,16,5.062497983700371,359.9375020162996
convex_cross,20,4.234958410205392,360.76504158979463
convex_cross,30,1.2150046101061773,363.78499538989377
convex_cross,45,0.3376397396595217,364.6623602603405
convex_cross,60,0.3273099158705103,364.67269008412944
convex_cross,90,0.15193822958440645,364.8480617704156
convex_cross,120,0.0943640212098855,364.90563597879003
convex_cross,180,0.0,365.0
