base_name,rp,solver,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,time_to_cluster
convex_cross,4,Xpress,2.0951072,12.9661531,6.2113064,0.3459316,7.529089829156036e8,OPTIMAL,112713,64898,101.9747003,6.150699067968173e8,OPTIMAL,0,1,0.0,0.17112167841274672,1.1661659
convex_cross,8,Xpress,1.9519427,11.0554668,16.2103273,0.5013082,6.980188870422821e8,OPTIMAL,173961,112418,64.5226076,6.069166490194153e8,OPTIMAL,1,0,0.10346267899470085,0.0,1.4787535
convex_cross,12,Xpress,2.9635785,12.5244901,27.7615864,0.6613028,6.625156122995529e8,OPTIMAL,235209,159938,66.5855932,5.999387181133952e8,OPTIMAL,1,0,0.08855995169007791,0.0,1.8215027
convex_cross,16,Xpress,2.834419,17.2271082,40.9973587,0.8917832,6.458327925476685e8,OPTIMAL,296457,207458,60.7212872,5.93280264586845e8,OPTIMAL,1,0,0.08855995169007791,0.0,2.0012901
convex_cross,20,Xpress,4.5277074,24.5115196,51.6649802,0.9859843,6.2033518453936e8,OPTIMAL,357705,254978,63.5873693,5.879126387108978e8,OPTIMAL,0,0,0.0,0.0,2.1915443
convex_cross,30,Xpress,7.0817819,30.8210684,78.8908419,1.4987994,6.126981016343842e8,OPTIMAL,510825,373778,65.7550419,5.855588427876074e8,OPTIMAL,0,0,0.0,0.0,2.9193832
convex_cross,45,Xpress,5.6910534,38.2124123,145.299267,1.9555381,5.967586813494797e8,OPTIMAL,740505,551978,69.1193364,5.81655502781495e8,OPTIMAL,0,0,0.0,0.0,4.2099974
convex_cross,60,Xpress,8.7979524,70.7664297,189.010283,3.8206611,5.960639029462509e8,OPTIMAL,970185,730178,63.4542955,5.809160135273072e8,OPTIMAL,0,0,0.0,0.0,6.3348473
convex_cross,90,Xpress,13.6610366,85.331878,337.9735487,4.3220519,5.92395142529396e8,OPTIMAL,1429545,1086578,81.7845162,5.803234161214583e8,OPTIMAL,0,0,0.0,0.0,10.1697583
convex_cross,120,Xpress,19.3444715,105.8869911,307.9773496,6.0394472,5.877279881510162e8,OPTIMAL,1888905,1442978,68.9609492,5.790571779525403e8,OPTIMAL,0,0,0.0,0.0,22.5994281
convex_cross,180,Xpress,37.5220982,164.8715028,441.9589542,9.4631512,5.806642497726746e8,OPTIMAL,2807625,2155778,67.8961166,5.737447138576878e8,OPTIMAL,0,2,0.0,6.548395199762162,53.483042
conicalb_cross,4,Xpress,2.4478949,11.760994,5.8865927,0.5462472,6.962162942072372e8,OPTIMAL,112713,64898,70.9278637,6.081235570642878e8,OPTIMAL,1,0,0.17183957307537234,0.0,1.5245583
conicalb_cross,8,Xpress,2.8973233,14.4173957,15.1049853,0.5402304,6.649308385432816e8,OPTIMAL,173961,112418,63.5539979,6.050618918956107e8,OPTIMAL,1,0,0.0719661513704164,0.0,1.6032351
conicalb_cross,12,Xpress,2.7204028,18.1377715,28.5653029,0.6434137,6.286160110063629e8,OPTIMAL,235209,159938,63.0652661,5.889306306132631e8,OPTIMAL,1,0,0.025652999504529816,0.0,1.8553745
conicalb_cross,16,Xpress,2.1164544,14.6507208,45.4019258,0.9239325,6.124539961641312e8,OPTIMAL,296457,207458,65.7902562,5.864234880138944e8,OPTIMAL,0,0,0.0,0.0,2.0232038
conicalb_cross,20,Xpress,3.73964,22.9558201,48.2025922,0.9901764,6.105791765290375e8,OPTIMAL,357705,254978,62.8478498,5.855942352039765e8,OPTIMAL,0,0,0.0,0.0,2.2084685
conicalb_cross,30,Xpress,5.5733112,20.5195927,81.6133656,1.2800792,6.049807994025726e8,OPTIMAL,510825,373778,64.5361191,5.845755929372051e8,OPTIMAL,0,0,0.0,0.0,2.9680868
conicalb_cross,45,Xpress,11.4625005,34.4066242,111.7934654,2.1272644,6.024139893445892e8,OPTIMAL,740505,551978,63.5711716,5.836177017998289e8,OPTIMAL,0,0,0.0,0.0,4.0930784
conicalb_cross,60,Xpress,7.4304495,48.4278066,179.2994885,3.8454206,5.997537257569122e8,OPTIMAL,970185,730178,68.1279617,5.832096891869363e8,OPTIMAL,0,0,0.0,0.0,6.0965601
conicalb_cross,90,Xpress,9.335945,77.9672666,249.0484925,5.1769083,5.926452446022034e8,OPTIMAL,1429545,1086578,66.1695316,5.806283487183853e8,OPTIMAL,0,0,0.0,0.0,10.7138486
conicalb_cross,120,Xpress,20.4525167,110.3157008,276.916478,7.2097782,5.873185226128082e8,OPTIMAL,1888905,1442978,64.0109297,5.797858164694625e8,OPTIMAL,0,0,0.0,0.0,23.408115
conicalb_cross,180,Xpress,30.5134298,173.6308159,312.6030927,9.6973329,5.823171063790894e8,OPTIMAL,2807625,2155778,68.9931812,5.757300589581445e8,OPTIMAL,2,0,3.018546345571856,0.0,58.0519281
0_HourlyBenchmark,1,Xpress,62.0423656,143.6339919,541.4005945,26.1463736,4.685700547504196e8,OPTIMAL,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909,
