base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,1,Gurobi,0.0,7.6458142,20.5813798,19.8727176,4.2749618,569.1100312143869,OPTIMAL,0,0.0,613200,525605,0.0,0.0,,0,0.0
kmedoids_cross_dirac,20,1,Gurobi,4.3235961,0.2518888,0.6133067,0.0291156,0.0188353,552.9116537135028,OPTIMAL,0,0.0,3360,2885,0.3510844,9256.434990319642,OPTIMAL,797,29.00641311188637
kmedoids_cross_dirac,20,1,Gurobi,0.728326,0.2708125,0.653261,0.0251639,0.0190078,539.236541574165,OPTIMAL,0,0.0,3360,2885,0.2479385,47430.364063300985,OPTIMAL,2812,156.2819207529821
kmedoids_cross_dirac,20,1,Gurobi,0.6276968,0.2633184,0.63153,0.0264448,0.0199004,557.2376762867194,OPTIMAL,0,0.0,3360,2885,0.3011096,9264.443092831243,OPTIMAL,800,29.032883084621346
kmedoids_cross_dirac,20,1,Gurobi,2.3505969,0.2545024,0.6035631,0.0256485,0.0195501,563.3115598159395,OPTIMAL,0,0.0,3360,2885,0.1717961,12167.595213476992,OPTIMAL,1030,38.713485512906885
kmedoids_cross_dirac,20,1,Gurobi,0.8501505,0.2682316,0.6293994,0.0269025,0.0194153,541.8702963925657,OPTIMAL,0,0.0,3360,2885,0.3394449,67514.89374834516,OPTIMAL,3525,223.23698902416163
kmedoids_cross_dirac,40,1,Gurobi,0.751401,0.3100035,0.7479437,0.0600549,0.0390049,555.1514055701599,OPTIMAL,0,0.0,6720,5765,0.2753991,9266.482274114134,OPTIMAL,800,29.03994046164978
kmedoids_cross_dirac,40,1,Gurobi,2.375874,0.3329641,0.8600165,0.0645379,0.0342541,555.8424592422292,OPTIMAL,0,0.0,6720,5765,0.2004573,10673.257789598205,OPTIMAL,899,33.73108848010072
kmedoids_cross_dirac,40,1,Gurobi,0.9887438,0.3091122,0.6982096,0.0549663,0.0353654,552.5913333300424,OPTIMAL,0,0.0,6720,5765,0.214874,8880.219049390018,OPTIMAL,777,27.751850175128695
kmedoids_cross_dirac,40,1,Gurobi,0.8706236,0.3174156,0.7356879,0.0810291,0.0376532,559.5729714027186,OPTIMAL,0,0.0,6720,5765,0.1735036,9549.478593253221,OPTIMAL,821,29.9836919201806
kmedoids_cross_dirac,40,1,Gurobi,2.4450529,0.3500806,0.9571352,0.0675604,0.0337058,560.6727548518016,OPTIMAL,0,0.0,6720,5765,0.1887682,4167.4549990927935,OPTIMAL,370,12.032259071718006
kmedoids_cross_dirac,60,1,Gurobi,0.9999733,0.3585691,0.9507516,0.0890301,0.0505635,554.8125496861985,OPTIMAL,0,0.0,10080,8645,0.1791884,5020.8369509236645,OPTIMAL,458,14.879713929318331
kmedoids_cross_dirac,60,1,Gurobi,1.0366806,0.3492166,0.807588,0.1087369,0.0484809,558.4251714063184,OPTIMAL,0,0.0,10080,8645,0.1710514,5034.767353480674,OPTIMAL,458,14.925958610698311
