id,asset,year,rep_period,time_block_start,time_block_end,solution
1,battery,2030,1,1,1,0.0
2,battery,2030,1,2,2,0.0
3,battery,2030,1,3,3,0.010290416652679713
4,battery,2030,1,4,4,0.037724871354419265
5,battery,2030,1,5,5,0.07355730014486028
6,battery,2030,1,6,6,0.10659893425415017
7,battery,2030,1,7,7,0.11899840718058508
8,battery,2030,1,8,8,0.07025064998559903
9,battery,2030,1,9,9,0.0
10,battery,2030,1,10,10,0.0
11,battery,2030,1,11,11,0.0
12,battery,2030,1,12,12,0.0
13,battery,2030,1,13,13,0.0811575368939632
14,battery,2030,1,14,14,0.1623150737879264
15,battery,2030,1,15,15,0.2
16,battery,2030,1,16,16,0.2
17,battery,2030,1,17,17,0.2
18,battery,2030,1,18,18,0.11007475136402971
19,battery,2030,1,19,19,0.020149502728059404
20,battery,2030,1,20,20,0.020149502728059404
21,battery,2030,1,21,21,0.020149502728059404
22,battery,2030,1,22,22,0.0
23,battery,2030,1,23,23,0.0
24,battery,2030,1,24,24,0.0
25,battery,2030,2,1,1,0.0
26,battery,2030,2,2,2,0.0
27,battery,2030,2,3,3,0.0
28,battery,2030,2,4,4,0.0
29,battery,2030,2,5,5,0.0
30,battery,2030,2,6,6,0.0
31,battery,2030,2,7,7,0.0
32,battery,2030,2,8,8,0.0
33,battery,2030,2,9,9,0.0
34,battery,2030,2,10,10,0.0
35,battery,2030,2,11,11,0.0
36,battery,2030,2,12,12,0.04643923251596488
37,battery,2030,2,13,13,0.1275967694099281
38,battery,2030,2,14,14,0.2
39,battery,2030,2,15,15,0.2
40,battery,2030,2,16,16,0.2
41,battery,2030,2,17,17,0.2
42,battery,2030,2,18,18,0.2
43,battery,2030,2,19,19,0.2
44,battery,2030,2,20,20,0.2
45,battery,2030,2,21,21,0.11007475136402971
46,battery,2030,2,22,22,0.0899252486359703
47,battery,2030,2,23,23,0.0899252486359703
48,battery,2030,2,24,24,0.0
49,battery,2030,3,1,1,0.037684926212073616
50,battery,2030,3,2,2,0.037684926212073616
51,battery,2030,3,3,3,0.037684926212073616
52,battery,2030,3,4,4,0.037684926212073616
53,battery,2030,3,5,5,0.037684926212073616
54,battery,2030,3,6,6,0.037684926212073616
55,battery,2030,3,7,7,0.037684926212073616
56,battery,2030,3,8,8,0.037684926212073616
57,battery,2030,3,9,9,0.037684926212073616
58,battery,2030,3,10,10,0.037684926212073616
59,battery,2030,3,11,11,0.037684926212073616
60,battery,2030,3,12,12,0.037684926212073616
61,battery,2030,3,13,13,0.037684926212073616
62,battery,2030,3,14,14,0.037684926212073616
63,battery,2030,3,15,15,0.037684926212073616
64,battery,2030,3,16,16,0.11884246310603681
65,battery,2030,3,17,17,0.11884246310603681
66,battery,2030,3,18,18,0.2
67,battery,2030,3,19,19,0.2
68,battery,2030,3,20,20,0.11007475136402971
69,battery,2030,3,21,21,0.020149502728059404
70,battery,2030,3,22,22,0.0
71,battery,2030,3,23,23,0.0
72,battery,2030,3,24,24,0.0
73,battery,2030,4,1,1,0.0
74,battery,2030,4,2,2,0.0
75,battery,2030,4,3,3,0.0
76,battery,2030,4,4,4,0.0
77,battery,2030,4,5,5,0.0
78,battery,2030,4,6,6,0.0
79,battery,2030,4,7,7,0.0
80,battery,2030,4,8,8,0.0
81,battery,2030,4,9,9,0.0
82,battery,2030,4,10,10,0.0
83,battery,2030,4,11,11,0.0
84,battery,2030,4,12,12,0.0
85,battery,2030,4,13,13,0.0
86,battery,2030,4,14,14,0.0811575368939632
87,battery,2030,4,15,15,0.1623150737879264
88,battery,2030,4,16,16,0.2
89,battery,2030,4,17,17,0.2
90,battery,2030,4,18,18,0.2
91,battery,2030,4,19,19,0.2
92,battery,2030,4,20,20,0.2
93,battery,2030,4,21,21,0.2
94,battery,2030,4,22,22,0.1798504972719406
95,battery,2030,4,23,23,0.0899252486359703
96,battery,2030,4,24,24,0.0
