id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1807,wind,2030,12,7,7,-1.0781082624994442
1808,wind,2030,12,8,8,-1.0781082624994442
1809,wind,2030,12,9,9,-1.0781082624994442
1810,wind,2030,12,10,10,-1.0781082624994442
1811,wind,2030,12,11,11,-1.0781082624994442
1812,wind,2030,12,12,12,0.0
1813,wind,2030,12,13,13,0.0
1814,wind,2030,12,14,14,0.0
1815,wind,2030,12,15,15,-1.0781082624994442
1816,wind,2030,12,16,16,-1.0781082624994442
1817,wind,2030,12,17,17,-1.0781082624994442
1818,wind,2030,12,18,18,-1.0781082624994442
1819,wind,2030,12,19,19,-1.0781082624994442
1820,wind,2030,12,20,20,-1.0781082624994442
1821,wind,2030,12,21,21,-1.0781082624994442
1822,wind,2030,12,22,22,-1.0781082624994442
1823,wind,2030,12,23,23,-1.0781082624994442
1824,wind,2030,12,24,24,-1.0781082624994442
1825,wind,2030,13,1,1,-0.14207537753943186
1826,wind,2030,13,2,2,-0.14207537753943186
1827,wind,2030,13,3,3,-0.14207537753943186
1828,wind,2030,13,4,4,-0.14207537753943186
1829,wind,2030,13,5,5,-0.14207537753943186
1830,wind,2030,13,6,6,-0.14207537753943186
1831,wind,2030,13,7,7,-0.14207537753943186
1832,wind,2030,13,8,8,-0.14207537753943186
1833,wind,2030,13,9,9,-0.14207537753943186
1834,wind,2030,13,10,10,-0.14207537753943186
1835,wind,2030,13,11,11,-0.02378305313093239
1836,wind,2030,13,12,12,0.0
1837,wind,2030,13,13,13,0.0
1838,wind,2030,13,14,14,-0.14207537753943186
1839,wind,2030,13,15,15,-0.14207537753943186
1840,wind,2030,13,16,16,-0.14207537753943186
1841,wind,2030,13,17,17,-0.14207537753943186
1842,wind,2030,13,18,18,-0.14207537753943186
1843,wind,2030,13,19,19,-0.14207537753943186
1844,wind,2030,13,20,20,-0.14207537753943186
1845,wind,2030,13,21,21,-0.14207537753943186
1846,wind,2030,13,22,22,-0.14207537753943186
1847,wind,2030,13,23,23,-0.14207537753943186
1848,wind,2030,13,24,24,-0.14207537753943186
1849,wind,2030,14,1,1,-1.1775075540323614
1850,wind,2030,14,2,2,-1.1775075540323614
1851,wind,2030,14,3,3,-1.1775075540323614
1852,wind,2030,14,4,4,-1.1775075540323614
1853,wind,2030,14,5,5,-1.1775075540323614
1854,wind,2030,14,6,6,-1.1775075540323614
1855,wind,2030,14,7,7,-1.1775075540323614
1856,wind,2030,14,8,8,-1.1775075540323614
1857,wind,2030,14,9,9,-1.1775075540323614
1858,wind,2030,14,10,10,-1.1775075540323614
1859,wind,2030,14,11,11,-1.1775075540323614
1860,wind,2030,14,12,12,-1.1775075540323614
1861,wind,2030,14,13,13,-1.1775075540323614
1862,wind,2030,14,14,14,-1.1775075540323614
1863,wind,2030,14,15,15,-1.1775075540323614
1864,wind,2030,14,16,16,-1.1775075540323614
1865,wind,2030,14,17,17,-1.1775075540323614
1866,wind,2030,14,18,18,-1.1775075540323614
1867,wind,2030,14,19,19,-1.1775075540323614
1868,wind,2030,14,20,20,-1.1775075540323614
1869,wind,2030,14,21,21,-1.1775075540323614
1870,wind,2030,14,22,22,-1.1775075540323614
1871,wind,2030,14,23,23,-1.1775075540323614
1872,wind,2030,14,24,24,-1.1775075540323614
1873,wind,2030,15,1,1,-0.3848175628159016
1874,wind,2030,15,2,2,-0.3848175628159016
1875,wind,2030,15,3,3,-0.3848175628159016
1876,wind,2030,15,4,4,-0.3848175628159016
1877,wind,2030,15,5,5,-0.3848175628159016
1878,wind,2030,15,6,6,-0.3848175628159016
1879,wind,2030,15,7,7,-0.3848175628159016
1880,wind,2030,15,8,8,-0.3848175628159016
1881,wind,2030,15,9,9,-0.3848175628159016
1882,wind,2030,15,10,10,-0.3848175628159016
1883,wind,2030,15,11,11,-0.3848175628159016
1884,wind,2030,15,12,12,0.0
1885,wind,2030,15,13,13,0.0
1886,wind,2030,15,14,14,0.0
1887,wind,2030,15,15,15,-0.3848175628159016
1888,wind,2030,15,16,16,-0.3848175628159016
1889,wind,2030,15,17,17,-0.3848175628159016
1890,wind,2030,15,18,18,-0.3848175628159016
1891,wind,2030,15,19,19,-0.3848175628159016
1892,wind,2030,15,20,20,-0.3848175628159016
1893,wind,2030,15,21,21,-0.3848175628159016
1894,wind,2030,15,22,22,-0.3848175628159016
1895,wind,2030,15,23,23,-0.3848175628159016
1896,wind,2030,15,24,24,-0.3848175628159016
1897,wind,2030,16,1,1,-0.43915886736625037
1898,wind,2030,16,2,2,-0.43915886736625037
1899,wind,2030,16,3,3,-0.43915886736625037
1900,wind,2030,16,4,4,-0.43915886736625037
1901,wind,2030,16,5,5,-0.43915886736625037
1902,wind,2030,16,6,6,-0.43915886736625037
1903,wind,2030,16,7,7,-0.43915886736625037
1904,wind,2030,16,8,8,-0.43915886736625037
1905,wind,2030,16,9,9,-0.43915886736625037
1906,wind,2030,16,10,10,-0.43915886736625037
1907,wind,2030,16,11,11,-0.43915886736625037
1908,wind,2030,16,12,12,0.0
1909,wind,2030,16,13,13,0.0
1910,wind,2030,16,14,14,0.0
1911,wind,2030,16,15,15,-0.43915886736625037
1912,wind,2030,16,16,16,-0.43915886736625037
1913,wind,2030,16,17,17,-0.43915886736625037
1914,wind,2030,16,18,18,-0.43915886736625037
1915,wind,2030,16,19,19,-0.43915886736625037
1916,wind,2030,16,20,20,-0.43915886736625037
1917,wind,2030,16,21,21,-0.43915886736625037
1918,wind,2030,16,22,22,-0.43915886736625037
1919,wind,2030,16,23,23,-0.43915886736625037
1920,wind,2030,16,24,24,-0.43915886736625037
1921,wind_offshore,2030,1,1,1,-0.043097676272014024
1922,wind_offshore,2030,1,2,2,-0.043097676272014024
1923,wind_offshore,2030,1,3,3,-0.043097676272014024
1924,wind_offshore,2030,1,4,4,-0.043097676272014024
1925,wind_offshore,2030,1,5,5,-0.043097676272014024
1926,wind_offshore,2030,1,6,6,-0.043097676272014024
1927,wind_offshore,2030,1,7,7,-0.043097676272014024
1928,wind_offshore,2030,1,8,8,-0.043097676272014024
1929,wind_offshore,2030,1,9,9,-0.043097676272014024
1930,wind_offshore,2030,1,10,10,-0.043097676272014024
1931,wind_offshore,2030,1,11,11,-0.043097676272014024
1932,wind_offshore,2030,1,12,12,-0.043097676272014024
1933,wind_offshore,2030,1,13,13,-0.043097676272014024
1934,wind_offshore,2030,1,14,14,-0.043097676272014024
1935,wind_offshore,2030,1,15,15,-0.043097676272014024
1936,wind_offshore,2030,1,16,16,-0.043097676272014024
1937,wind_offshore,2030,1,17,17,-0.043097676272014024
1938,wind_offshore,2030,1,18,18,-0.043097676272014024
1939,wind_offshore,2030,1,19,19,-18.734372494243313
1940,wind_offshore,2030,1,20,20,-18.734372494243313
1941,wind_offshore,2030,1,21,21,-18.734372494243313
1942,wind_offshore,2030,1,22,22,-18.734372494243313
1943,wind_offshore,2030,1,23,23,-0.043097676272014024
1944,wind_offshore,2030,1,24,24,-0.043097676272014024
1945,wind_offshore,2030,2,1,1,-0.023
1946,wind_offshore,2030,2,2,2,-0.023
1947,wind_offshore,2030,2,3,3,-0.023
1948,wind_offshore,2030,2,4,4,-0.023
1949,wind_offshore,2030,2,5,5,-0.023
1950,wind_offshore,2030,2,6,6,-0.023
1951,wind_offshore,2030,2,7,7,-0.023
1952,wind_offshore,2030,2,8,8,-0.023
1953,wind_offshore,2030,2,9,9,-0.023
1954,wind_offshore,2030,2,10,10,-0.023
1955,wind_offshore,2030,2,11,11,-0.023
1956,wind_offshore,2030,2,12,12,-0.023
1957,wind_offshore,2030,2,13,13,-0.023
1958,wind_offshore,2030,2,14,14,-0.023
1959,wind_offshore,2030,2,15,15,-0.023
1960,wind_offshore,2030,2,16,16,-0.023
1961,wind_offshore,2030,2,17,17,-0.023
1962,wind_offshore,2030,2,18,18,-0.023
1963,wind_offshore,2030,2,19,19,-0.023
1964,wind_offshore,2030,2,20,20,-9.998
1965,wind_offshore,2030,2,21,21,-0.033
1966,wind_offshore,2030,2,22,22,-0.023
1967,wind_offshore,2030,2,23,23,-0.023
1968,wind_offshore,2030,2,24,24,-0.023
1969,wind_offshore,2030,3,1,1,-0.04532602559819641
1970,wind_offshore,2030,3,2,2,-0.04532602559819641
1971,wind_offshore,2030,3,3,3,-0.04532602559819641
1972,wind_offshore,2030,3,4,4,-0.04532602559819641
1973,wind_offshore,2030,3,5,5,-0.04532602559819641
1974,wind_offshore,2030,3,6,6,-0.04532602559819641
1975,wind_offshore,2030,3,7,7,-0.04532602559819641
