data_version,Target year,Market_Node,Technology,Technology_Simplified,Operational_Status,Value
ERAA 2025 final,2030,SK00,Solar PV rooftop residential,Solar,Available on market,728
ERAA 2025 final,2030,SK00,Solar PV utility non-tracking,Solar,Available on market,28
ERAA 2025 final,2030,UK00,Solar PV utility non-tracking,Solar,Available on market,33732
ERAA 2025 final,2030,UKNI,Solar PV utility non-tracking,Solar,Available on market,411
ERAA 2025 final,2030,DKE1,Wind offshore,Wind,Available on market,663
ERAA 2025 final,2030,DKE1,Wind onshore,Wind,Available on market,880
ERAA 2025 final,2030,DKW1,Wind offshore,Wind,Available on market,2872
ERAA 2025 final,2030,DKW1,Wind onshore,Wind,Available on market,5571
ERAA 2025 final,2030,GR00,Wind offshore,Wind,Available on market,554
ERAA 2025 final,2030,GR00,Wind onshore,Wind,Available on market,7792
ERAA 2025 final,2030,GR03,Wind onshore,Wind,Available on market,666
ERAA 2025 final,2030,ITCA,Wind onshore,Wind,Available on market,2475
ERAA 2025 final,2030,ITCN,Wind offshore,Wind,Available on market,100
ERAA 2025 final,2030,ITCN,Wind onshore,Wind,Available on market,288
ERAA 2025 final,2030,ITCS,Wind onshore,Wind,Available on market,5293
ERAA 2025 final,2030,ITN1,Wind offshore,Wind,Available on market,200
ERAA 2025 final,2030,ITN1,Wind onshore,Wind,Available on market,445
ERAA 2025 final,2030,ITS1,Wind offshore,Wind,Available on market,600
ERAA 2025 final,2030,ITS1,Wind onshore,Wind,Available on market,10327
ERAA 2025 final,2030,ITSA,Wind offshore,Wind,Available on market,600
ERAA 2025 final,2030,ITSA,Wind onshore,Wind,Available on market,2515
ERAA 2025 final,2030,ITSI,Wind offshore,Wind,Available on market,600
ERAA 2025 final,2030,ITSI,Wind onshore,Wind,Available on market,4696
ERAA 2025 final,2030,NOM1,Wind onshore,Wind,Available on market,2211
ERAA 2025 final,2030,NON1,Wind onshore,Wind,Available on market,1160
ERAA 2025 final,2030,NOS1,Wind onshore,Wind,Available on market,406
ERAA 2025 final,2030,NOS2,Wind onshore,Wind,Available on market,1273
ERAA 2025 final,2030,NOS3,Wind onshore,Wind,Available on market,160
ERAA 2025 final,2030,SE01,Wind onshore,Wind,Available on market,4574
ERAA 2025 final,2030,SE02,Wind onshore,Wind,Available on market,8255
ERAA 2025 final,2030,SE03,Wind offshore,Wind,Available on market,33
ERAA 2025 final,2030,SE03,Wind onshore,Wind,Available on market,4868
ERAA 2025 final,2030,SE04,Wind offshore,Wind,Available on market,434
ERAA 2025 final,2030,SE04,Wind onshore,Wind,Available on market,2562
ERAA 2025 final,2030,UK00,Wind offshore,Wind,Available on market,45549
ERAA 2025 final,2030,UK00,Wind onshore,Wind,Available on market,25825
ERAA 2025 final,2030,UKNI,Wind offshore,Wind,Available on market,500
ERAA 2025 final,2030,UKNI,Wind onshore,Wind,Available on market,1985
