year,timestep,scenario,profile_name,value
2050,90,0,OBZLL_Wind_Offshore,0.257503449
2050,91,0,OBZLL_Wind_Offshore,0.334766382
2050,92,0,OBZLL_Wind_Offshore,0.291084392
2050,93,0,OBZLL_Wind_Offshore,0.229972549
2050,94,0,OBZLL_Wind_Offshore,0.360253793
2050,95,0,OBZLL_Wind_Offshore,0.490346191
2050,96,0,OBZLL_Wind_Offshore,0.483893608
2050,97,0,OBZLL_Wind_Offshore,0.572708565
2050,98,0,OBZLL_Wind_Offshore,0.647300748
2050,99,0,OBZLL_Wind_Offshore,0.821461861
2050,100,0,OBZLL_Wind_Offshore,0.915167943
2050,101,0,OBZLL_Wind_Offshore,0.867314802
2050,102,0,OBZLL_Wind_Offshore,0.927070474
2050,103,0,OBZLL_Wind_Offshore,0.850512295
2050,104,0,OBZLL_Wind_Offshore,0.657069037
2050,105,0,OBZLL_Wind_Offshore,0.410723284
2050,106,0,OBZLL_Wind_Offshore,0.361554519
2050,107,0,OBZLL_Wind_Offshore,0.310636467
2050,108,0,OBZLL_Wind_Offshore,0.369840985
2050,109,0,OBZLL_Wind_Offshore,0.53051644
2050,110,0,OBZLL_Wind_Offshore,0.674111489
2050,111,0,OBZLL_Wind_Offshore,0.641536395
2050,112,0,OBZLL_Wind_Offshore,0.610100091
2050,113,0,OBZLL_Wind_Offshore,0.515719317
2050,114,0,OBZLL_Wind_Offshore,0.453639031
2050,115,0,OBZLL_Wind_Offshore,0.289836641
2050,116,0,OBZLL_Wind_Offshore,0.237249535
2050,117,0,OBZLL_Wind_Offshore,0.297667922
2050,118,0,OBZLL_Wind_Offshore,0.363452974
2050,119,0,OBZLL_Wind_Offshore,0.408765505
2050,120,0,OBZLL_Wind_Offshore,0.308401917
2050,121,0,OBZLL_Wind_Offshore,0.344300081
2050,122,0,OBZLL_Wind_Offshore,0.531459685
2050,123,0,OBZLL_Wind_Offshore,0.408361225
2050,124,0,OBZLL_Wind_Offshore,0.797008158
2050,125,0,OBZLL_Wind_Offshore,0.843805858
2050,126,0,OBZLL_Wind_Offshore,0.75347127
2050,127,0,OBZLL_Wind_Offshore,0.782970822
2050,128,0,OBZLL_Wind_Offshore,0.768423016
2050,129,0,OBZLL_Wind_Offshore,0.674167282
2050,130,0,OBZLL_Wind_Offshore,0.657260708
2050,131,0,OBZLL_Wind_Offshore,0.675266559
2050,132,0,OBZLL_Wind_Offshore,0.769943321
2050,133,0,OBZLL_Wind_Offshore,0.845971938
2050,134,0,OBZLL_Wind_Offshore,0.892712135
2050,135,0,OBZLL_Wind_Offshore,0.877046177
2050,136,0,OBZLL_Wind_Offshore,0.799374069
2050,137,0,OBZLL_Wind_Offshore,0.933389579
2050,138,0,OBZLL_Wind_Offshore,0.978701622
2050,139,0,OBZLL_Wind_Offshore,0.962969735
2050,140,0,OBZLL_Wind_Offshore,0.940454421
2050,141,0,OBZLL_Wind_Offshore,0.856078331
2050,142,0,OBZLL_Wind_Offshore,0.862937185
2050,143,0,OBZLL_Wind_Offshore,0.786395153
2050,144,0,OBZLL_Wind_Offshore,0.685773028
2050,145,0,OBZLL_Wind_Offshore,0.625172016
2050,146,0,OBZLL_Wind_Offshore,0.686383526
2050,147,0,OBZLL_Wind_Offshore,0.467977534
2050,148,0,OBZLL_Wind_Offshore,0.418376277
2050,149,0,OBZLL_Wind_Offshore,0.377717581
2050,150,0,OBZLL_Wind_Offshore,0.410637549
2050,151,0,OBZLL_Wind_Offshore,0.416617625
2050,152,0,OBZLL_Wind_Offshore,0.516189521
2050,153,0,OBZLL_Wind_Offshore,0.676793082
2050,154,0,OBZLL_Wind_Offshore,0.862011077
2050,155,0,OBZLL_Wind_Offshore,0.95496402
2050,156,0,OBZLL_Wind_Offshore,0.976606486
2050,157,0,OBZLL_Wind_Offshore,0.978885903
2050,158,0,OBZLL_Wind_Offshore,0.978636421
2050,159,0,OBZLL_Wind_Offshore,0.979173825
2050,160,0,OBZLL_Wind_Offshore,0.979197552
2050,161,0,OBZLL_Wind_Offshore,0.979199164
2050,162,0,OBZLL_Wind_Offshore,0.979199251
2050,163,0,OBZLL_Wind_Offshore,0.9792
2050,164,0,OBZLL_Wind_Offshore,0.9792
2050,165,0,OBZLL_Wind_Offshore,0.9792
