base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,penalty_tot_loss_of_load,investment_cost,operational_cost
0_HourlyBenchmark,1,Xpress,0.0,19.7955187,86.1208927,382.8928878,17.2662355,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15,2.0735140160008066e6,4.332296452506538e8,2.0917564480729498e7
convex_cross,4,Xpress,7.259512,0.9894706,4.2393215,4.8377168,0.2945062,8.990570073951004e9,OPTIMAL,112713,64898,82.6327981,6.999773433121151e8,OPTIMAL,81,94,306.8299435816439,226.3692772182374,1.0663984415997615e7,6.67570006021091e8,3.16446122616932e7
convex_cross,8,Xpress,4.2286763,1.4364802,6.3793203,14.1327589,0.324304,6.315767926205467e9,OPTIMAL,173961,112418,49.4994834,7.041130816758736e8,OPTIMAL,166,159,722.4193076626211,159.6715029074468,1.7641816211401343e7,6.61755700320664e8,4.149843939661013e7
convex_cross,12,Xpress,6.8952828,0.84478,5.2831812,24.1393086,0.4701625,4.1630393504449387e9,OPTIMAL,235209,159938,49.1663317,6.813769327051859e8,OPTIMAL,199,41,484.0554863340117,25.89538044327732,1.0199017335545773e7,6.483545864333375e8,3.216340431324628e7
convex_cross,16,Xpress,4.1978852,1.0910689,6.1200117,34.5322287,0.5789535,3.3170912855557556e9,OPTIMAL,296457,207458,50.1538295,6.793452664823217e8,OPTIMAL,226,56,583.1618821186535,40.95194799920969,1.2482276602357252e7,6.482291652425652e8,3.0257159281154156e7
convex_cross,20,Xpress,15.8853055,1.3439044,7.5754345,44.5399201,0.6913207,3.0401567793092194e9,OPTIMAL,357705,254978,51.4867123,6.688054363194721e8,OPTIMAL,84,6,131.36992821296622,4.874429222999998,2.724887148719325e6,6.49462066926547e8,1.8484427434348788e7
convex_cross,30,Xpress,13.5169897,1.9781211,10.2025077,82.7061776,0.9618057,1.9538657305339355e9,OPTIMAL,510825,373778,55.2977956,6.808945433979187e8,OPTIMAL,204,196,985.4755999367775,245.46830423121563,2.4618878083359867e7,6.331261714667459e8,4.080284112975501e7
convex_cross,45,Xpress,11.5072535,2.7632239,13.5461254,119.5329916,2.0831067,1.7806195572337494e9,OPTIMAL,740505,551978,56.7356687,6.428765734956176e8,OPTIMAL,74,10,127.11425043045068,7.908614544602681,2.700457299501067e6,6.235857883198543e8,1.929078517577118e7
convex_cross,60,Xpress,15.1296421,3.3623768,17.0045589,151.000374,2.7085714,1.6048188753012695e9,OPTIMAL,970185,730178,57.7246886,6.403099863026313e8,OPTIMAL,82,25,159.11757358603268,71.36507514030615,4.609652974526776e6,6.19293009834473e8,2.101697646816191e7
convex_cross,90,Xpress,22.5586241,5.4917195,26.2565494,237.904503,3.250661,1.5177382349941406e9,OPTIMAL,1429545,1086578,58.5212254,6.381446373675444e8,OPTIMAL,67,13,211.4871062687473,8.801785771965749,4.405777840814261e6,6.167654800410668e8,2.1379157326508224e7
convex_cross,120,Xpress,51.4740556,8.4830188,46.5401424,276.0277811,5.3719764,1.3991316922437973e9,OPTIMAL,1888905,1442978,61.0074691,6.217752896426157e8,OPTIMAL,63,11,194.63164687509686,4.874429223000002,3.990121521961939e6,5.997965538613858e8,2.197873578126099e7
convex_cross,180,Xpress,99.0828919,14.6945776,70.8993737,353.0653806,7.6387359,1.0132327450853882e9,OPTIMAL,2807625,2155778,75.9555372,5.913876720472338e8,OPTIMAL,33,15,100.16409737170835,9.447200430501379,2.1922259560441948e6,5.665879845907743e8,2.4799687456462327e7
