base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,1.2352045,1.2352045,1.2352045,2.7351096,2.7351096,2.7351096,4.0364658,4.0364658,4.0364658,0.5003597,0.5003597,0.5003597,8.5071396,8.5071396,8.5071396,0.0,0.0,0.0,0.0,0.0,0.0
kmeans_cross_convex,4,0.7001523000000001,0.5457764,0.617038725,0.29979959999999994,0.28038395,0.31003290000000006,0.9154401499999997,0.83520925,1.0037007249999998,0.00660524,0.006330375,0.006925125,0.009275920000000002,0.009028925,0.009561924999999999,1.93127321,1.782635375,1.9160802000000001,976.3160826557553,601.5117373390202,1430.404365219778,2771.2,2060.0,3621.75
kmeans_cross_convex,8,0.9324997700000001,0.7887588750000001,0.84478185,0.33907933,0.306512025,0.36798814999999996,1.07944957,0.9541527,1.2132226000000002,0.01196393,0.0117756,0.0121295,0.012548219999999999,0.011814274999999999,0.013202175,2.37554082,2.1257966250000004,2.463403175,545.4766160427837,487.6809426283563,596.0483869044469,1913.3,1787.5,2031.0
kmeans_cross_convex,12,1.06806041,0.8882881250000001,1.0130011749999999,0.34377607000000004,0.30991067499999997,0.37058430000000003,1.09074692,1.0176244749999999,1.2479191749999998,0.018390760000000003,0.017609525,0.019106025000000002,0.01492932,0.014629975,0.0152418,2.5359034799999995,2.2787349499999996,2.59028705,416.8346997722383,351.12722568598605,468.39409072871337,1600.2,1442.25,1737.0
kmeans_cross_convex,16,1.2810611299999999,0.9622197,1.1761456000000001,0.31447019000000004,0.283335825,0.3468022,0.91031178,0.8205044,1.022526875,0.03047146,0.029182575,0.032326,0.01649554,0.016081875000000002,0.016835875,2.5528101,2.339495175,2.4722704500000003,262.1772972688723,266.3824080777827,312.97149946003896,1080.0,1160.25,1316.0
kmeans_cross_convex,20,1.36574285,1.1404098,1.2359372,0.32114313999999994,0.3016632,0.324670075,0.9653605800000001,0.9287269250000001,1.010221875,0.04221595,0.0371439,0.040328625,0.020296940000000003,0.020050775,0.020752525,2.71475946,2.47589185,2.7234732,192.4478854512809,78.02296800936888,275.6100153386303,835.6,342.5,1191.75
kmeans_cross_convex,30,1.5093710200000001,1.32131375,1.4277044500000002,0.34516188,0.317755525,0.36618379999999995,1.0446083800000001,0.9994569,1.128235175,0.07271457,0.069484725,0.0781127,0.02456962,0.023334049999999995,0.025726350000000002,2.99642547,2.7693405749999997,3.0286579750000002,63.660314922993315,11.99957023762473,65.51808502710622,299.5,76.5,312.25
kmeans_cross_convex,60,1.99694365,1.69143385,1.8101495,0.37637281,0.355765725,0.400202725,1.10714347,1.042183825,1.188266125,0.23357318000000005,0.219148275,0.23311315,0.04346308,0.042855375,0.044096775,3.75749619,3.441700775,3.7562715,11.03977841070456,6.568658096230784,14.178317734164377,71.9,46.5,89.25
kmeans_cross_convex,90,2.29883046,1.85040725,2.1992406750000004,0.4492409599999999,0.406763225,0.47399839999999993,1.2784605199999999,1.18723625,1.350501775,0.28404316,0.241598575,0.306909025,0.06666314000000001,0.062313125,0.065244075,4.377238239999999,3.8526502999999996,4.761424,10.022924391546098,4.745972850117021,14.113464634008286,62.7,40.5,88.5
kmeans_cross_convex,120,2.42621249,1.913378875,3.1483433,0.48732859,0.44994195000000003,0.4935452,1.27617287,1.1477736749999998,1.3418640749999997,0.38560248,0.361052025,0.37945380000000006,0.09117236,0.081290825,0.083519125,4.66648879,4.1506734000000005,5.328957025,4.267118255093414,3.4199999751927406,4.977288757103245,35.3,29.0,40.0
kmeans_cross_convex,180,2.51931862,1.9901198750000002,3.214939925,0.5410117999999999,0.52242935,0.5575324500000001,1.4190748100000001,1.371144725,1.472659675,0.6765883500000001,0.5766363999999999,0.7766886749999999,0.13744674,0.115468425,0.143274375,5.29344032,4.7186341249999995,5.8964733250000005,2.8141816462263107,1.4698413332906621,3.997029462793839,25.1,16.25,34.75
kmeans_cross_convex,240,2.46632556,1.8787234499999999,3.226790625,0.63195271,0.6055722,0.63869075,1.58253701,1.429272375,1.6728167,1.05323871,0.9033058,1.0857510499999998,0.17045761,0.14429395,0.16764787500000003,5.904511600000001,5.2678235749999995,6.581239600000001,1.8173268650854344,1.2197991425943184,2.1049295913617483,18.4,13.5,18.0
kmeans_cross_convex,360,2.52221047,1.653085825,3.45247505,0.76674201,0.74727165,0.790805175,1.9405151500000002,1.8693514000000002,2.01037285,1.9744662499999996,1.70862765,2.0461534749999997,0.24905753000000005,0.22260705,0.241548825,7.45299141,6.266064824999999,8.314319125,0.8110236821324118,0.3109810252695484,1.2952210486293327,10.0,7.0,13.0
kmeans_per_convex,4,0.33125497000000004,0.2863845,0.3308417,0.34771796,0.3045344,0.37851435,1.1635971900000002,1.0100288499999999,1.2867785,0.0072825699999999995,0.007057975,0.00756375,0.01108901,0.01017295,0.011988825,1.8609417000000001,1.627116625,2.012180725,1900.2707752028691,1911.8881262224688,1911.8881262224688,4316.4,4336.0,4336.0
kmeans_per_convex,8,0.9602305000000001,0.65211995,0.934682,0.4945322,0.43835147500000005,0.5344200499999999,1.55997566,1.320574,1.775108925,0.01540988,0.014817325,0.016732,0.021239599999999997,0.018005325,0.021968875,3.05138784,2.8146472000000005,3.0627527,881.6207630652914,488.10653312003063,1199.3716198680845,2564.0,1784.25,3192.25
kmeans_per_convex,12,1.01295136,0.843296775,0.924355525,0.43097216000000005,0.39771045,0.47102512500000004,1.49785656,1.2659214,1.642298125,0.02217165,0.019469325,0.023256675,0.019794199999999998,0.0170303,0.02211815,2.98374593,2.6647033749999998,3.389231375,698.4909176169854,452.3372016582622,1012.4878409283599,2207.9,1691.75,2877.5
kmeans_per_convex,16,1.09413191,0.771180125,1.045408275,0.36865581000000003,0.33411015,0.391704325,1.10547166,0.94763015,1.2996447,0.030642159999999995,0.028627125,0.030924725000000004,0.01875376,0.018229975000000002,0.01922445,2.6176553000000005,2.3825532750000002,2.7031793499999996,338.72422271363126,233.79314607962982,473.09268458106277,1318.3,1025.75,1749.0
kmeans_per_convex,20,1.01806494,0.822014675,0.8573137499999999,0.34941483,0.325519025,0.371713575,1.09937605,0.9933544000000001,1.195693675,0.04228372,0.034834875,0.040701925,0.02116117,0.020120174999999997,0.020843325,2.53030071,2.306035825,2.48886605,324.52430739453314,213.94017626454394,445.49289355280007,1274.6,952.25,1691.5
kmeans_per_convex,30,1.0545156199999999,0.888179075,0.9583105,0.37617069999999997,0.346701425,0.40087845,1.1978983699999999,1.081850925,1.3430847000000001,0.07419110999999999,0.06168245,0.086298825,0.02616344,0.025306825,0.026977175,2.7289392400000003,2.551763275,2.78486265,139.53814047273323,61.38629173828098,203.72080726510364,608.1,281.0,914.75
kmeans_per_convex,60,1.55916228,1.2466117,1.368948175,0.38777836,0.3729624,0.399182575,1.1748895,1.088225175,1.2701083,0.23902142000000004,0.220193325,0.26793757500000004,0.04355326,0.0423119,0.043891175000000004,3.40440482,3.138965325,3.301490625,34.32727104395856,7.0956410574883195,45.59386873631753,174.1,51.0,223.0
kmeans_per_convex,90,1.7120771600000002,1.37270905,1.5142049499999999,0.43777955999999996,0.4176546,0.466271525,1.29805802,1.1554523749999999,1.4735676999999998,0.27512068,0.246674875,0.30360485,0.06417288000000002,0.06163705,0.06632012500000001,3.7872083000000005,3.458531175,3.7769783000000006,12.155315365653752,8.454456977850136,13.158434689500075,70.6,54.75,81.0
kmeans_per_convex,120,2.0161928,1.527231275,2.734315275,0.56253636,0.466366,0.6494778999999999,1.39918795,1.2899196000000002,1.571548825,0.47380487000000004,0.408836625,0.505102475,0.09104737999999998,0.08122495,0.086467875,4.54276936,4.1884738,5.020308675000001,8.163269702457645,1.9449208923150816,10.302721654854777,48.1,20.25,65.5
kmeans_per_convex,180,2.1978164500000004,1.6735479999999998,2.9517494749999997,0.59208007,0.5470806,0.6114571750000001,1.62262158,1.4822244,1.7952169999999998,0.77182558,0.6180635,0.807595075,0.12294418,0.114317075,0.1242786,5.307287860000001,4.852558849999999,5.911422249999999,2.0342562574906817,1.2350640690895034,2.406173966171443,19.6,13.25,22.75
kmeans_per_convex,240,2.0806852,1.5779736,2.757886,0.63198742,0.59645085,0.642271575,1.68567854,1.58512145,1.79349135,1.06395698,0.910313275,1.1824374999999998,0.15624482,0.147314125,0.155349175,5.61855296,4.985497275,6.135689650000001,1.4347542132027131,0.8673340770183917,2.1661959531771116,15.7,12.25,22.0
kmeans_per_convex,360,2.17318369,1.37139875,2.849369725,0.7687958699999999,0.7526975,0.787586,2.08345725,1.9767531000000003,2.130134275,2.1700715799999997,1.4245619,2.4366293750000003,0.25740076999999995,0.226676125,0.246158975,7.452909159999999,6.085946525,8.612953675,0.9517083674346694,0.395950276898958,1.322360718910444,11.4,7.25,14.5
kmedoids_cross_convex,4,0.91951646,0.6438843249999999,0.7619092249999999,0.32280509,0.302876025,0.341485225,1.0224070399999998,0.919793075,1.146463425,0.0071949,0.006793450000000001,0.007413725,0.010463319999999998,0.009472075,0.01160395,2.2823868099999998,2.008666,2.2964617,591.1916589032751,526.8572661358602,537.9710759124167,1981.7,1807.25,1871.0
kmedoids_cross_convex,8,1.0861571299999997,0.8848355999999999,1.0099752,0.34463859,0.30667755,0.380106875,1.1324701,0.9590586249999999,1.2595624,0.01326398,0.011713524999999999,0.014462725,0.013509149999999998,0.012771399999999999,0.014250800000000001,2.59003895,2.3222661249999996,2.7161303250000004,361.8745989652861,233.60698011364133,476.68785564934166,1333.0,1020.5,1727.25
kmedoids_cross_convex,12,1.3157739000000002,1.12881085,1.2826377999999998,0.35577136,0.317716175,0.388006925,1.0795245100000002,1.00083505,1.173699775,0.02218793,0.0183384,0.022255275,0.01628856,0.014309275,0.0166457,2.7895462600000003,2.5398145750000003,2.913767,264.8078646501971,134.64756306105033,378.20527487209336,1036.7,596.0,1507.25
kmedoids_cross_convex,16,1.4622845899999999,1.2304115,1.3873852749999998,0.35806506000000005,0.34480544999999996,0.37378174999999997,1.11980192,1.0536702500000001,1.18469965,0.03051513,0.0269742,0.031106400000000003,0.01861294,0.018026825000000003,0.018750125,2.989279640000001,2.7337701250000004,3.07142615,210.23242505567478,45.090442434385274,262.7034206617131,822.3,226.75,1086.5
kmedoids_cross_convex,20,1.7936775499999995,1.43522455,1.51602435,0.32739904999999997,0.311515325,0.334923175,0.9570877,0.878207925,1.0411013500000001,0.04297547,0.033110775,0.036412075,0.021098109999999996,0.01981455,0.021428049999999997,3.14223788,2.792908025,3.016663925,109.09391963046843,26.221898516875612,210.9441640094051,471.4,117.25,931.0
kmedoids_cross_convex,30,1.9304429600000002,1.78208305,1.86145455,0.34505383999999995,0.34448305,0.354397825,1.0902264700000002,1.0954259499999999,1.1278949249999999,0.06330984999999999,0.049961450000000004,0.07037747500000001,0.028725519999999997,0.025016024999999997,0.030719125,3.4577586399999993,3.318428725,3.432729625,31.325449122777258,2.463656247848945,57.024827908333634,146.6,21.25,256.25
kmedoids_cross_convex,60,2.7108429800000002,2.317445075,2.589951475,0.40509137000000006,0.385427275,0.417136,1.21493682,1.1552412749999998,1.2735640750000001,0.17405484,0.163630025,0.190044875,0.04558259,0.043654575,0.045325975000000004,4.550508600000001,4.136394075,4.516603925,1.4933069606417253,0.0033418706480064647,1.1777307289006997,9.9,1.0,10.5
kmedoids_cross_convex,90,3.2843955099999995,2.711947875,4.10422535,0.48492810999999997,0.450105625,0.5075067,1.30743338,1.175365175,1.4377943,0.3846256,0.347102,0.41647765000000003,0.0684718,0.0621113,0.0691711,5.5298544000000005,5.100591025,6.273578800000001,0.020699011330247073,0.00016547277657295823,0.010727533741747907,0.9,0.0,1.0
kmedoids_cross_convex,120,3.2264138099999995,2.8023863999999996,3.264266825,0.5006379,0.48785252500000004,0.508834275,1.3515692,1.301437675,1.4020454,0.48627228999999994,0.427069125,0.510941775,0.09091632000000001,0.080104725,0.08459685,5.65580952,5.243220825,5.6928996750000005,0.007569368681383501,0.00016076715156806973,0.00873839374340747,0.5,0.0,1.0
kmedoids_cross_convex,180,3.75708082,3.2500625999999997,4.412606425,0.5838695800000001,0.561861775,0.597438525,1.4846739,1.439823225,1.5430446,0.8250108300000001,0.7463167500000001,0.90228555,0.13006763000000002,0.116799,0.12705075000000002,6.78070276,6.313758675,7.172149,0.13348107490589073,4.5865052755015846e-5,0.0061268070325482165,1.7,0.0,1.0
kmedoids_cross_convex,240,3.8288481000000005,3.1115846,4.749951749999999,0.6210400899999999,0.6090340249999999,0.633661875,1.60146279,1.5149116999999999,1.662827625,1.10581908,0.92675705,1.177697975,0.15426732999999998,0.150196175,0.15856135,7.311437389999999,6.566395400000001,8.083706975,0.013563726785818969,6.464003722328463e-5,0.032002815784146196,0.7,0.0,1.75
kmedoids_cross_convex,360,3.80600391,2.8026223999999997,4.713620125,0.7399409299999999,0.7330939249999999,0.746623625,1.8898312400000001,1.86288585,1.9361256,1.76552373,1.45211975,2.0443719000000002,0.23430211,0.21636099999999997,0.223253025,8.43560192,7.818025050000001,9.139350175,0.06782607477409466,7.13949725849747e-5,0.043997561397382444,1.3,0.0,2.0
kmedoids_per_convex,4,0.5042686999999999,0.3221018,0.402602075,0.34810365000000004,0.31742125,0.380823775,1.16444359,1.037095125,1.315505925,0.00692363,0.006753325,0.007086175,0.026557830000000004,0.010552525,0.0125959,2.0502974,1.88793,2.14203435,423.76801813388175,335.0983448671273,500.6261665784951,1463.1,1252.75,1645.0
