base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,6.1487758,6.1487758,6.1487758,16.4786474,16.4786474,16.4786474,9.1431614,9.1431614,9.1431614,2.1246162,2.1246162,2.1246162,33.8952008,33.8952008,33.8952008,0.0,0.0,0.0,0.0,0.0,0.0
kmeans_cross_convex,4,1.8660624199999998,0.529613925,0.7503661250000001,0.37268034000000005,0.36041924999999997,0.39302812499999995,1.11328345,1.0779009249999998,1.172224075,0.007787790000000001,0.00737675,0.00814405,0.012975829999999999,0.01283385,0.013406325,3.37278983,2.100847175,2.307613425,0.07429151552649553,0.0743147598107467,0.0743147598107467,-9.0,-9.0,-9.0
kmeans_cross_convex,8,0.9951567199999998,0.72847835,1.0010891,0.4035672,0.37984775000000004,0.42481349999999996,1.2042684399999999,1.161376675,1.252664525,0.01412366,0.01321895,0.014857700000000001,0.016738880000000005,0.015271175,0.01826965,2.6338549,2.409724425,2.63184465,0.05118573679417655,0.04725746144041165,0.04979080227954426,-9.0,-9.0,-9.0
kmeans_cross_convex,12,1.08484125,0.9478779499999999,1.0393216,0.44130770999999996,0.42075442500000004,0.45908427500000004,1.2733923200000001,1.2392125250000001,1.3361135249999998,0.02276691,0.0203744,0.02546425,0.02200471,0.02142255,0.023571324999999997,2.8443129,2.7256573,2.8057281499999998,0.04062917747093348,0.040912193025754454,0.043489179050565444,-9.0,-9.0,-9.0
kmeans_cross_convex,16,1.22172349,0.943605925,1.15689325,0.4373520999999999,0.403997875,0.45773235,1.2820655699999999,1.23672565,1.3321081,0.037440520000000005,0.035991375,0.03761955,0.02510238,0.0217988,0.028476975,3.00368406,2.7041424500000004,3.1003189,0.04177478187781676,0.040547118903014004,0.042909387213608444,-9.0,-9.0,-9.0
kmeans_cross_convex,20,1.35127891,1.109582925,1.2652702,0.46122796,0.45291865,0.477143975,1.3024830000000003,1.250470775,1.3552683250000002,0.045256290000000005,0.042658699999999994,0.046472925,0.030364840000000004,0.0285233,0.033077475,3.190611,2.9468481250000003,3.1489715,0.0375858380839633,0.0364609668482548,0.04148656588096184,-9.0,-9.0,-9.0
kmeans_cross_convex,30,1.48805894,1.2430435000000002,1.411208825,0.46117021999999996,0.448328775,0.4745102,1.32999095,1.280851725,1.382742075,0.07762063999999999,0.069169575,0.07457615,0.039148419999999996,0.034392825,0.044358749999999995,3.39598917,3.1365284499999997,3.403908125,0.028134334534459675,0.026250488588022255,0.03498811579570078,-8.4,-9.0,-9.0
kmeans_cross_convex,60,1.6377316,1.325794475,1.5063550749999999,0.56130607,0.543965025,0.59134635,1.6384263500000003,1.5812619,1.682468575,0.22218362000000003,0.196016225,0.238282,0.07508763999999998,0.07480780000000001,0.079671075,4.134735279999999,3.8524002999999998,4.2001104,0.019877287544691938,0.00217692042749764,0.011386532228796566,10.9,-6.75,-0.25
kmeans_cross_convex,90,2.11119453,1.6785706249999999,2.683070725,0.63477511,0.60921325,0.677633225,1.76157356,1.6591272000000001,1.798864825,0.4763948699999999,0.438109775,0.51727615,0.10980813999999998,0.11003004999999999,0.116229725,5.09374621,4.6337496,5.449041225,0.04224834085804108,0.006620835715258199,0.06901285253172329,40.5,14.75,66.25
kmeans_cross_convex,120,2.11624823,1.629642525,2.733353475,0.70314269,0.6644955749999999,0.723226875,1.97040957,1.89879595,2.085608525,0.66662085,0.62824795,0.6881619999999999,0.13103855,0.1122908,0.148163925,5.587459890000001,5.108678149999999,6.1600797,0.04996499687993756,0.0008057265396782488,0.08133121750482662,39.3,0.0,69.75
kmeans_cross_convex,180,2.47029392,2.0392515749999998,3.1244856249999997,0.85306124,0.82870835,0.9052595000000001,2.3553958800000006,2.2874151750000005,2.51133365,1.21120676,1.09590605,1.375211675,0.20089281000000003,0.164902375,0.23193987500000002,7.0908506099999995,6.6006211,7.697201324999999,0.01012887702647579,0.0007011151170474768,0.011082062442689658,12.7,0.0,18.5
kmeans_cross_convex,240,1.7668076499999998,1.1128107999999999,2.701001425,0.74512219,0.7317528,0.75843615,1.9799078600000002,1.8856845,2.073701475,1.9106499099999996,1.54635395,2.188743575,0.24758661999999995,0.194182375,0.29249075,6.6500742299999995,5.8780512,7.264601225,0.00193441620530006,0.0005523970600352141,0.0006978097828507539,2.1,0.0,0.0
kmeans_cross_convex,360,1.8771318100000003,1.041201875,2.75300475,0.96255963,0.931920125,0.966292975,2.55838564,2.513110675,2.6288596249999996,3.49985936,3.0759647500000002,3.8521196499999997,0.34620669000000004,0.3156903,0.355773725,9.244143130000001,8.413342199999999,9.7512641,0.0005277230406754006,0.0004930939030490201,0.0005968130280035025,0.3,0.0,0.0
kmeans_per_convex,4,0.40300375,0.192983325,0.250040425,0.4195789100000001,0.37190135,0.453619875,1.37684239,1.29139205,1.4507389750000002,0.007676189999999999,0.00715915,0.008212774999999999,0.011946559999999998,0.009825374999999999,0.013435224999999999,2.2190478000000002,1.87421475,2.2832218749999997,0.06696863661597686,0.06696863661597686,0.06696863661597686,-9.0,-9.0,-9.0
kmeans_per_convex,8,0.45429044999999996,0.283583425,0.32858285,0.41280526,0.373826925,0.46550905,1.2920728799999999,1.0554533000000001,1.4524807750000002,0.013747659999999998,0.012795025,0.014296975,0.016912700000000003,0.0159577,0.017632525,2.18982895,1.9116292499999998,2.345450875,0.04889683928288212,0.04100790520582723,0.06075784951846997,-9.0,-9.0,-9.0
kmeans_per_convex,12,0.5399319000000001,0.3702584,0.47169120000000003,0.40878820000000005,0.3818425,0.431844925,1.27965158,1.1770314,1.3612785,0.02119032,0.019454950000000002,0.022655725,0.01778184,0.016580375,0.01921705,2.26734384,2.078101075,2.343763925,0.04318528573655146,0.03976736627657065,0.04041649712860592,-9.0,-9.0,-9.0
kmeans_per_convex,16,0.5319166200000001,0.357086725,0.47429817500000004,0.39900524000000004,0.36112955,0.43431395000000006,1.2562541,1.15501435,1.407460075,0.03230926,0.031646275,0.033124600000000004,0.02125817,0.019512875,0.022150625,2.2407433900000004,2.0373744499999997,2.293701975,0.03621115329169168,0.032970140342460104,0.03894867913736074,-9.0,-9.0,-9.0
kmeans_per_convex,20,0.80971481,0.47296885,0.6393860250000001,0.41926980999999997,0.391322175,0.441968,1.2686022000000001,1.121926375,1.3675827999999999,0.0394424,0.038127799999999996,0.040260025000000005,0.025742340000000002,0.021508424999999998,0.028948074999999997,2.5627715600000003,2.274804525,2.5043534750000003,0.03233885203382283,0.03163230719168422,0.03559913151337789,-9.0,-9.0,-9.0
kmeans_per_convex,30,0.7925835299999999,0.449033675,0.56612785,0.4527323200000001,0.41864992500000003,0.47312132500000004,1.3537993099999999,1.2630248499999999,1.41871785,0.06522945,0.05654475,0.0687622,0.033772029999999995,0.030467425,0.034179150000000005,2.69811664,2.3331722999999998,2.7337431249999997,0.021925300588834525,0.023500126743826642,0.029314227852383315,-7.4,-9.0,-9.0
kmeans_per_convex,60,0.92845786,0.5960133999999999,0.7853382250000001,0.44585093000000003,0.410614825,0.48320185000000004,1.3260224099999998,1.2392909250000002,1.4243126999999998,0.18602038999999998,0.17778295,0.19437045,0.06071937000000001,0.05545845,0.0636373,2.94707096,2.7215266750000002,2.8266834999999997,0.011395297045232552,0.0013418597015518608,0.020813559132001516,9.3,-1.0,18.25
kmeans_per_convex,90,1.02496873,0.66832935,0.8586796,0.5188177599999999,0.49837512500000003,0.5322179,1.54588593,1.4582571750000002,1.6057008499999998,0.4158809600000001,0.377432175,0.43642275,0.09983272,0.084230875,0.09599215000000001,3.6053860999999996,3.2876663000000006,3.4012112999999995,0.0059967399767275765,0.0009137907893211972,0.012548002713604822,7.7,0.0,18.75
kmeans_per_convex,120,1.15766355,0.7458319,1.6718267749999998,0.5009830399999999,0.47232817499999996,0.5157888,1.4017462100000002,1.295631375,1.4550474,0.59345237,0.54911485,0.633205425,0.09373442,0.087412325,0.09597055000000002,3.74757959,3.338907075,4.2193326749999995,0.0019835769040111068,0.0007976342254931198,0.0009257192780665728,1.9,0.0,0.0
kmeans_per_convex,180,1.37431339,0.769682675,2.047686825,0.64682494,0.55855385,0.7229083000000001,1.7961660099999999,1.581526575,1.96826735,1.23352168,1.058745025,1.33998965,0.18173577999999999,0.133643475,0.197108575,5.232561800000001,4.520931875,5.5131345000000005,0.0007141818922967434,0.0005498130519778219,0.0007781488956307719,0.9,0.0,0.75
kmeans_per_convex,240,1.4979138900000002,0.90066565,2.305824125,0.8117317099999999,0.8049908750000001,0.843205975,2.22891618,2.1694788000000003,2.2653646000000003,1.9172484400000003,1.68583225,2.033939775,0.27906387,0.21098715,0.31516062499999997,6.73487409,6.338612,7.464701625,0.0007962960065533667,0.0005289575941117031,0.0006687461368694196,0.9,0.0,0.0
kmeans_per_convex,360,1.66228284,0.859197875,2.4937909750000005,1.08982828,1.073365025,1.11816775,2.9050420900000002,2.7813079,3.0320653249999996,3.2212099000000007,2.820037475,3.2951169499999997,0.37037548,0.311975975,0.401843775,9.248738589999999,8.325811900000001,10.1736702,0.0007131060166684135,0.0004050843346419547,0.0005996823522224505,2.2,0.0,3.25
kmedoids_cross_convex,4,0.4639933000000001,0.31738307499999996,0.4467517,0.38627366,0.36959782500000005,0.41236545,1.23691767,1.191599975,1.3358794999999999,0.006827539999999998,0.006143275,0.007469825,0.011449700000000002,0.009631825,0.01335,2.10546187,1.974406675,2.200829025,0.09628795864223993,0.09863223497738537,0.10153701118963797,-9.0,-9.0,-9.0
kmedoids_cross_convex,8,0.68481611,0.48072112499999997,0.579629175,0.42446174000000003,0.398167,0.4376095,1.33205972,1.2221884,1.4230218749999999,0.013316749999999999,0.0120375,0.014632025,0.016777020000000004,0.014287075,0.019128725,2.4714313399999996,2.2629740500000004,2.539870325,0.05019036253912977,0.04703971400340852,0.05042541728298099,-9.0,-9.0,-9.0
kmedoids_cross_convex,12,1.00510185,0.655281825,0.9096087749999999,0.4547771599999999,0.41993312499999996,0.4792232,1.37282826,1.2700316999999999,1.534693125,0.020098120000000004,0.019436525,0.02148975,0.01956326,0.0170621,0.02227805,2.87236865,2.6569494000000002,2.8586299000000004,0.046817558538905256,0.04486739004912407,0.047587477959583,-9.0,-9.0,-9.0
kmedoids_cross_convex,16,1.0023475,0.74651555,0.9648230250000001,0.4611604100000001,0.420998925,0.493245025,1.38226634,1.3026254750000001,1.483106775,0.03387384,0.031058275,0.037537975,0.02517485,0.023914724999999998,0.027006575,2.90482294,2.66107785,2.93659,0.04415679102940653,0.0441595467219116,0.04748311477465089,-9.0,-9.0,-9.0
kmedoids_cross_convex,20,1.3435239499999998,0.945189475,1.23559245,0.45607556000000005,0.4336487,0.45127555,1.38595254,1.2391738749999999,1.471805375,0.04304812,0.036032925,0.0424596,0.027761800000000003,0.02157275,0.032975725,3.2563619699999995,2.912010775,3.434177375,0.04103167091225149,0.04140179597384602,0.04330618701675254,-9.0,-9.0,-9.0
kmedoids_cross_convex,30,1.4489521500000002,1.236356825,1.305437725,0.44590119999999994,0.41801255,0.464122775,1.3392411999999998,1.26156975,1.44633225,0.06795287,0.059415924999999994,0.0708619,0.03770543,0.034138675,0.041155575,3.33975285,3.1704115,3.35155905,0.03534535395184935,0.030879120694691647,0.04032319348064285,-9.0,-9.0,-9.0
kmedoids_cross_convex,60,2.4545573199999997,1.9788647,2.2647015,0.57390695,0.5440568,0.6136655,1.71203979,1.5756561,1.853934225,0.21893465,0.19731432499999998,0.239326,0.06993814000000001,0.0624789,0.07741179999999999,5.02937685,4.62520955,5.374470499999999,0.014228630169347441,0.0026346494138780544,0.024006310389133822,-1.0,-9.0,-1.0
kmedoids_cross_convex,90,3.14884447,2.3920957000000005,4.204545075,0.56598468,0.5150029249999999,0.60418965,1.56130779,1.4924023499999999,1.648507825,0.38874250000000005,0.33709175,0.43380155,0.09423307,0.0853652,0.1042637,5.7591125100000005,5.027898575,6.632770475,0.012470202212571304,0.003125017084678791,0.014901240147924034,3.3,-5.0,11.0
kmedoids_cross_convex,120,3.62880562,2.8832359,4.700276725,0.63775881,0.61093275,0.6846884249999999,1.7261141499999997,1.6979456750000002,1.871473675,0.54218502,0.51528555,0.568039725,0.12037745,0.11229975,0.13147085,6.655241050000001,6.086228174999999,7.745067774999999,0.0198372949457481,0.0030648599388668376,0.007279017508674775,12.0,-5.0,9.0
kmedoids_cross_convex,180,4.292666410000001,3.636683825,5.103361425,0.77271892,0.74016985,0.8205004499999999,2.06604993,1.969075225,2.2140389000000003,1.1325633600000002,1.0609215500000002,1.136603225,0.18867425999999998,0.17841137499999998,0.20486575,8.452672880000001,8.0847315,9.13630895,0.009845189854219623,0.002758566952008176,0.01314487425086969,9.8,-3.75,19.5
kmedoids_cross_convex,240,5.17245359,4.1689612,6.134030075,0.85722104,0.8156244,0.8903013,2.26663981,2.18131405,2.3039933,1.6224196,1.3890042249999999,1.8603896500000001,0.27983428,0.2390583,0.26277364999999997,10.198568319999998,9.442566075000002,10.9308989,0.004333163356981045,0.0014884181533965438,0.006239771754079532,4.0,-3.75,10.75
kmedoids_cross_convex,360,5.38060759,4.40895285,6.5777001749999995,1.1446817399999998,1.112784375,1.158079125,2.84983918,2.7104271250000003,2.912463375,2.6802939999999995,2.3549636499999997,3.00271915,0.44645360999999995,0.38408817500000003,0.49718845000000006,12.50187612,11.531035074999998,13.343380425,0.0028662961904762493,0.0009529956412665317,0.002330293579234439,2.4,-4.0,4.75
kmedoids_per_convex,4,0.25037423999999997,0.20738352499999999,0.26342865,0.52452235,0.468496375,0.582619,1.7832492300000002,1.5382432750000001,2.152897025,0.00797755,0.007690499999999999,0.008195599999999999,0.01504136,0.013196850000000001,0.01668085,2.5811647300000002,2.223039925,3.0343483749999995,0.09258825957549854,0.09258825957549854,0.09258825957549854,-9.0,-9.0,-9.0
