method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio,lol_ratio
convex,20,54.6,112.2,1.178350643285452,3.581057454120934,-0.8044422179861502,-1.5881434650703177
convex,40,28.8,26.4,0.5628965986824683,0.46235643012029615,-0.13571428571428573,-0.3304336393927664
convex,60,35.6,23.6,0.7426126479167641,0.41772261343518446,-0.5948076923076923,-1.0062481752665469
convex,80,16.8,23.8,0.2665813605586153,0.4213293214119149,0.30142857142857143,0.3386783714698623
convex,100,12.0,17.4,0.21879879472338387,0.3001901228570383,0.26833333333333337,0.2142851485065492
convex,150,2.2,9.8,0.03050586468025136,0.16758186011071136,0.5700000000000001,0.5331393463225047
convex,300,1.2,7.0,0.016562547571041985,0.11067927324742635,0.525,0.5168486382935296
convex,450,0.4,0.8,0.0031761224687678613,0.008396490784167954,0.26666666666666666,0.28540688802068825
conicalb,20,50.8,34.0,1.2280422281574754,0.7107993203955371,-5.0348771710217495,-4.177625727381486
conicalb,40,31.6,26.0,0.600089635013766,0.5021667710698827,-0.40196213425129085,-0.4518695072887945
conicalb,60,25.0,19.8,0.4685294001053865,0.3372995602453723,-0.6603361344537815,-0.948375453738687
conicalb,80,17.8,19.6,0.2975674647217678,0.3422160964679235,-0.24857142857142858,-0.32906892235432555
conicalb,100,15.6,15.6,0.255799581068464,0.2574423107334087,0.058666666666666666,0.06319565687296501
conicalb,150,12.6,7.8,0.2025802015410283,0.11444688769839137,-0.04217391304347826,-0.10917155423240876
conicalb,300,1.2,6.0,0.016708806198530858,0.10141655527397138,0.4,0.3906721499483103
conicalb,450,0.4,0.6,0.0031766161257882784,0.006075371150895803,0.2,0.20009989475863227
