base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,3.5732551,9.5365237,1.0159708,0.919334,126.55289998032853,OPTIMAL,800,602,0.0,0.0,,0,0.0
kmeans_cross_dirac,2,Gurobi,4.0066541,0.2175203,0.6543274,0.0023262,0.0049758,72.59657891123528,OPTIMAL,8,8,0.002247,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.0918663,0.2321883,0.7667955,0.0027407,0.005389,72.59657891123528,OPTIMAL,8,8,0.0013923,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.2353579,0.2519721,0.7367796,0.002274,0.005451,72.59657891123528,OPTIMAL,8,8,0.0013219,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.1385426,0.2507035,0.9604797,0.0022384,0.0058436,72.59657891123528,OPTIMAL,8,8,0.0012873,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.0864528,0.2340735,0.7382596,0.0026013,0.005666,72.59657891123528,OPTIMAL,8,8,0.0011652,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.0839464,0.2853481,0.9210474,0.0022636,0.0058461,72.59657891123528,OPTIMAL,8,8,0.0011599,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.0869898,0.2879324,0.9197019,0.0022653,0.0066648,72.59657891123528,OPTIMAL,8,8,0.0011121,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.0892559,0.2842305,1.0595425,0.001877,0.0060464,72.59657891123528,OPTIMAL,8,8,0.0014256,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.1224172,0.3872819,1.1581832,0.0027808,0.005506,72.59657891123528,OPTIMAL,8,8,0.0011695,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,2,Gurobi,0.2240759,0.2385655,0.7356853,0.0026624,0.005801,72.59657891123528,OPTIMAL,8,8,0.0013226,1130.979292118751,OPTIMAL,39,7.055931794262062
kmeans_cross_dirac,4,Gurobi,0.1172102,0.2719425,0.8219122,0.0021751,0.0058302,81.67386038168226,OPTIMAL,16,14,0.0019142,668.0628429165764,OPTIMAL,26,3.909285945472268
kmeans_cross_dirac,4,Gurobi,0.160058,0.2942932,0.9871812,0.0020695,0.0070138,81.67386038168226,OPTIMAL,16,14,0.0016698,668.0628429165764,OPTIMAL,26,3.909285945472268
