base_name,rp,solver,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,time_to_cluster
kmedoids_cross_convex,12,Xpress,2.2792209,13.2500609,31.6068947,0.6730734,6.038986686895981e8,OPTIMAL,235209,159938,60.1096337,5.855259752358917e8,OPTIMAL,0,0,0.0,0.0,1.4931684
kmedoids_cross_convex,12,Xpress,3.8525243,21.2783679,29.9038202,0.7552964,6.086362765793304e8,OPTIMAL,235209,159938,63.189354,5.866339754958334e8,OPTIMAL,0,0,0.0,0.0,1.507011
kmedoids_cross_convex,12,Xpress,3.236985,23.8324737,25.7073815,0.68517,6.176272294381027e8,OPTIMAL,235209,159938,62.754652,5.871688726028466e8,OPTIMAL,0,0,0.0,0.0,1.5081665
kmedoids_cross_convex,12,Xpress,3.4169007,17.7212473,25.8946751,0.6931794,6.105844658814392e8,OPTIMAL,235209,159938,60.3051266,5.877322110002941e8,OPTIMAL,0,0,0.0,0.0,1.476012
kmedoids_cross_convex,12,Xpress,3.4911574,14.9462905,28.9698894,0.737027,6.118766586023407e8,OPTIMAL,235209,159938,61.1629917,5.901463623431336e8,OPTIMAL,0,0,0.0,0.0,1.5730089
kmedoids_cross_convex,12,Xpress,3.9987652,20.0035784,28.3202642,0.6405402,6.104274715255127e8,OPTIMAL,235209,159938,64.7020234,5.885736661991881e8,OPTIMAL,0,0,0.0,0.0,1.4356957
kmedoids_cross_convex,16,Xpress,3.5894319,19.1874304,41.2800393,0.8498523,6.01307883706604e8,OPTIMAL,296457,207458,61.2449906,5.83761451327399e8,OPTIMAL,0,0,0.0,0.0,1.5782165
kmedoids_cross_convex,16,Xpress,4.0822551,28.064593,35.5826157,0.8366752,5.973873995309677e8,OPTIMAL,296457,207458,60.5001443,5.824689577910197e8,OPTIMAL,0,0,0.0,0.0,1.5440345
kmedoids_cross_convex,16,Xpress,3.3234748,18.3194685,38.6484062,0.8594036,5.983405410474014e8,OPTIMAL,296457,207458,66.3209183,5.833344768187326e8,OPTIMAL,0,0,0.0,0.0,1.6079989
kmedoids_cross_convex,16,Xpress,4.9651084,21.4889525,39.1233584,0.9152738,5.974781281791687e8,OPTIMAL,296457,207458,63.2780771,5.857202823612661e8,OPTIMAL,0,0,0.0,0.0,1.5543864
kmedoids_cross_convex,16,Xpress,2.9817792,15.8683336,35.5932616,0.7863961,6.003253107900009e8,OPTIMAL,296457,207458,66.3001153,5.837738835427176e8,OPTIMAL,0,0,0.0,0.0,1.5850386
kmedoids_cross_convex,16,Xpress,3.5746667,18.6872601,39.7316495,0.8412897,6.003188590895538e8,OPTIMAL,296457,207458,63.4382266,5.832348295620887e8,OPTIMAL,0,0,0.0,0.0,1.556537
kmedoids_cross_convex,16,Xpress,4.1302116,27.4819919,38.650196,0.8536266,5.959250888536987e8,OPTIMAL,296457,207458,63.838669,5.842575556761345e8,OPTIMAL,0,0,0.0,0.0,1.5700272
kmedoids_cross_convex,16,Xpress,2.991111,15.2200897,33.5710317,0.8317067,6.045576547709656e8,OPTIMAL,296457,207458,61.0208695,5.857254274469944e8,OPTIMAL,0,0,0.0,0.0,1.5860526
kmedoids_cross_convex,16,Xpress,4.2671997,20.4030102,35.7304565,0.856934,6.067152540049286e8,OPTIMAL,296457,207458,62.2216816,5.873386183148428e8,OPTIMAL,0,0,0.0,0.0,1.5999152
kmedoids_cross_convex,16,Xpress,2.843439,15.3618868,37.2619808,0.7817356,5.971738819804459e8,OPTIMAL,296457,207458,64.5907191,5.84152049940141e8,OPTIMAL,0,0,0.0,0.0,1.5666509
kmedoids_cross_convex,20,Xpress,4.2338447,21.9515687,59.1252121,1.1114107,5.93157281583435e8,OPTIMAL,357705,254978,62.1203899,5.812127556404254e8,OPTIMAL,0,0,0.0,0.0,1.6573336
kmedoids_cross_convex,20,Xpress,3.4509368,19.7373021,51.273013,0.9863285,6.000918567238617e8,OPTIMAL,357705,254978,63.8323268,5.827858328225267e8,OPTIMAL,0,0,0.0,0.0,1.6524534
kmedoids_cross_convex,20,Xpress,4.7079929,23.7310487,52.5498319,1.0372372,5.888124328981476e8,OPTIMAL,357705,254978,64.6664021,5.820120736118362e8,OPTIMAL,0,0,0.0,0.0,1.7653806
kmedoids_cross_convex,20,Xpress,3.9152104,20.9374765,65.319836,1.0796057,5.924550149741516e8,OPTIMAL,357705,254978,64.5129107,5.818316506035818e8,OPTIMAL,0,0,0.0,0.0,1.7059842
kmedoids_cross_convex,20,Xpress,4.7394732,19.3385079,52.4650476,1.2000861,5.980066348970108e8,OPTIMAL,357705,254978,65.0184577,5.826678613905525e8,OPTIMAL,0,0,0.0,0.0,1.6898153
kmedoids_cross_convex,20,Xpress,3.2397668,14.4489982,50.4467234,0.9295605,5.96491261339859e8,OPTIMAL,357705,254978,62.4273278,5.81850715041845e8,OPTIMAL,0,0,0.0,0.0,1.6397024
kmedoids_cross_convex,20,Xpress,4.3429128,24.8755858,49.2072004,1.073607,5.903888638256912e8,OPTIMAL,357705,254978,62.7662872,5.802461009800457e8,OPTIMAL,0,0,0.0,0.0,1.6491985
kmedoids_cross_convex,20,Xpress,3.6568493,21.5384052,54.2909494,1.0779283,6.047518333461227e8,OPTIMAL,357705,254978,61.8472376,5.856000385471694e8,OPTIMAL,0,0,0.0,0.0,1.6666517
