base_name,rp,weight_first_period,weight_others
convex_cross_dirac,4,67.0,298.0
convex_cross_dirac,8,18.0,347.0
convex_cross_dirac,12,6.0,359.0
convex_cross_dirac,16,3.0,362.0
convex_cross_dirac,20,3.0,362.0
convex_cross_dirac,30,0.0,365.0
convex_cross_dirac,45,0.0,365.0
convex_cross_dirac,60,0.0,365.0
convex_cross_dirac,90,0.0,365.0
convex_cross_dirac,120,0.0,365.0
convex_cross_dirac,180,0.0,365.0
conicalb_cross_dirac,4,67.0,298.0
conicalb_cross_dirac,8,26.0,339.0
conicalb_cross_dirac,12,6.0,359.0
conicalb_cross_dirac,16,3.0,362.0
conicalb_cross_dirac,20,3.0,362.0
conicalb_cross_dirac,30,3.0,362.0
conicalb_cross_dirac,45,2.0,363.0
conicalb_cross_dirac,60,0.0,365.0
conicalb_cross_dirac,90,0.0,365.0
conicalb_cross_dirac,120,0.0,365.0
conicalb_cross_dirac,180,0.0,365.0
