base_name,rp,weight_first_period,weight_others
convex_cross,4,111.51268878018406,253.48731121981598
convex_cross,8,76.97897861619528,288.02102138380474
convex_cross,12,52.669137784987655,312.3308622150123
convex_cross,16,43.56407515092802,321.43592484907197
convex_cross,20,26.438898949119086,338.5611010508809
convex_cross,30,20.895904268128394,344.1040957318716
convex_cross,45,13.179517420533472,351.82048257946656
convex_cross,60,13.061138735692653,351.93886126430743
convex_cross,90,11.5295485486497,353.47045145135024
convex_cross,120,8.357164147820104,356.64283585217987
convex_cross,180,4.136569125188343,360.86343087481157
conicalb_cross,4,73.49422995030987,247.3962346561443
conicalb_cross,8,54.24614742446732,277.2791906997252
conicalb_cross,12,30.88197413450618,303.58300238632216
conicalb_cross,16,21.30779947187353,319.5363675058862
conicalb_cross,20,20.12244347432209,323.88805412510436
conicalb_cross,30,17.075637116369595,329.9176415199431
conicalb_cross,45,15.83638132142483,332.6073784984908
conicalb_cross,60,14.858771175559697,334.01326861232855
conicalb_cross,90,11.24930308659084,342.43934288587525
conicalb_cross,120,8.22894964631779,346.87652543013905
conicalb_cross,180,4.958940708431408,353.85279740422595
