method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio_avg,lol_ratio_avg
kmeans,20,768.7400000000001,1086.9999999999998,49.41022542410874,85.108728479094,0.2927874885004597,0.41944585112388555
kmeans,40,469.87999999999994,577.42,23.06961212966604,32.2451531510657,0.18624225000865927,0.2845556657279021
kmeans,60,335.88,409.62,14.179628525636724,18.845286349641736,0.1800205068111909,0.24757691326317838
kmeans,80,255.94,301.58,9.823905506537185,12.54762386074357,0.15133629551031233,0.21707044970703943
kmeans,100,198.32000000000002,172.35999999999999,6.992956195886539,6.026976698293149,-0.150614991877466,-0.1602759635468572
kmeans,150,106.41999999999999,92.02000000000001,3.059628714029091,2.5204933776395726,-0.15648772006085607,-0.21390071530138893
kmeans,300,21.2,22.060000000000002,0.4263295624549099,0.458831704274388,0.0389845874886674,0.07083673930265591
kmeans,450,7.080000000000001,8.24,0.1181548103209609,0.15135455045264462,0.14077669902912612,0.21935078947012673
kmedoids,20,391.84000000000003,402.44,19.109337608509115,20.96760367681835,0.026339330086472434,0.08862558148996881
kmedoids,40,137.26,148.3,4.668982320926677,5.335699261856104,0.07444369521240742,0.12495399538269691
kmedoids,60,74.75999999999999,76.44000000000001,2.100999710295956,2.2725515666004035,0.02197802197802225,0.0754886528542357
kmedoids,80,51.839999999999996,46.720000000000006,1.3552374929493616,1.1472373899305313,-0.1095890410958902,-0.18130519877095827
kmedoids,100,30.160000000000004,28.7,0.7188066715418168,0.6501961042363777,-0.05087108013937298,-0.10552288280167203
kmedoids,150,17.779999999999998,14.699999999999998,0.3607038499087293,0.3011247363500233,-0.20952380952380956,-0.19785526184554975
kmedoids,300,4.86,3.3,0.0844975254140458,0.056411924805465384,-0.4727272727272729,-0.49786637675336665
kmedoids,450,2.5000000000000004,1.7,0.03379413465789891,0.02754960882867632,-0.470588235294118,-0.22666477292130127
