method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio_avg,lol_ratio_avg
convex,20,41.6,74.6,0.9204108492368188,2.2494280704543335,0.4423592493297587,0.5908245027586427
convex,40,23.0,19.1,0.4690965714954506,0.34490197431225267,-0.20418848167539258,-0.3600866519562451
convex,60,26.4,14.6,0.5582920743765541,0.2706860912981677,-0.8082191780821917,-1.0625074295434749
convex,80,13.9,14.3,0.25913262446628416,0.2669525259223922,0.027972027972027996,0.02929322893307794
convex,100,11.3,11.1,0.23186132400894213,0.20612743498478642,-0.018018018018018115,-0.12484456048296069
convex,150,6.5,7.3,0.13907237772381764,0.1394601690239751,0.10958904109589039,0.002780659903622993
convex,300,1.5,3.7,0.015854407358035207,0.05633498274603273,0.5945945945945946,0.7185690562911955
convex,450,0.3,0.5,0.002321099497425716,0.0049322502696891755,0.4,0.5294035439178983
conicalb,20,36.4,40.6,0.8527317770934527,1.017368267847968,0.10344827586206903,0.16182585594375748
conicalb,40,24.5,21.7,0.4899716441032723,0.43755231341047535,-0.12903225806451615,-0.11980128795164545
conicalb,60,21.1,15.1,0.4223437374288056,0.29116954521070143,-0.3973509933774836,-0.4505079407366643
conicalb,80,14.2,14.7,0.2721683933125739,0.2905028039426642,0.034013605442176874,0.06311268043288455
conicalb,100,13.2,12.7,0.2512969819449752,0.2480395061920495,-0.03937007874015748,-0.013132890816205346
conicalb,150,11.7,6.4,0.2263119894253979,0.11801738109834521,-0.8281249999999998,-0.9176157555708644
conicalb,300,1.3,3.8,0.01509418139441714,0.05952876711044972,0.6578947368421053,0.7464388710350512
conicalb,450,0.3,0.4,0.00231587095447483,0.003767871258766564,0.25000000000000006,0.38536356594281707
