base_name,rp,weight_first_period,weight_others
convex_cross,4,74.51258575018905,290.487414249811
convex_cross,8,12.764134616413989,352.2358653835861
convex_cross,12,9.566977245508713,355.4330227544914
convex_cross,16,9.244917926535738,355.7550820734642
convex_cross,20,7.198863189714441,357.8011368102855
convex_cross,30,4.175776896389967,360.82422310361
convex_cross,45,2.0271328606419603,362.97286713935813
convex_cross,60,1.9693131938569366,363.030686806143
convex_cross,90,0.44853073015799777,364.55146926984196
convex_cross,120,0.49251158516449906,364.50748841483556
convex_cross,180,0.36826097346026804,364.6317390265396
