year,scenario,timestep,solar,wind_offshore,wind_onshore,demand
2030,0,1,0.0,0.48641195944533,0.5097712889754066,0.5135396873678039
2030,0,2,0.0,0.4823761643841911,0.5113897061120951,0.5025423925426281
2030,0,3,0.0,0.5479941200516456,0.5064706127606831,0.48588776178065096
2030,0,4,0.0,0.6953813349316654,0.5056235989490594,0.480679805948391
2030,0,5,0.0,0.7578130398111391,0.5153502420662877,0.4743295353713446
2030,0,6,0.0,0.7818015599777568,0.5279852063994444,0.4584006839784493
2030,0,7,0.0,0.7901829066888167,0.534739694525798,0.44627718635504576
2030,0,8,0.0,0.7919037976338231,0.5371363673453826,0.46836292369136395
2030,0,9,0.01198209935854369,0.757169162780299,0.5378605145641052,0.4967629784575546
2030,0,10,0.07607963687107289,0.7349757914690058,0.5340034615513317,0.522025392339008
2030,0,11,0.15383730620002048,0.6264558164451908,0.524061879371108,0.5368012226075397
2030,0,12,0.2257252370852582,0.5127192838328672,0.5480290475021351,0.5423530313348308
2030,0,13,0.27816454763038034,0.4387811001499056,0.5756441438650914,0.5373709928642285
2030,0,14,0.29671685169959566,0.41526481554042477,0.5826265939823274,0.5432839415453747
2030,0,15,0.28005033615317176,0.40768041706930475,0.5808992616182013,0.5364004867071491
2030,0,16,0.2188984151537729,0.38312566282872,0.574956634508209,0.5394739080014713
2030,0,17,0.10837772277515419,0.34879922972273253,0.5482503592763105,0.537178671786579
2030,0,18,0.0,0.31762011406055096,0.5133016004003359,0.5541706734326823
2030,0,19,0.0,0.2984377595527441,0.4779395391277148,0.5776043746925008
2030,0,20,0.0,0.2695757343646039,0.4499392339401498,0.6001844524374641
2030,0,21,0.0,0.24234775992960572,0.4255885449664398,0.6155981703602673
2030,0,22,0.0,0.19965106489729134,0.4016402055972866,0.6141160185525104
2030,0,23,0.0,0.128105457695132,0.41444905784234476,0.5711895456960904
2030,0,24,0.0,0.10570703138550325,0.411499015538027,0.5652034795333197
2030,0,25,0.0,0.10177194160457016,0.40159970288370483,0.557291645459474
2030,0,26,0.0,0.09756193266667781,0.39265161294267387,0.5391113866946419
2030,0,27,0.0,0.0892900378422333,0.3832941665419228,0.5241691499050263
2030,0,28,0.0,0.0787148737623478,0.37657524252036306,0.5084980494322773
2030,0,29,0.0,0.059186820897917346,0.3669109751979833,0.49709739792490254
2030,0,30,0.0,0.046588292307159135,0.35023915046038945,0.49944055474772664
2030,0,31,0.0,0.04867589887056556,0.34341341917645235,0.516403365599835
2030,0,32,0.0,0.03812553766224415,0.34207575932040346,0.5546764943352482
2030,0,33,0.06119811209885359,0.02004835893816799,0.332860109398643,0.6045358099417055
2030,0,34,0.24163154811675516,0.011598761672472369,0.3117570373498647,0.6360974496127589
2030,0,35,0.3879338719168852,0.021094521300552713,0.2821903368363973,0.6527648082997771
2030,0,36,0.49215387902047614,0.020561810870213543,0.319222369992871,0.6642181440253887
2030,0,37,0.5414040945062961,0.001089718345016419,0.3299787028378819,0.6608975383987161
2030,0,38,0.5351262807972902,0.0,0.3323156313281984,0.6522907862436038
2030,0,39,0.46566371319368605,0.0,0.3382286633486995,0.6283133533652585
2030,0,40,0.33658585942657965,0.0004307558445917152,0.3453431309512169,0.6142040603739026
2030,0,41,0.16988384321192024,0.003884776240575311,0.3337862116498659,0.6076736575336925
2030,0,42,0.0,0.006346245116890614,0.34217669562911457,0.6265216434165124
2030,0,43,0.0,0.00831160611190131,0.3569131297888119,0.6533527948676361
2030,0,44,0.0,0.015675308868313365,0.34843205253397513,0.6797232411673915
2030,0,45,0.0,0.03143728326238693,0.312640913388212,0.6866090708612672
2030,0,46,0.0,0.04779595056634811,0.2655706663730593,0.6684265106931825
2030,0,47,0.0,0.0670694556243848,0.24466800643793699,0.6151405116977876
2030,0,48,0.0,0.0634786382107879,0.22835199414245042,0.5878613725939283
2030,0,49,0.0,0.07649849184140727,0.2125100634799254,0.54883507463522
2030,0,50,0.0,0.09944528075070842,0.18941363713672657,0.5231324466755316
2030,0,51,0.0,0.09518498728317969,0.16986845528168779,0.5095706733592325
2030,0,52,0.0,0.07450264351061955,0.16274816456209062,0.48871568240584806
2030,0,53,0.0,0.06397840556400813,0.15756181496118724,0.4835583390327627
2030,0,54,0.0,0.05198401891053252,0.15278264442702655,0.4796666763094962
2030,0,55,0.0,0.07275089192604983,0.14746779955792622,0.5026892610561657
2030,0,56,0.0,0.09967881344231305,0.14336828962158166,0.5362314956748696
2030,0,57,0.05991609293517596,0.15793318656319302,0.13538265012818806,0.5771170570950899
2030,0,58,0.22893694376453605,0.22525207955812027,0.12300663871569152,0.606534394652786
2030,0,59,0.37691969713080653,0.27294476715736277,0.12424725743624027,0.6226670357684713
2030,0,60,0.46053240254698913,0.3978971568198986,0.129862719552147,0.6192123626191087
2030,0,61,0.4896070979372003,0.5477215737070813,0.12276555085628224,0.6088491295901465
2030,0,62,0.46185301772944387,0.6228444375601728,0.1128610065602422,0.6032562822625722
2030,0,63,0.3720432182740904,0.48818861608642494,0.09936598259688134,0.5833752296456786
2030,0,64,0.25103010015640226,0.31158914948155486,0.09011033169545293,0.5781921857066595
2030,0,65,0.11493574169041078,0.22309674219078685,0.07903768937328406,0.5775444619572974
2030,0,66,0.0,0.2562718050469227,0.09267262921774141,0.5847844721728083
2030,0,67,0.0,0.2832525268921397,0.10812580079363711,0.6126406533496236
2030,0,68,0.0,0.3066185570818431,0.11703056957628544,0.6326701326992015
2030,0,69,0.0,0.2611800133067719,0.1262983661800935,0.6586945387042039
2030,0,70,0.0,0.1912252201381194,0.13964633651230654,0.6298385443766449
2030,0,71,0.0,0.15038603218151095,0.17251398841700868,0.5880360101447645
2030,0,72,0.0,0.12169665103282187,0.17157242589403826,0.5633527019721795
2030,0,73,0.0,0.19997522070027046,0.17428605688293775,0.532595560140455
2030,0,74,0.0,0.14920416755531993,0.17190309258507475,0.5170708825418167
2030,0,75,0.0,0.06437728377232528,0.1761557830983541,0.5039439025798418
2030,0,76,0.0,0.09773868473230991,0.17743499203948512,0.4985750125985788
2030,0,77,0.0,0.18880185432984325,0.1861691171303185,0.49088232582980484
2030,0,78,0.0,0.23582324096277255,0.19871964626541982,0.491373965618084
2030,0,79,0.0,0.32563738152648714,0.20686201235795498,0.49793910838312366
2030,0,80,0.0,0.6456632819615187,0.21458276875226565,0.5312855001266644
2030,0,81,0.06476046632449055,0.783984838464418,0.2248100341332053,0.5773427741207776
2030,0,82,0.23301507528821133,0.7835712970149421,0.2253134219589864,0.6014174846296658
2030,0,83,0.35387853031019223,0.7936352396102051,0.22776140706830586,0.6168265504675733
2030,0,84,0.4206150760021148,0.7452986919644925,0.22481967437298428,0.6249354250153264
2030,0,85,0.42957454353365754,0.6849769925261685,0.24076212077554543,0.6155348189492148
2030,0,86,0.3893130934680958,0.6121280359630583,0.26919237026734855,0.6305968704115361
2030,0,87,0.3203323148486986,0.5554938774922603,0.2943217277200287,0.6133448406218095
2030,0,88,0.22295099357039191,0.5362027946833641,0.2887994323976894,0.6089055187215984
2030,0,89,0.10832100927777066,0.46233523920308417,0.25321643248940895,0.6087197490932907
2030,0,90,0.0,0.38124536826064787,0.2535203211939154,0.6248946174943315
2030,0,91,0.0,0.3109004961404563,0.2589911210011959,0.6491459148467795
2030,0,92,0.0,0.2840933170286023,0.26150027652193614,0.6734769415283131
2030,0,93,0.0,0.2746254094179934,0.2598793725301186,0.6742058006279054
2030,0,94,0.0,0.3251703821239884,0.25093081310012794,0.6528687304201453
2030,0,95,0.0,0.35359917718528483,0.2741726554288782,0.6112931334069086
2030,0,96,0.0,0.3677426351563764,0.28181753371808715,0.5760494570455931
2030,0,97,0.0,0.406338882942102,0.27556369064887776,0.5316943309558053
2030,0,98,0.0,0.4801986616283802,0.26543842366809184,0.5105516305856722
2030,0,99,0.0,0.5990075539644548,0.251774532347475,0.4873559346047709
2030,0,100,0.0,0.5420697939650554,0.24230062617381792,0.4664581335676827
2030,0,101,0.0,0.4805731169240431,0.23726625357110528,0.4624278688620461
2030,0,102,0.0,0.4472788072992489,0.23450941407083925,0.471501337390064
2030,0,103,0.0,0.41827688155524,0.22871645827327589,0.49986706246240736
2030,0,104,0.0,0.38789037707480584,0.23061969809753968,0.5467227596375991
2030,0,105,0.03394052464572181,0.30808269580482545,0.2352777238357901,0.5872151395918799
2030,0,106,0.13760032130854813,0.2616163704048141,0.23486360847527724,0.630343962560071
2030,0,107,0.23996513904031894,0.3978342485632852,0.23923611632298328,0.6516237308043602
2030,0,108,0.3068977412928393,0.6203913594983687,0.2666110249650294,0.659250232477654
2030,0,109,0.3500670584897673,0.7907832796664742,0.3186861707223777,0.661696576394226
2030,0,110,0.33926598555306464,0.8384716041898754,0.3644630716967109,0.6517115798581199
2030,0,111,0.269825789673182,0.8543471155694967,0.3639894941974906,0.6362053789719223
