year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,0,1,0.0,0.37035414392380467,0.563483066509078,0.5188610060379883,0.48247792528046607
2030,0,2,0.0,0.3694361498745714,0.5583649892491219,0.5097507734411539,0.4835254083984757
2030,0,3,0.0,0.42576262675531296,0.5450154248459171,0.4979647311283275,0.47938629001258964
2030,0,4,0.0,0.538535038417429,0.5444259189648472,0.48917228301780774,0.475300956554848
2030,0,5,0.0,0.5944195261922006,0.5478100189242351,0.4834834627916938,0.47436623184785653
2030,0,6,0.0,0.6246913384253371,0.5617279733618395,0.459557479139524,0.47405449830207197
2030,0,7,0.0,0.6414406855304283,0.5655417775225406,0.4493814488412656,0.4707234737093369
2030,0,8,0.0,0.6263278298088555,0.5709733513690751,0.4656675949724451,0.4748071801631885
2030,0,9,0.00922008310582825,0.6090326382293498,0.5699020232346825,0.4932084029446898,0.47645726001443217
2030,0,10,0.060673719749452536,0.5904929454172655,0.5620319977918997,0.5287625994336794,0.47727735047650405
2030,0,11,0.12162627967868202,0.48940262571116816,0.557952521910882,0.5479477643815958,0.48176492080450073
2030,0,12,0.17682094647491603,0.39580733823547315,0.5755291630246956,0.5450033372714337,0.4805130453871147
2030,0,13,0.21382720728551535,0.3328949173295768,0.5929403979885063,0.5522280821701766,0.48381089281264184
2030,0,14,0.2244183979977507,0.3179494668035952,0.5911857881529835,0.5567322894171229,0.4799130912412416
2030,0,15,0.21366499608015768,0.3060982470819753,0.6026476845547624,0.5378687407565448,0.4796722871125441
2030,0,16,0.16556125123465737,0.28680005078699244,0.5985073016628264,0.5324866812259299,0.48065363765440083
2030,0,17,0.08307339625737102,0.2594370730960914,0.5601345316926961,0.5337378586621974,0.48269842004056474
2030,0,18,0.0,0.2297375844486347,0.5340808477991033,0.5503454241643275,0.4858255156548005
2030,0,19,0.0,0.21768671473930656,0.5134165257971274,0.5693109382889869,0.49115468149384695
2030,0,20,0.0,0.1959431197070538,0.46723038960677926,0.5805784500875085,0.4877816787283472
2030,0,21,0.0,0.17701676045577752,0.45682706203489587,0.5807849984658365,0.48971828657774324
2030,0,22,0.0,0.14538614533892394,0.4413953641455173,0.570463657441854,0.4762123618955782
2030,0,23,0.0,0.0939628424850289,0.4497677044355127,0.5387599146951649,0.4697716625088795
2030,0,24,0.0,0.0780260288880399,0.4449906179979387,0.5206185082835925,0.46030461786583193
2030,0,25,0.0,0.07366657196331544,0.43281452323698594,0.5137952052531801,0.46407921469416435
2030,0,26,0.0,0.0713417460259095,0.41511547063946513,0.4892143843879502,0.45961336419409893
2030,0,27,0.0,0.06543275762382685,0.4073320490739743,0.4861250617604526,0.45946547921289105
2030,0,28,0.0,0.0567976670863952,0.40497667003986393,0.4717316454451332,0.46312524157235807
2030,0,29,0.0,0.043292951562093604,0.39767941583119953,0.4729578535721937,0.4709326748071278
2030,0,30,0.0,0.03332965951756149,0.3897103880926155,0.47980341522334247,0.47740304461382427
2030,0,31,0.0,0.035643702381678,0.3814442837530373,0.5009459423966534,0.4718953612603724
2030,0,32,0.0,0.027733276865055754,0.37503629083964174,0.5382356963892803,0.4753474271052759
2030,0,33,0.04624196915666945,0.014827659897912524,0.37067573765393386,0.5693539352582349,0.4831646059801853
2030,0,34,0.18599183926691515,0.008519943760327022,0.34830684588075644,0.5987015672074664,0.4857197487354979
2030,0,35,0.3056143264607013,0.015525444359927159,0.3144745920599868,0.6117602508048287,0.4757050239872616
2030,0,36,0.3882433492671202,0.015089584798999706,0.339817124439435,0.6299099642405598,0.4686700334709494
2030,0,37,0.4271447989252129,0.0008090996547007231,0.34855250832495455,0.6269091350566782,0.4768386165867841
2030,0,38,0.4159138677625745,0.0,0.35446835669384946,0.6191471648095788,0.4783904711314571
2030,0,39,0.36066722194319567,0.0,0.3538245425291927,0.6106508782523631,0.480020009952464
2030,0,40,0.26084524766320755,0.0003155766103838382,0.3605086057921747,0.6017811734274231,0.47907090690459414
2030,0,41,0.1299049737742817,0.0028333833982577845,0.3456195269116603,0.5944804088884017,0.4828633114764577
2030,0,42,0.0,0.004651795436975479,0.3568626158966132,0.6148691989032311,0.48526130298479186
2030,0,43,0.0,0.00608611768658184,0.378940788817413,0.6370746000262952,0.4868916125677078
2030,0,44,0.0,0.011455003554885027,0.36817264974505665,0.6680537591096273,0.4847249067967197
2030,0,45,0.0,0.023190103702042976,0.3402385950801357,0.6775663609960112,0.47888125483955224
2030,0,46,0.0,0.035139255674251094,0.2872597188025311,0.6512957247808109,0.48839387825501296
2030,0,47,0.0,0.05038703655427593,0.26003048386235245,0.6048737846910028,0.49675415705715115
2030,0,48,0.0,0.04720459725597166,0.24635131555545642,0.5814368657096944,0.48937710715962757
2030,0,49,0.0,0.05655181935354235,0.23147312198530182,0.5268608638670141,0.47757522120303547
2030,0,50,0.0,0.07329694888577686,0.1997197241181973,0.5023768475134448,0.46765780119216965
2030,0,51,0.0,0.07024666626307798,0.17908639837472495,0.4910813845865047,0.4736924596470211
2030,0,52,0.0,0.055549828450345375,0.1715082792205711,0.4741384899548325,0.4699026352505464
2030,0,53,0.0,0.048093818394198164,0.16709383537374284,0.4627181941915198,0.464694764155343
