base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,1,Gurobi,0.0,8.2418793,20.3202126,19.4601727,3.9889264,569.1100312143869,OPTIMAL,0,0.0,613200,525605,0.0,0.0,,0,0.0
kmeans_cross_dirac,20,1,Gurobi,4.5999676,0.2774652,0.6595851,0.0335044,0.0197435,542.0898457342969,OPTIMAL,0,0.0,3360,2885,1.9896672,73429.52819015522,OPTIMAL,3785,242.95477628787634
kmeans_cross_dirac,20,1,Gurobi,0.6309653,0.2729292,0.6501347,0.0345003,0.0207043,540.8481616788239,OPTIMAL,0,0.0,3360,2885,0.2710556,88409.33107727917,OPTIMAL,4270,292.8920311216732
kmeans_cross_dirac,20,1,Gurobi,0.7435843,0.3434577,0.808461,0.0505291,0.0244104,540.937965460585,OPTIMAL,0,0.0,3360,2885,0.1962404,88343.6603744105,OPTIMAL,4302,292.6737613079267
kmeans_cross_dirac,20,1,Gurobi,2.2603778,0.2673887,0.6322013,0.0347352,0.0208984,540.5049223325964,OPTIMAL,0,0.0,3360,2885,0.192595,91330.18156283724,OPTIMAL,4412,302.629806633525
kmeans_cross_dirac,20,1,Gurobi,0.6394622,0.2925487,0.7264443,0.1533035,0.038963,545.5268924692103,OPTIMAL,0,0.0,3360,2885,0.2737275,45691.38599225845,OPTIMAL,2859,150.48109798297557
kmeans_cross_dirac,40,1,Gurobi,0.7444332,0.3218002,0.8122153,0.1440095,0.0384046,547.1546080651932,OPTIMAL,0,0.0,6720,5765,0.1849979,36327.97038986154,OPTIMAL,2412,119.26547339696113
kmeans_cross_dirac,40,1,Gurobi,2.2663128,0.3016116,0.7071395,0.1170373,0.0446029,547.1434243516683,OPTIMAL,0,0.0,6720,5765,0.1822483,36187.605756260506,OPTIMAL,2402,118.79741408232204
kmeans_cross_dirac,40,1,Gurobi,0.8482166,0.3074983,0.774048,0.180341,0.0393528,547.5085931608774,OPTIMAL,0,0.0,6720,5765,0.2120851,34065.35016542036,OPTIMAL,2298,111.72216226885396
kmeans_cross_dirac,40,1,Gurobi,0.7584752,0.3213392,0.7779353,0.2189749,0.0415747,546.7475868993264,OPTIMAL,0,0.0,6720,5765,0.1751718,38646.257056450304,OPTIMAL,2518,126.994322000294
