base_name,rp,weight_first_period,weight_others
kmedoids_cross_convex,4,46.93560061805188,318.0643993819481
kmedoids_cross_convex,8,17.080195646194596,347.9198043538054
kmedoids_cross_convex,12,13.501874596455595,351.4981254035444
kmedoids_cross_convex,16,13.253495050256806,351.7465049497432
kmedoids_cross_convex,20,6.70803577801499,358.29196422198504
kmedoids_cross_convex,30,7.346962961912725,357.6530370380873
kmedoids_cross_convex,45,7.0318136020981505,357.96818639790183
kmedoids_cross_convex,60,5.271954313635149,359.72804568636485
kmedoids_cross_convex,90,3.595890962435433,361.4041090375645
kmedoids_cross_convex,120,3.0094887150131155,361.99051128498684
kmedoids_cross_convex,180,2.4748200980511856,362.52517990194883
