id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.12089827375010283
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.10501805617410576
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.08595321273024774
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.07792915676908935
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.08486606798426047
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.07794178881280268
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.089015611399641
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.1104309482199446
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.13350938048655808
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.16387407786268293
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.18711785829272978
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.21175728312275213
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.23644528926570865
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.2613520230309021
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.26459809768577647
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.27355368056264207
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.25952747701050294
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.2214789284722311
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.20617423116168837
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,7.41057523424009e-05
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.014770520474051857
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.11748831994835075
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.2518877629486229
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.36059428082196215
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.42776290890715307
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.4718337284104028
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.48631807897132623
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.4797888060113333
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.4517597700144063
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.38533073535154766
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.2946380336551468
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.18566013307243873
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0705783207659576
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0012636537505497484
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
148,ens,e_demand,2030,2,1.0,1.0,4,4,0.0
149,ens,e_demand,2030,2,1.0,1.0,5,5,0.0
150,ens,e_demand,2030,2,1.0,1.0,6,6,0.0
151,ens,e_demand,2030,2,1.0,1.0,7,7,0.0
152,ens,e_demand,2030,2,1.0,1.0,8,8,0.0
153,ens,e_demand,2030,2,1.0,1.0,9,9,0.0
154,ens,e_demand,2030,2,1.0,1.0,10,10,0.0
155,ens,e_demand,2030,2,1.0,1.0,11,11,0.0
156,ens,e_demand,2030,2,1.0,1.0,12,12,0.0
157,ens,e_demand,2030,2,1.0,1.0,13,13,0.0
158,ens,e_demand,2030,2,1.0,1.0,14,14,0.0
159,ens,e_demand,2030,2,1.0,1.0,15,15,0.0
160,ens,e_demand,2030,2,1.0,1.0,16,16,0.0
161,ens,e_demand,2030,2,1.0,1.0,17,17,0.0
162,ens,e_demand,2030,2,1.0,1.0,18,18,0.0
163,ens,e_demand,2030,2,1.0,1.0,19,19,0.0
164,ens,e_demand,2030,2,1.0,1.0,20,20,0.0
165,ens,e_demand,2030,2,1.0,1.0,21,21,0.0
166,ens,e_demand,2030,2,1.0,1.0,22,22,0.0
167,ens,e_demand,2030,2,1.0,1.0,23,23,0.0
168,ens,e_demand,2030,2,1.0,1.0,24,24,0.0
169,ocgt,e_demand,2030,2,1.0,1.0,1,1,0.0
170,ocgt,e_demand,2030,2,1.0,1.0,2,2,0.0
171,ocgt,e_demand,2030,2,1.0,1.0,3,3,0.0
172,ocgt,e_demand,2030,2,1.0,1.0,4,4,0.0
173,ocgt,e_demand,2030,2,1.0,1.0,5,5,0.0
174,ocgt,e_demand,2030,2,1.0,1.0,6,6,0.01338825834686656
175,ocgt,e_demand,2030,2,1.0,1.0,7,7,0.01914392842642372
176,ocgt,e_demand,2030,2,1.0,1.0,8,8,0.009433412227975696
177,ocgt,e_demand,2030,2,1.0,1.0,9,9,0.0
178,ocgt,e_demand,2030,2,1.0,1.0,10,10,0.0
179,ocgt,e_demand,2030,2,1.0,1.0,11,11,0.0
180,ocgt,e_demand,2030,2,1.0,1.0,12,12,0.0
181,ocgt,e_demand,2030,2,1.0,1.0,13,13,0.0
182,ocgt,e_demand,2030,2,1.0,1.0,14,14,0.0
183,ocgt,e_demand,2030,2,1.0,1.0,15,15,0.0
184,ocgt,e_demand,2030,2,1.0,1.0,16,16,0.0
185,ocgt,e_demand,2030,2,1.0,1.0,17,17,0.0346432557574225
186,ocgt,e_demand,2030,2,1.0,1.0,18,18,0.10548275544843702
187,ocgt,e_demand,2030,2,1.0,1.0,19,19,0.15916818254922027
188,ocgt,e_demand,2030,2,1.0,1.0,20,20,0.17596302761200322
189,ocgt,e_demand,2030,2,1.0,1.0,21,21,0.11737008528047055
190,ocgt,e_demand,2030,2,1.0,1.0,22,22,0.05869841685945265
191,ocgt,e_demand,2030,2,1.0,1.0,23,23,0.0
192,ocgt,e_demand,2030,2,1.0,1.0,24,24,0.0
193,ccgt,e_demand,2030,2,1.0,1.0,1,1,0.7801994667423896
194,ccgt,e_demand,2030,2,1.0,1.0,2,2,0.7774929185336966
195,ccgt,e_demand,2030,2,1.0,1.0,3,3,0.7717631921307726
196,ccgt,e_demand,2030,2,1.0,1.0,4,4,0.7545156809867634
197,ccgt,e_demand,2030,2,1.0,1.0,5,5,0.7843468822594822
198,ccgt,e_demand,2030,2,1.0,1.0,6,6,0.8058065981205327
199,ccgt,e_demand,2030,2,1.0,1.0,7,7,0.8058065981205327
200,ccgt,e_demand,2030,2,1.0,1.0,8,8,0.8058065981205327
201,ccgt,e_demand,2030,2,1.0,1.0,9,9,0.8020001087949108
202,ccgt,e_demand,2030,2,1.0,1.0,10,10,0.7725016247194071
203,ccgt,e_demand,2030,2,1.0,1.0,11,11,0.7566812463540165
204,ccgt,e_demand,2030,2,1.0,1.0,12,12,0.7602958483222937
205,ccgt,e_demand,2030,2,1.0,1.0,13,13,0.7354356983237744
206,ccgt,e_demand,2030,2,1.0,1.0,14,14,0.7347132778714855
207,ccgt,e_demand,2030,2,1.0,1.0,15,15,0.7456382840473417
208,ccgt,e_demand,2030,2,1.0,1.0,16,16,0.7806387177168872
209,ccgt,e_demand,2030,2,1.0,1.0,17,17,0.8058065981205327
210,ccgt,e_demand,2030,2,1.0,1.0,18,18,0.8058065981205327
211,ccgt,e_demand,2030,2,1.0,1.0,19,19,0.8058065981205327
212,ccgt,e_demand,2030,2,1.0,1.0,20,20,0.8058065981205327
213,ccgt,e_demand,2030,2,1.0,1.0,21,21,0.8058065981205327
214,ccgt,e_demand,2030,2,1.0,1.0,22,22,0.8058065981205327
215,ccgt,e_demand,2030,2,1.0,1.0,23,23,0.7875390595314933
216,ccgt,e_demand,2030,2,1.0,1.0,24,24,0.7756430240023016
217,wind,e_demand,2030,2,1.0,1.0,1,1,0.13686520784825937
218,wind,e_demand,2030,2,1.0,1.0,2,2,0.12125155600977071
219,wind,e_demand,2030,2,1.0,1.0,3,3,0.11010824276718774
220,wind,e_demand,2030,2,1.0,1.0,4,4,0.09323587165843171
221,wind,e_demand,2030,2,1.0,1.0,5,5,0.08238800768470957
222,wind,e_demand,2030,2,1.0,1.0,6,6,0.07705602438736261
223,wind,e_demand,2030,2,1.0,1.0,7,7,0.06875907440073184
224,wind,e_demand,2030,2,1.0,1.0,8,8,0.04424583898325434
225,wind,e_demand,2030,2,1.0,1.0,9,9,0.03236361416662809
226,wind,e_demand,2030,2,1.0,1.0,10,10,0.03380806245574976
227,wind,e_demand,2030,2,1.0,1.0,11,11,0.04296192398719656
228,wind,e_demand,2030,2,1.0,1.0,12,12,0.04952148083660383
229,wind,e_demand,2030,2,1.0,1.0,13,13,0.05430700842547157
230,wind,e_demand,2030,2,1.0,1.0,14,14,0.05970593948651357
231,wind,e_demand,2030,2,1.0,1.0,15,15,0.07262421531769822
232,wind,e_demand,2030,2,1.0,1.0,16,16,0.09438211649956868
233,wind,e_demand,2030,2,1.0,1.0,17,17,0.12134653658992275
234,wind,e_demand,2030,2,1.0,1.0,18,18,0.1516600459550785
235,wind,e_demand,2030,2,1.0,1.0,19,19,0.19236597680728165
236,wind,e_demand,2030,2,1.0,1.0,20,20,0.21667474787400726
237,wind,e_demand,2030,2,1.0,1.0,21,21,0.24902226906928107
238,wind,e_demand,2030,2,1.0,1.0,22,22,0.2547337335544644
239,wind,e_demand,2030,2,1.0,1.0,23,23,0.24490596076196441
240,wind,e_demand,2030,2,1.0,1.0,24,24,0.2255499613637428
241,solar,e_demand,2030,2,1.0,1.0,1,1,0.0
242,solar,e_demand,2030,2,1.0,1.0,2,2,0.0
243,solar,e_demand,2030,2,1.0,1.0,3,3,0.0
244,solar,e_demand,2030,2,1.0,1.0,4,4,0.0
245,solar,e_demand,2030,2,1.0,1.0,5,5,0.0
246,solar,e_demand,2030,2,1.0,1.0,6,6,6.869121959559075e-05
247,solar,e_demand,2030,2,1.0,1.0,7,7,0.01689472869459123
248,solar,e_demand,2030,2,1.0,1.0,8,8,0.11803893122867212
249,solar,e_demand,2030,2,1.0,1.0,9,9,0.24176882037201772
250,solar,e_demand,2030,2,1.0,1.0,10,10,0.35166786249325865
251,solar,e_demand,2030,2,1.0,1.0,11,11,0.42265547856939184
252,solar,e_demand,2030,2,1.0,1.0,12,12,0.47181424718187004
253,solar,e_demand,2030,2,1.0,1.0,13,13,0.4940807913823671
254,solar,e_demand,2030,2,1.0,1.0,14,14,0.4883752404355998
255,solar,e_demand,2030,2,1.0,1.0,15,15,0.44298373803018243
256,solar,e_demand,2030,2,1.0,1.0,16,16,0.3890007474335451
257,solar,e_demand,2030,2,1.0,1.0,17,17,0.3004089845576868
258,solar,e_demand,2030,2,1.0,1.0,18,18,0.18913080172672234
259,solar,e_demand,2030,2,1.0,1.0,19,19,0.07293943460541584
260,solar,e_demand,2030,2,1.0,1.0,20,20,0.0025435888410523105
261,solar,e_demand,2030,2,1.0,1.0,21,21,0.0
262,solar,e_demand,2030,2,1.0,1.0,22,22,0.0
263,solar,e_demand,2030,2,1.0,1.0,23,23,0.0
264,solar,e_demand,2030,2,1.0,1.0,24,24,0.0
265,wind_offshore,e_demand,2030,2,1.0,1.0,1,1,0.0
266,wind_offshore,e_demand,2030,2,1.0,1.0,2,2,0.0
267,wind_offshore,e_demand,2030,2,1.0,1.0,3,3,0.0
268,wind_offshore,e_demand,2030,2,1.0,1.0,4,4,0.0
269,wind_offshore,e_demand,2030,2,1.0,1.0,5,5,0.0
270,wind_offshore,e_demand,2030,2,1.0,1.0,6,6,0.0
271,wind_offshore,e_demand,2030,2,1.0,1.0,7,7,0.0
