base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,52.0175663,52.0175663,52.0175663,129.1852258,129.1852258,129.1852258,528.4336937,528.4336937,528.4336937,25.2398444,25.2398444,25.2398444,734.8763302000001,734.8763302000001,734.8763302000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,8.979275249999999,8.282627900000001,9.682691175,2.65151614,2.171186875,3.2761835,11.073703609999999,7.1608414,14.4095274,5.5737143,5.319222125,5.60321495,0.36717925,0.34656657499999993,0.381165325,28.64538855,25.356037875,33.32639395,0.2868602923974687,0.285722311444099,0.29036971879695883,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,8,11.17788591,10.02234605,12.959531275,2.66435964,2.250522675,2.929241275,14.46539046,12.689636725,15.847704725,14.75507715,13.3363373,15.733045874999998,1.7130449999999997,0.547229575,0.625654925,44.775758159999995,40.8413668,48.47889505,0.26170349076264765,0.2594173687647209,0.2627728437842467,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,12,13.788826019999998,13.014822899999999,14.887483775,3.44278243,3.42784405,3.6255287500000004,19.178683990000003,18.061827925000003,20.959670525,30.577649129999998,26.002714575,31.181126075,0.69629622,0.6756832000000002,0.7161331,67.68423779,62.878289474999995,68.669233225,0.25332829270505136,0.2515934411642742,0.2556570707721645,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,16,15.575010330000001,14.7645701,16.688859450000002,3.6748677400000007,3.07420195,4.1182224750000005,20.00830167,16.481117325,21.217466925,37.51729957,35.627560325,39.0050678,0.8412893599999999,0.8329488250000001,0.85610715,77.61676867000001,73.065983675,81.407995575,0.24714916660518904,0.24515259678014395,0.2492360422002811,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,20,16.25677459,12.677890275000001,17.2656413,4.088933409999999,3.693023675,4.616722875,21.097293540000003,20.0373457,22.560555049999998,54.89562833,51.57102165,57.916646424999996,1.0612674700000002,1.0373262,1.07953365,97.39989734,93.76158985,100.57494054999998,0.24337033584158302,0.24172770072355232,0.24483984021744967,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,30,19.20667785,18.241836475,20.277473999999998,5.6108574,4.945871525,6.217864175000001,25.33335909,23.604849625,27.133274375,79.36238685000001,78.39929752500001,80.81403334999999,1.66781144,1.4782286,1.692250825,131.18109263000002,125.698091375,136.77490972500001,0.2384621647366158,0.2362714947595693,0.24041478158191548,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0
kmedoids_cross_convex,45,24.71019433,22.450402275,26.301527225,10.794259120000001,8.13884865,14.226757075,40.91275919,36.3185203,44.401321825000004,121.34919252,114.206714575,126.720108775,3.43686455,1.9561398499999998,2.262895575,201.20326970999997,192.21277345000001,211.81926670000001,0.23394553571105664,0.23133638136369647,0.23616252691031825,-25.0,-25.0,-25.0,-8.9,-9.0,-9.0,-33.9,-34.0,-34.0
kmedoids_cross_convex,60,30.813831819999997,27.753462225,32.694504775,11.09183052,8.64154935,10.938351675,43.663544310000006,40.655786425,48.513298275,183.38022633000003,171.148533175,195.46936540000002,2.6445306200000003,2.558874975,2.7301731,271.5939636,254.84259372500003,288.031931975,0.22841666182059286,0.2240203555046252,0.23143078196035471,-24.5,-25.0,-24.25,-8.9,-9.0,-9.0,-33.4,-34.0,-32.5
kmedoids_cross_convex,90,48.189731259999995,47.284240450000006,49.3872941,11.88824786,11.248893375,11.652716275,66.13384078,67.4283996,68.41919925,268.96507898000004,245.334813925,262.63904205,4.68749061,3.9837457499999998,5.199427825,399.86438949,372.81309067499996,394.21337397499997,0.2144876610140824,0.2222909462506175,0.2238051832465087,-22.1,-24.0,-23.0,-7.4,-9.0,-8.25,-29.5,-33.0,-31.25
kmedoids_cross_convex,120,47.400401839999994,41.597526175,54.529518949999996,18.71210966,15.8154538,19.06729105,86.01558222,87.527293575,89.116349875,276.53443318,247.475268625,301.117262525,11.04149216,6.571657375,16.6098757,439.70401905999995,408.0338352,479.85764720000003,0.18161588550410782,0.16093244985152455,0.2152186531145701,-7.4,-23.0,0.5,-5.7,-9.0,-6.5,-13.1,-32.0,-5.5
kmedoids_cross_convex,180,71.98004351,69.98509572500001,73.66853590000001,35.88860503,33.9776221,38.101360875000005,168.32643423,161.33982565,180.22652332500002,339.61689178,276.536761425,368.7237741,9.813213299999997,9.4710011,9.823310975,625.6251878500001,573.209547875,667.860835175,0.09856964611144568,0.0745731820355262,0.12997960227679625,43.5,12.75,69.0,22.1,-4.25,39.75,65.6,8.5,121.75
