base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,48.2645929,48.2645929,48.2645929,108.9352671,108.9352671,108.9352671,540.3646747,540.3646747,540.3646747,26.0600623,26.0600623,26.0600623,723.624597,723.624597,723.624597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,5.78192904,4.275390275,5.012290975,1.68790467,1.4944848,1.869265125,8.340734260000001,7.0858811,9.4808398,5.232243479999999,4.9340709,5.500020225,0.34936033,0.3314807,0.356769025,21.392171779999998,17.427120275,22.127622024999997,0.4900933240094479,0.4830595332465217,0.49696954794415377,467.8,377.25,581.75,100.8,57.5,72.75,568.6,531.0,663.25
kmedoids_cross_convex,8,7.1196565,6.001807925,7.9392775250000005,2.12976262,2.008384075,2.4070432999999998,10.110688669999998,9.3445982,11.13538305,12.941939909999999,12.041100925,13.756942825,0.53215104,0.448979875,0.46569332500000005,32.83419874,30.857285925,34.70734002499999,0.4620911018125481,0.45617398973420636,0.4632317858824615,408.3,350.75,469.25,49.7,35.0,60.5,458.0,385.0,521.5
kmedoids_cross_convex,12,8.1988108,7.6578956,8.59735575,2.5977485299999996,2.43400595,2.86986505,10.96555206,9.623496775000001,12.269277800000001,25.16366948,23.08940505,26.138839175,0.6111294399999999,0.594161775,0.624468025,47.53691031,46.042854524999996,49.0933013,0.44594135874146695,0.4442070355705341,0.4509964458162886,362.5,318.5,408.5,40.1,30.75,46.75,402.6,343.0,454.75
kmedoids_cross_convex,16,9.34242454,9.134211875,9.567208724999999,2.80769755,2.5104052,2.94065145,13.806543940000001,11.806673,14.472059075,36.173133029999995,34.519360375,38.104774449999994,0.8980246699999999,0.7458845249999999,0.7978956749999999,63.02782373,60.100428225,64.39328565,0.4154247839859061,0.3843887894454332,0.44318010727000784,341.5,285.25,449.5,38.6,25.75,51.0,380.1,322.75,500.5
kmedoids_cross_convex,20,13.724201959999998,10.690092925,13.141821525000001,3.3056108799999997,3.1095226499999997,3.5175187250000004,16.16848536,15.202409825,16.148492474999998,50.17420437999999,45.81508504999999,48.670474975,1.0487359399999998,0.9310019249999999,0.98756635,84.42123852,76.3383151,91.60837620000001,0.3881808311665112,0.36558751198975126,0.4085945727199722,293.5,247.0,325.0,37.1,31.5,35.75,330.6,274.25,360.25
kmedoids_cross_convex,30,17.863670329999998,13.965073225,21.676633675,4.5073452199999995,4.039926175,4.9216255,19.98617555,18.549733925,21.28101395,81.18451277,78.5952006,83.69281065,2.62985105,1.336646625,1.978780125,126.17155492000002,124.08811,130.027585325,0.3525722635506439,0.3409627174296695,0.36478932056910346,238.7,183.5,270.0,26.2,9.0,37.5,264.9,187.75,294.0
kmedoids_cross_convex,45,19.25904511,16.453716800000002,19.75652985,6.07210113,5.5324416,6.5669319250000004,29.52261065,25.5905236,30.630057625,110.76254885,105.51321265000001,116.08931225,2.22938728,1.920466925,2.63428945,167.84569301999997,156.964584275,176.397598775,0.32490097499613707,0.3154492693163734,0.3330987005707338,228.3,161.75,253.75,23.3,8.75,28.0,251.6,182.75,276.5
kmedoids_cross_convex,60,17.35024473,16.987235599999998,17.7935034,8.60826106,7.58440895,9.38075865,33.96509969,32.085530675,36.30562155,170.45128128000002,156.573521725,181.898193875,3.39328131,3.3622438999999997,3.4345564,233.76816807,220.193544075,244.00783585,0.3131888364832028,0.3042514950215561,0.3124514174909957,195.7,135.75,231.25,17.3,6.75,24.0,213.0,143.0,255.5
kmedoids_cross_convex,90,26.60807984,24.269389349999997,28.755419850000003,12.73319023,10.21098645,14.796837075,53.41839598,48.812587549999996,58.1306554,241.24817197000002,224.65897210000003,251.85084765000002,10.48345299,4.8572516,15.379331475,344.49129101,330.78648250000003,358.65603555000007,0.3017440099392694,0.29620516069280584,0.3074159599444495,167.5,103.5,209.25,20.6,8.5,38.75,188.1,111.5,245.75
kmedoids_cross_convex,120,51.95895796999999,48.432905875,55.868428925,17.78656985,14.544140225,20.543939700000003,92.02947535999999,87.0012518,96.31111250000001,262.50800602,252.610239325,275.267074525,6.26657966,6.206273700000001,6.4848798,430.54958886,420.39194155000007,434.731862525,0.29171405788246413,0.28481725423765425,0.3024135090539365,143.4,82.75,195.25,19.0,10.0,32.5,162.4,86.75,226.75
kmedoids_cross_convex,180,65.75799306000002,61.662324275,68.626096625,31.685499969999995,30.355112,32.707665475,151.15910415000002,146.428167475,159.63659285,324.83838828,306.18487707500003,344.01612495,9.6015915,9.152423850000002,9.4485382,583.0425769599999,561.782592775,612.8573402750001,0.21459185194325509,0.21173329645949215,0.260881690116476,110.5,53.75,162.5,33.0,4.25,41.25,143.5,56.0,201.75
