base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,20.1770292,20.1770292,20.1770292,88.6054027,88.6054027,88.6054027,513.4824618,513.4824618,513.4824618,16.9321354,16.9321354,16.9321354,639.1970291,639.1970291,639.1970291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,4.282882419999999,2.647318025,3.97640245,0.53251386,0.4923894999999999,0.5263150249999999,2.7376212200000003,2.58663545,2.8739484500000003,5.00394375,4.78902405,5.224593025,0.21990957,0.20078542500000002,0.234541075,12.776870820000001,11.1516257,12.20582615,0.2733521119042316,0.2561198236084045,0.28547490449025154,-25.0,-25.0,-25.0,-7.2,-9.0,-9.0,-32.2,-34.0,-34.0
kmedoids_cross_convex,8,8.09687729,4.008363575,14.147860000000001,0.75021536,0.70993375,0.78679335,4.21209545,4.05077575,4.367230075,11.77403515,11.07099985,12.054799425000002,0.33579247999999995,0.31816405,0.35451815,25.16901573,20.615002099999998,30.127531875000003,0.16319740012899642,0.11181881918319349,0.22402988171313903,61.5,-19.5,118.5,21.9,-8.25,15.5,83.4,-27.75,139.5
kmedoids_cross_convex,12,9.409128280000001,4.4867866,14.56638345,0.93712548,0.8826024000000001,0.977274475,5.26688778,5.102971425000001,5.4948532000000005,23.77984734,20.76879555,25.442107224999997,0.4987341799999999,0.4382273,0.46972845,39.89172306,32.472851874999996,45.974808175,0.08475596623568829,0.05847055769293917,0.10871307690089638,230.8,181.0,254.5,60.1,19.0,77.0,290.9,198.25,321.0
kmedoids_cross_convex,16,7.062538170000002,5.01479165,6.101246225,1.1860108400000002,1.17216995,1.225639675,6.524311039999999,6.2659503,6.847428525,43.41234933,37.787819225,47.716175575,0.67306305,0.5975794999999999,0.683127975,58.85827243,50.8195719,65.75561497500001,0.06251894956558998,0.04829970960347839,0.0642732585405774,283.3,200.75,344.75,70.8,13.0,120.5,354.1,221.25,510.25
kmedoids_cross_convex,20,9.48335518,5.80129415,14.685711525,1.5324762299999999,1.2973313,1.488433975,7.57751198,7.345863025,7.7886271,50.26522414,47.27051605,52.314986125000004,0.8256973999999999,0.7181674,0.7872110999999999,69.68426492999998,66.13917450000001,72.95056564999999,0.04503540748636251,0.03498043660780823,0.04773313874346878,276.1,183.25,294.75,43.5,15.75,35.75,319.6,211.0,320.75
kmedoids_cross_convex,30,11.00149364,7.943704425,15.0888223,2.0908937400000003,1.892702725,2.1775223500000003,11.44221743,10.221147875,11.177239075,87.92746326,81.286123575,91.401539775,2.9265310700000002,1.035997075,1.4937812,115.38859914,107.02338135000001,122.68184612499999,0.0431582376495584,0.03439489189334287,0.05179433548077594,403.3,294.5,496.75,83.3,29.25,130.5,486.6,332.25,652.0
kmedoids_cross_convex,45,12.09030742,9.50924175,12.974556,3.2006352899999997,2.996341375,3.253706375,17.5844903,15.674875475,16.542469,122.39652361,117.211114725,122.48602555,1.8964032100000001,1.6408652,2.2299731250000003,157.16835983,152.27399342500001,158.8583843,0.045167510643163225,0.03228580495574534,0.057295363761344524,426.7,284.0,500.25,56.9,17.0,74.75,483.6,307.5,559.25
kmedoids_cross_convex,60,12.290767730000002,11.365826325,12.1572277,4.0660061800000005,3.681458,4.45452045,20.395133610000002,20.103213450000002,20.8341061,161.87083102,153.5614124,169.74219485,3.72661388,2.8078978749999997,2.9545953750000002,202.34935242,193.95104972500002,207.902466925,0.03640956991868291,0.028551800178732347,0.0441400400511746,369.3,280.0,435.5,35.7,20.25,57.25,405.0,300.75,504.5
kmedoids_cross_convex,90,20.89608281,17.700369950000002,24.518121475,7.353728389999999,6.7216765249999995,8.044356075,36.00227958,33.580927374999995,36.884547425,260.97108659,239.67051077499997,274.436074975,9.58191808,5.16592115,14.0029433,334.80509545,315.07845122500004,346.13708975,0.032182519466712176,0.023376283143878247,0.032711879169962425,297.6,207.5,332.25,32.5,15.75,25.75,330.1,225.0,358.0
kmedoids_cross_convex,120,43.37253817,41.07707755,46.585693899999995,12.452577230000001,12.031764375,13.3418729,67.39162342,64.105612475,69.143530025,303.91506769,285.6336913,320.374009325,5.05219913,4.435303275,5.656091225,432.18400564,401.9084707,451.94487192500003,0.03402599482078704,0.022451701033047854,0.03390613383835494,301.5,206.75,350.25,28.0,14.0,27.5,329.5,223.25,377.75
kmedoids_cross_convex,180,74.81104225,65.796836225,82.239684725,21.5289638,20.683972524999998,23.009556475,113.2450382,103.312495975,120.70624295,330.9342551799999,295.87503492499997,354.84636274999997,10.15487791,8.4365391,9.79307585,550.6741773399999,526.0166437,560.8559037,0.022644384354232293,0.018668123986548886,0.025829883430037,228.7,184.25,259.0,11.9,10.25,15.75,240.6,187.5,271.25
