id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
5634,solar,2030,55,18,18,-0.33001335610901245
5635,solar,2030,55,19,19,-0.33001335610901245
5636,solar,2030,55,20,20,-0.33001335610901245
5637,solar,2030,55,21,21,-0.33001335610901245
5638,solar,2030,55,22,22,-0.33001335610901245
5639,solar,2030,55,23,23,-0.33001335610901245
5640,solar,2030,55,24,24,-0.33001335610901245
5641,solar,2030,56,1,1,-1.298344338410299
5642,solar,2030,56,2,2,-1.298344338410299
5643,solar,2030,56,3,3,-1.298344338410299
5644,solar,2030,56,4,4,-1.298344338410299
5645,solar,2030,56,5,5,-1.298344338410299
5646,solar,2030,56,6,6,-1.298344338410299
5647,solar,2030,56,7,7,-1.298344338410299
5648,solar,2030,56,8,8,-1.298344338410299
5649,solar,2030,56,9,9,-1.298344338410299
5650,solar,2030,56,10,10,-1.298344338410299
5651,solar,2030,56,11,11,-1.298344338410299
5652,solar,2030,56,12,12,-1.298344338410299
5653,solar,2030,56,13,13,-1.298344338410299
5654,solar,2030,56,14,14,-1.298344338410299
5655,solar,2030,56,15,15,-1.298344338410299
5656,solar,2030,56,16,16,-1.298344338410299
5657,solar,2030,56,17,17,-1.298344338410299
5658,solar,2030,56,18,18,-1.298344338410299
5659,solar,2030,56,19,19,-1.298344338410299
5660,solar,2030,56,20,20,-1.298344338410299
5661,solar,2030,56,21,21,-1.298344338410299
5662,solar,2030,56,22,22,-1.298344338410299
5663,solar,2030,56,23,23,-1.298344338410299
5664,solar,2030,56,24,24,-1.298344338410299
5665,solar,2030,57,1,1,-0.4962263016457682
5666,solar,2030,57,2,2,-0.4962263016457682
5667,solar,2030,57,3,3,-0.4962263016457682
5668,solar,2030,57,4,4,-0.4962263016457682
5669,solar,2030,57,5,5,-0.4962263016457682
5670,solar,2030,57,6,6,-0.4962263016457682
5671,solar,2030,57,7,7,-0.4962263016457682
5672,solar,2030,57,8,8,-0.4962263016457682
5673,solar,2030,57,9,9,-0.4962263016457682
5674,solar,2030,57,10,10,-0.4962263016457682
5675,solar,2030,57,11,11,-0.4962263016457682
5676,solar,2030,57,12,12,-0.4962263016457682
5677,solar,2030,57,13,13,-0.4962263016457682
5678,solar,2030,57,14,14,-0.4962263016457682
5679,solar,2030,57,15,15,-0.4962263016457682
5680,solar,2030,57,16,16,-0.4962263016457682
5681,solar,2030,57,17,17,-0.4962263016457682
5682,solar,2030,57,18,18,-0.4962263016457682
5683,solar,2030,57,19,19,-0.4962263016457682
5684,solar,2030,57,20,20,-0.4962263016457682
5685,solar,2030,57,21,21,-0.4962263016457682
5686,solar,2030,57,22,22,-0.4962263016457682
5687,solar,2030,57,23,23,-0.4962263016457682
5688,solar,2030,57,24,24,-0.4962263016457682
5689,solar,2030,58,1,1,-1.0162108901181806
5690,solar,2030,58,2,2,-1.0162108901181806
5691,solar,2030,58,3,3,-1.0162108901181806
5692,solar,2030,58,4,4,-1.0162108901181806
5693,solar,2030,58,5,5,-1.0162108901181806
5694,solar,2030,58,6,6,-1.0162108901181806
5695,solar,2030,58,7,7,-1.0162108901181806
5696,solar,2030,58,8,8,-1.0162108901181806
5697,solar,2030,58,9,9,-1.0162108901181806
5698,solar,2030,58,10,10,-1.0162108901181806
5699,solar,2030,58,11,11,-1.0162108901181806
5700,solar,2030,58,12,12,-1.0162108901181806
