id,asset,year,rep_period,time_block_start,time_block_end,solution,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,battery,2030,1,1,1,,-1.6768725549408738,0.0,0.0
2,battery,2030,1,2,2,,-1.0481159382990393,0.0,0.0
3,battery,2030,1,3,3,,-0.1341498043952699,0.0,0.0
4,battery,2030,1,4,4,,-0.1341498043952699,0.0,0.0
5,battery,2030,1,5,5,,-0.1341498043952699,0.0,0.0
6,battery,2030,1,6,6,,-0.1341498043952699,0.0,0.0
7,battery,2030,1,7,7,,-0.1341498043952699,0.0,0.0
8,battery,2030,1,8,8,,-0.1341498043952699,0.0,0.0
9,battery,2030,1,9,9,,-0.1341498043952699,0.0,0.0
10,battery,2030,1,10,10,,-0.1341498043952699,0.0,0.0
11,battery,2030,1,11,11,,-0.1341498043952699,0.0,0.0
12,battery,2030,1,12,12,,-0.1341498043952699,0.0,0.0
13,battery,2030,1,13,13,,-0.1341498043952699,0.0,0.0
14,battery,2030,1,14,14,,-0.1341498043952699,0.0,0.0
15,battery,2030,1,15,15,,-0.1341498043952699,0.0,0.0
16,battery,2030,1,16,16,,-0.1341498043952699,-1.3792276764388691,0.0
17,battery,2030,1,17,17,,-1.513377480834139,0.0,0.0
18,battery,2030,1,18,18,,-1.513377480834139,0.0,0.0
19,battery,2030,1,19,19,,-1.513377480834139,0.0,0.0
20,battery,2030,1,20,20,,-1.513377480834139,0.0,0.0
21,battery,2030,1,21,21,,-1.513377480834139,0.0,0.0
22,battery,2030,1,22,22,,-1.513377480834139,0.0,0.0
23,battery,2030,1,23,23,,-1.513377480834139,0.0,0.0
24,battery,2030,1,24,24,,-1.513377480834139,0.0,0.0
25,battery,2030,2,1,1,,-4.321605933764418,0.0,0.0
26,battery,2030,2,2,2,,-4.321605933764418,0.0,0.0
27,battery,2030,2,3,3,,-4.321605933764418,0.0,0.0
28,battery,2030,2,4,4,,-4.321605933764418,0.0,0.0
29,battery,2030,2,5,5,,-4.321605933764418,0.0,0.0
30,battery,2030,2,6,6,,-4.321605933764418,0.0,0.0
31,battery,2030,2,7,7,,-4.321605933764418,0.0,0.0
32,battery,2030,2,8,8,,-4.321605933764418,0.0,0.0
33,battery,2030,2,9,9,,-3.9002493552223876,0.0,0.0
34,battery,2030,2,10,10,,-3.9002493552223876,0.0,0.0
35,battery,2030,2,11,11,,-3.9002493552223876,0.0,0.0
36,battery,2030,2,12,12,,-3.9002493552223876,0.0,0.0
37,battery,2030,2,13,13,,-3.9002493552223876,0.0,0.0
38,battery,2030,2,14,14,,-3.9002493552223876,0.0,0.0
39,battery,2030,2,15,15,,-3.9002493552223876,0.0,0.0
40,battery,2030,2,16,16,,-3.9002493552223876,0.0,0.0
41,battery,2030,2,17,17,,-3.9002493552223876,0.0,0.0
42,battery,2030,2,18,18,,-3.9002493552223876,0.0,0.0
43,battery,2030,2,19,19,,-3.9002493552223876,0.0,0.0
44,battery,2030,2,20,20,,-3.9002493552223876,0.0,0.0
45,battery,2030,2,21,21,,-3.9002493552223876,0.0,0.0
46,battery,2030,2,22,22,,-3.9002493552223876,0.0,0.0
47,battery,2030,2,23,23,,-3.9002493552223876,0.0,0.0
