id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1200,wind,2030,2,24,24,-0.9648177756211667
1201,wind,2030,3,1,1,-0.6834492043256467
1202,wind,2030,3,2,2,-0.6834492043256467
1203,wind,2030,3,3,3,-0.6834492043256467
1204,wind,2030,3,4,4,-0.6834492043256467
1205,wind,2030,3,5,5,-0.6834492043256467
1206,wind,2030,3,6,6,-0.6834492043256467
1207,wind,2030,3,7,7,-0.6834492043256467
1208,wind,2030,3,8,8,-0.6834492043256467
1209,wind,2030,3,9,9,-0.6834492043256467
1210,wind,2030,3,10,10,-0.6834492043256467
1211,wind,2030,3,11,11,-0.6834492043256467
1212,wind,2030,3,12,12,-0.6834492043256467
1213,wind,2030,3,13,13,-0.6834492043256467
1214,wind,2030,3,14,14,-0.6834492043256467
1215,wind,2030,3,15,15,-0.6834492043256467
1216,wind,2030,3,16,16,-0.6834492043256467
1217,wind,2030,3,17,17,-0.6834492043256467
1218,wind,2030,3,18,18,-0.6834492043256467
1219,wind,2030,3,19,19,-0.6834492043256467
1220,wind,2030,3,20,20,-0.6834492043256467
1221,wind,2030,3,21,21,-0.6834492043256467
1222,wind,2030,3,22,22,-0.6834492043256467
1223,wind,2030,3,23,23,-0.6834492043256467
1224,wind,2030,3,24,24,-0.6834492043256467
1225,wind,2030,4,1,1,-0.7060727251656046
1226,wind,2030,4,2,2,-0.7060727251656046
1227,wind,2030,4,3,3,-0.7060727251656046
1228,wind,2030,4,4,4,-0.7060727251656046
1229,wind,2030,4,5,5,-0.7060727251656046
1230,wind,2030,4,6,6,-0.7060727251656046
1231,wind,2030,4,7,7,-0.7060727251656046
1232,wind,2030,4,8,8,-0.7060727251656046
1233,wind,2030,4,9,9,-0.7060727251656046
1234,wind,2030,4,10,10,-0.7060727251656046
1235,wind,2030,4,11,11,-0.7060727251656046
1236,wind,2030,4,12,12,-0.7060727251656046
1237,wind,2030,4,13,13,-0.7060727251656046
1238,wind,2030,4,14,14,-0.7060727251656046
1239,wind,2030,4,15,15,-0.7060727251656046
1240,wind,2030,4,16,16,-0.7060727251656046
1241,wind,2030,4,17,17,-0.7060727251656046
1242,wind,2030,4,18,18,-0.7060727251656046
1243,wind,2030,4,19,19,-1.0002696939846065
1244,wind,2030,4,20,20,-1.0002696939846065
1245,wind,2030,4,21,21,-104.20608362620283
1246,wind,2030,4,22,22,-1.0002696939846065
1247,wind,2030,4,23,23,-0.7060727251656046
1248,wind,2030,4,24,24,-0.7060727251656046
1249,wind,2030,5,1,1,-5.142692633082458
1250,wind,2030,5,2,2,-5.142692633082458
1251,wind,2030,5,3,3,-5.142692633082458
1252,wind,2030,5,4,4,-5.142692633082458
1253,wind,2030,5,5,5,-5.142692633082458
1254,wind,2030,5,6,6,-5.142692633082458
1255,wind,2030,5,7,7,-5.142692633082458
1256,wind,2030,5,8,8,-5.142692633082458
1257,wind,2030,5,9,9,-5.142692633082458
1258,wind,2030,5,10,10,-5.142692633082458
1259,wind,2030,5,11,11,-5.142692633082458
1260,wind,2030,5,12,12,-5.142692633082458
1261,wind,2030,5,13,13,-5.142692633082458
1262,wind,2030,5,14,14,-5.142692633082458
1263,wind,2030,5,15,15,-5.142692633082458
1264,wind,2030,5,16,16,-5.142692633082458
1265,wind,2030,5,17,17,-5.142692633082458
1266,wind,2030,5,18,18,-5.142692633082458
1267,wind,2030,5,19,19,-5.142692633082458
1268,wind,2030,5,20,20,-5.142692633082458
1269,wind,2030,5,21,21,-5.142692633082458
1270,wind,2030,5,22,22,-5.142692633082458
1271,wind,2030,5,23,23,-5.142692633082458
1272,wind,2030,5,24,24,-5.142692633082458
1273,wind,2030,6,1,1,-0.9730224979519668
1274,wind,2030,6,2,2,-0.9730224979519668
1275,wind,2030,6,3,3,-0.9730224979519668
1276,wind,2030,6,4,4,-0.9730224979519668
1277,wind,2030,6,5,5,-0.9730224979519668
1278,wind,2030,6,6,6,-0.9730224979519668
1279,wind,2030,6,7,7,-0.9730224979519668
1280,wind,2030,6,8,8,-0.9730224979519668
1281,wind,2030,6,9,9,-0.9730224979519668
1282,wind,2030,6,10,10,-0.9730224979519668
1283,wind,2030,6,11,11,-0.9730224979519668
1284,wind,2030,6,12,12,-0.9730224979519668
1285,wind,2030,6,13,13,-0.9730224979519668
1286,wind,2030,6,14,14,-0.9730224979519668
1287,wind,2030,6,15,15,-0.9730224979519668
1288,wind,2030,6,16,16,-0.9730224979519668
1289,wind,2030,6,17,17,-0.9730224979519668
1290,wind,2030,6,18,18,-0.9730224979519668
1291,wind,2030,6,19,19,-0.9730224979519668
1292,wind,2030,6,20,20,-0.9730224979519668
1293,wind,2030,6,21,21,-0.9730224979519668
1294,wind,2030,6,22,22,-0.9730224979519668
1295,wind,2030,6,23,23,-0.9730224979519668
1296,wind,2030,6,24,24,-0.9730224979519668
1297,wind,2030,7,1,1,-5.979450557579288
1298,wind,2030,7,2,2,-5.979450557579288
1299,wind,2030,7,3,3,-5.979450557579288
1300,wind,2030,7,4,4,-5.979450557579288
1301,wind,2030,7,5,5,-5.979450557579288
1302,wind,2030,7,6,6,-5.979450557579288
1303,wind,2030,7,7,7,-5.979450557579288
1304,wind,2030,7,8,8,-5.979450557579288
1305,wind,2030,7,9,9,-5.979450557579288
1306,wind,2030,7,10,10,-5.979450557579288
1307,wind,2030,7,11,11,-5.979450557579288
1308,wind,2030,7,12,12,-3.6614732071872558
1309,wind,2030,7,13,13,0.0
1310,wind,2030,7,14,14,0.0
1311,wind,2030,7,15,15,-5.979450557579288
1312,wind,2030,7,16,16,-5.979450557579288
1313,wind,2030,7,17,17,-5.979450557579288
1314,wind,2030,7,18,18,-5.979450557579288
1315,wind,2030,7,19,19,-5.979450557579288
1316,wind,2030,7,20,20,-8.03499826630074
1317,wind,2030,7,21,21,-8.470888289903991
1318,wind,2030,7,22,22,-5.979450557579288
1319,wind,2030,7,23,23,-5.979450557579288
1320,wind,2030,7,24,24,-5.979450557579288
1321,wind,2030,8,1,1,-0.38443987149547654
1322,wind,2030,8,2,2,-0.38443987149547654
1323,wind,2030,8,3,3,-0.38443987149547654
1324,wind,2030,8,4,4,-0.38443987149547654
1325,wind,2030,8,5,5,-0.38443987149547654
1326,wind,2030,8,6,6,-0.38443987149547654
1327,wind,2030,8,7,7,-0.38443987149547654
1328,wind,2030,8,8,8,-0.38443987149547654
1329,wind,2030,8,9,9,-0.38443987149547654
1330,wind,2030,8,10,10,-0.38443987149547654
1331,wind,2030,8,11,11,-0.38443987149547654
1332,wind,2030,8,12,12,0.0
1333,wind,2030,8,13,13,0.0
1334,wind,2030,8,14,14,0.0
1335,wind,2030,8,15,15,0.0
1336,wind,2030,8,16,16,-0.38443987149547654
1337,wind,2030,8,17,17,-0.38443987149547654
1338,wind,2030,8,18,18,-0.38443987149547654
1339,wind,2030,8,19,19,-0.38443987149547654
1340,wind,2030,8,20,20,-0.38443987149547654
1341,wind,2030,8,21,21,-0.38443987149547654
1342,wind,2030,8,22,22,-0.38443987149547654
1343,wind,2030,8,23,23,-0.38443987149547654
1344,wind,2030,8,24,24,-0.38443987149547654
1345,wind,2030,9,1,1,-0.11027893915246677
1346,wind,2030,9,2,2,-0.11027893915246677
1347,wind,2030,9,3,3,-0.11027893915246677
1348,wind,2030,9,4,4,-0.11027893915246677
1349,wind,2030,9,5,5,-0.11027893915246677
1350,wind,2030,9,6,6,-0.11027893915246677
1351,wind,2030,9,7,7,-0.11027893915246677
1352,wind,2030,9,8,8,-0.11027893915246677
1353,wind,2030,9,9,9,-0.11027893915246677
1354,wind,2030,9,10,10,-0.11027893915246677
1355,wind,2030,9,11,11,0.0
1356,wind,2030,9,12,12,0.0
1357,wind,2030,9,13,13,0.0
1358,wind,2030,9,14,14,0.0
1359,wind,2030,9,15,15,-0.11027893915246677
1360,wind,2030,9,16,16,-0.11027893915246677
1361,wind,2030,9,17,17,-0.11027893915246677
1362,wind,2030,9,18,18,-0.11027893915246677
1363,wind,2030,9,19,19,-0.11027893915246677
1364,wind,2030,9,20,20,-0.11027893915246677
1365,wind,2030,9,21,21,-0.11027893915246677
1366,wind,2030,9,22,22,-0.11027893915246677
1367,wind,2030,9,23,23,-0.11027893915246677
1368,wind,2030,9,24,24,-0.11027893915246677
1369,wind,2030,10,1,1,-0.4299233920418478
1370,wind,2030,10,2,2,-0.4299233920418478
1371,wind,2030,10,3,3,-0.4299233920418478
1372,wind,2030,10,4,4,-0.4299233920418478
1373,wind,2030,10,5,5,-0.4299233920418478
1374,wind,2030,10,6,6,-0.4299233920418478
1375,wind,2030,10,7,7,-0.4299233920418478
1376,wind,2030,10,8,8,-0.4299233920418478
1377,wind,2030,10,9,9,-0.4299233920418478
1378,wind,2030,10,10,10,-0.4299233920418478
1379,wind,2030,10,11,11,-0.4299233920418478
