from_asset,to_asset,milestone_year,operational_cost,dc_opf,investable,reactance,commodity_price
wind,e_demand,2030,0.002,false,false,0.3,0.0
ccgt,e_demand,2030,0.0,false,false,0.3,0.05
ocgt,e_demand,2030,0.0,false,false,0.3,0.07
solar,e_demand,2030,0.0,false,false,0.3,0.0
ens,e_demand,2030,0.0,false,false,0.3,3000
wind_offshore,e_demand,2030,0.004,false,false,0.3,0.0
battery,e_demand,2030,0.0,false,false,0.3,0.0
e_demand,battery,2030,0.0,false,false,0.3,0.0
hydro_reservoir,e_demand,2030,0.0,false,false,0.3,0.0
hydro_reservoir,spillage,2030,0.001,false,false,0.3,0.0
