base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
conicalb_cross,4,Gurobi,1.0178226,0.3032585,0.665467,0.0057942,0.0094856,466.90496196877285,OPTIMAL,1,0.021264448766406763,672,581,0.0503301,527.8367555453443,OPTIMAL,0,0.0
conicalb_cross,8,Gurobi,2.918065,0.2979898,0.5799131,0.0106056,0.0119746,513.5147592875928,OPTIMAL,7,0.08250261533040788,1344,1157,0.0591064,515.3087948163469,OPTIMAL,0,0.0
conicalb_cross,12,Gurobi,2.0134383,0.3075755,0.7518073,0.0170241,0.0136851,500.64371793956684,OPTIMAL,3,0.04679141435705343,2016,1733,0.0428733,516.654721095426,OPTIMAL,0,0.0
conicalb_cross,16,Gurobi,2.4877871,0.3168406,0.7598228,0.0236911,0.0165406,508.2809780059392,OPTIMAL,5,0.05833815369773417,2688,2309,0.0362425,516.1494616084346,OPTIMAL,0,0.0
conicalb_cross,20,Gurobi,3.2220205,0.3181822,0.7825798,0.0308653,0.0229424,508.43013398278794,OPTIMAL,8,0.12749806420276621,3360,2885,0.0352623,514.8354813243459,OPTIMAL,0,0.0
conicalb_cross,30,Gurobi,4.7023536,0.3381951,0.8493156,0.0567577,0.0233676,476.10198961369906,OPTIMAL,38,12.169874962425586,5040,4325,0.0375959,491.8762501955049,OPTIMAL,48,2.0713328758532903
conicalb_cross,60,Gurobi,9.3395614,0.3773581,0.9511859,0.1930667,0.0401756,468.32614340082273,OPTIMAL,48,61.37484072990698,10080,8645,0.0349399,500.3092517435887,OPTIMAL,55,2.991126262990976
conicalb_cross,90,Gurobi,16.4378338,0.43459,0.8892411,0.4397208,0.060929,465.50965488632045,OPTIMAL,48,61.37484072990698,15120,12965,0.0397928,498.16491166633256,OPTIMAL,53,2.819978409024591
conicalb_cross,120,Gurobi,21.6408429,0.4098803,0.9780319,0.358912,0.0753205,475.7682946636416,OPTIMAL,49,61.390436555809,20160,17285,0.038121,480.55995508516435,OPTIMAL,3,0.03003907046167842
conicalb_cross,180,Gurobi,33.1752175,0.4986749,1.1267179,0.6218245,0.1103689,474.2451896273198,OPTIMAL,51,61.403969178833606,30240,25925,0.033751,479.7547704143649,OPTIMAL,4,0.03519361976820945
conicalb_cross,240,Gurobi,51.2075121,0.5676151,1.2302741,0.9670311,0.1511214,472.94659068890064,OPTIMAL,50,61.40417956583783,40320,34565,0.0318683,479.5043204972962,OPTIMAL,3,0.040572022409276265
conicalb_cross,360,Gurobi,106.3652069,0.9293816,2.4557544,1.825947,0.3498724,471.3503931499724,OPTIMAL,54,61.48259399556236,60480,51845,0.0346438,478.728517718214,OPTIMAL,8,0.150712164811726
conicalb_per,4,Gurobi,0.8500363,0.3959226,0.9021652,0.0060911,0.0110263,452.71911362269054,OPTIMAL,0,0.0,672,581,0.0584244,537.5206009736554,OPTIMAL,0,0.0
