id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
8130,solar,2030,69,18,18,-0.054320926880095946
8131,solar,2030,69,19,19,-0.054320926880095946
8132,solar,2030,69,20,20,-0.054320926880095946
8133,solar,2030,69,21,21,-0.054320926880095946
8134,solar,2030,69,22,22,-0.054320926880095946
8135,solar,2030,69,23,23,-0.054320926880095946
8136,solar,2030,69,24,24,-0.054320926880095946
8137,solar,2030,70,1,1,-0.042645210103509856
8138,solar,2030,70,2,2,-0.042645210103509856
8139,solar,2030,70,3,3,-0.042645210103509856
8140,solar,2030,70,4,4,-0.042645210103509856
8141,solar,2030,70,5,5,-0.042645210103509856
8142,solar,2030,70,6,6,-0.042645210103509856
8143,solar,2030,70,7,7,-0.042645210103509856
8144,solar,2030,70,8,8,-0.042645210103509856
8145,solar,2030,70,9,9,-0.042645210103509856
8146,solar,2030,70,10,10,0.0
8147,solar,2030,70,11,11,0.0
8148,solar,2030,70,12,12,0.0
8149,solar,2030,70,13,13,0.0
8150,solar,2030,70,14,14,0.0
8151,solar,2030,70,15,15,0.0
8152,solar,2030,70,16,16,0.0
8153,solar,2030,70,17,17,-0.042645210103509856
8154,solar,2030,70,18,18,-0.042645210103509856
8155,solar,2030,70,19,19,-0.042645210103509856
8156,solar,2030,70,20,20,-0.042645210103509856
8157,solar,2030,70,21,21,-0.042645210103509856
8158,solar,2030,70,22,22,-0.042645210103509856
8159,solar,2030,70,23,23,-0.042645210103509856
8160,solar,2030,70,24,24,-0.042645210103509856
8161,solar,2030,71,1,1,-0.050526451700796476
8162,solar,2030,71,2,2,-0.050526451700796476
8163,solar,2030,71,3,3,-0.050526451700796476
8164,solar,2030,71,4,4,-0.050526451700796476
8165,solar,2030,71,5,5,-0.050526451700796476
8166,solar,2030,71,6,6,-0.050526451700796476
8167,solar,2030,71,7,7,-0.050526451700796476
8168,solar,2030,71,8,8,-0.050526451700796476
8169,solar,2030,71,9,9,-0.050526451700796476
8170,solar,2030,71,10,10,-0.050526451700796476
8171,solar,2030,71,11,11,-0.050526451700796476
8172,solar,2030,71,12,12,0.0
8173,solar,2030,71,13,13,0.0
8174,solar,2030,71,14,14,0.0
8175,solar,2030,71,15,15,-0.002021058068031859
8176,solar,2030,71,16,16,-0.050526451700796476
8177,solar,2030,71,17,17,-0.050526451700796476
8178,solar,2030,71,18,18,-0.050526451700796476
8179,solar,2030,71,19,19,-0.050526451700796476
8180,solar,2030,71,20,20,-0.050526451700796476
8181,solar,2030,71,21,21,-0.050526451700796476
8182,solar,2030,71,22,22,-0.050526451700796476
8183,solar,2030,71,23,23,-0.050526451700796476
8184,solar,2030,71,24,24,-0.050526451700796476
8185,solar,2030,72,1,1,-0.12226441252484475
8186,solar,2030,72,2,2,-0.12226441252484475
8187,solar,2030,72,3,3,-0.12226441252484475
8188,solar,2030,72,4,4,-0.12226441252484475
8189,solar,2030,72,5,5,-0.12226441252484475
8190,solar,2030,72,6,6,-0.12226441252484475
8191,solar,2030,72,7,7,-0.12226441252484475
8192,solar,2030,72,8,8,-0.12226441252484475
8193,solar,2030,72,9,9,-0.12226441252484475
8194,solar,2030,72,10,10,-0.12226441252484475
8195,solar,2030,72,11,11,0.0
8196,solar,2030,72,12,12,0.0
8197,solar,2030,72,13,13,0.0
8198,solar,2030,72,14,14,0.0
8199,solar,2030,72,15,15,0.0
8200,solar,2030,72,16,16,-0.12226441252484475
8201,solar,2030,72,17,17,-0.12226441252484475
8202,solar,2030,72,18,18,-0.12226441252484475
8203,solar,2030,72,19,19,-0.12226441252484475
8204,solar,2030,72,20,20,-0.12226441252484475
8205,solar,2030,72,21,21,-0.12226441252484475
8206,solar,2030,72,22,22,-0.12226441252484475
8207,solar,2030,72,23,23,-0.12226441252484475
8208,solar,2030,72,24,24,-0.12226441252484475
8209,solar,2030,73,1,1,-0.1478774515202684
8210,solar,2030,73,2,2,-0.1478774515202684
8211,solar,2030,73,3,3,-0.1478774515202684
8212,solar,2030,73,4,4,-0.1478774515202684
8213,solar,2030,73,5,5,-0.1478774515202684
8214,solar,2030,73,6,6,-0.1478774515202684
8215,solar,2030,73,7,7,-0.1478774515202684
8216,solar,2030,73,8,8,-0.1478774515202684
8217,solar,2030,73,9,9,-0.1478774515202684
8218,solar,2030,73,10,10,-0.1478774515202684
8219,solar,2030,73,11,11,-0.1478774515202684
8220,solar,2030,73,12,12,0.0
8221,solar,2030,73,13,13,0.0
8222,solar,2030,73,14,14,0.0
8223,solar,2030,73,15,15,0.0
8224,solar,2030,73,16,16,-0.1478774515202684
8225,solar,2030,73,17,17,-0.1478774515202684
8226,solar,2030,73,18,18,-0.1478774515202684
8227,solar,2030,73,19,19,-0.1478774515202684
8228,solar,2030,73,20,20,-0.1478774515202684
8229,solar,2030,73,21,21,-0.1478774515202684
8230,solar,2030,73,22,22,-0.1478774515202684
8231,solar,2030,73,23,23,-0.1478774515202684
8232,solar,2030,73,24,24,-0.1478774515202684
8233,solar,2030,74,1,1,-0.0673688999513592
8234,solar,2030,74,2,2,-0.0673688999513592
8235,solar,2030,74,3,3,-0.0673688999513592
8236,solar,2030,74,4,4,-0.0673688999513592
8237,solar,2030,74,5,5,-0.0673688999513592
8238,solar,2030,74,6,6,-0.0673688999513592
8239,solar,2030,74,7,7,-0.0673688999513592
8240,solar,2030,74,8,8,-0.0673688999513592
8241,solar,2030,74,9,9,-0.0673688999513592
8242,solar,2030,74,10,10,-0.0673688999513592
8243,solar,2030,74,11,11,0.0
8244,solar,2030,74,12,12,0.0
8245,solar,2030,74,13,13,0.0
8246,solar,2030,74,14,14,0.0
8247,solar,2030,74,15,15,-0.002694755998054368
8248,solar,2030,74,16,16,-0.0673688999513592
8249,solar,2030,74,17,17,-0.0673688999513592
8250,solar,2030,74,18,18,-0.0673688999513592
8251,solar,2030,74,19,19,-0.0673688999513592
8252,solar,2030,74,20,20,-0.0673688999513592
8253,solar,2030,74,21,21,-0.0673688999513592
8254,solar,2030,74,22,22,-0.0673688999513592
8255,solar,2030,74,23,23,-0.0673688999513592
8256,solar,2030,74,24,24,-0.0673688999513592
8257,solar,2030,75,1,1,-0.2523901762939879
8258,solar,2030,75,2,2,-0.2523901762939879
8259,solar,2030,75,3,3,-0.2523901762939879
8260,solar,2030,75,4,4,-0.2523901762939879
8261,solar,2030,75,5,5,-0.2523901762939879
8262,solar,2030,75,6,6,-0.2523901762939879
8263,solar,2030,75,7,7,-0.2523901762939879
8264,solar,2030,75,8,8,-0.2523901762939879
8265,solar,2030,75,9,9,-0.2523901762939879
8266,solar,2030,75,10,10,-0.2523901762939879
8267,solar,2030,75,11,11,0.0
8268,solar,2030,75,12,12,0.0
8269,solar,2030,75,13,13,0.0
8270,solar,2030,75,14,14,0.0
8271,solar,2030,75,15,15,0.0
8272,solar,2030,75,16,16,-0.2523901762939879
8273,solar,2030,75,17,17,-0.2523901762939879
8274,solar,2030,75,18,18,-0.2523901762939879
8275,solar,2030,75,19,19,-0.2523901762939879
8276,solar,2030,75,20,20,-0.2523901762939879
8277,solar,2030,75,21,21,-0.2523901762939879
8278,solar,2030,75,22,22,-0.2523901762939879
8279,solar,2030,75,23,23,-0.2523901762939879
8280,solar,2030,75,24,24,-0.2523901762939879
8281,solar,2030,76,1,1,-0.3474220809875348
8282,solar,2030,76,2,2,-0.3474220809875348
8283,solar,2030,76,3,3,-0.3474220809875348
8284,solar,2030,76,4,4,-0.3474220809875348
8285,solar,2030,76,5,5,-0.3474220809875348
8286,solar,2030,76,6,6,-0.3474220809875348
8287,solar,2030,76,7,7,-0.3474220809875348
8288,solar,2030,76,8,8,-0.3474220809875348
8289,solar,2030,76,9,9,-0.3474220809875348
8290,solar,2030,76,10,10,-0.3474220809875348
8291,solar,2030,76,11,11,-0.01389688323950139
8292,solar,2030,76,12,12,0.0
8293,solar,2030,76,13,13,-0.01389688323950139
8294,solar,2030,76,14,14,-0.3474220809875348
8295,solar,2030,76,15,15,-0.3474220809875348
8296,solar,2030,76,16,16,-0.3474220809875348
8297,solar,2030,76,17,17,-0.3474220809875348
8298,solar,2030,76,18,18,-0.3474220809875348
8299,solar,2030,76,19,19,-0.3474220809875348
8300,solar,2030,76,20,20,-0.3474220809875348
8301,solar,2030,76,21,21,-0.3474220809875348
8302,solar,2030,76,22,22,-0.3474220809875348
8303,solar,2030,76,23,23,-0.3474220809875348
8304,solar,2030,76,24,24,-0.3474220809875348
8305,solar,2030,77,1,1,-0.040250906740211256
8306,solar,2030,77,2,2,-0.040250906740211256
8307,solar,2030,77,3,3,-0.040250906740211256
8308,solar,2030,77,4,4,-0.040250906740211256
8309,solar,2030,77,5,5,-0.040250906740211256
8310,solar,2030,77,6,6,-0.040250906740211256
8311,solar,2030,77,7,7,-0.040250906740211256
8312,solar,2030,77,8,8,-0.040250906740211256
8313,solar,2030,77,9,9,-0.040250906740211256
8314,solar,2030,77,10,10,-0.040250906740211256
8315,solar,2030,77,11,11,-0.0016100362696084504
8316,solar,2030,77,12,12,0.0
8317,solar,2030,77,13,13,0.0
8318,solar,2030,77,14,14,0.0
8319,solar,2030,77,15,15,0.0
8320,solar,2030,77,16,16,-0.040250906740211256
8321,solar,2030,77,17,17,-0.040250906740211256
8322,solar,2030,77,18,18,-0.040250906740211256
8323,solar,2030,77,19,19,-0.040250906740211256
8324,solar,2030,77,20,20,-0.040250906740211256
8325,solar,2030,77,21,21,-0.040250906740211256
8326,solar,2030,77,22,22,-0.040250906740211256
8327,solar,2030,77,23,23,-0.040250906740211256
8328,solar,2030,77,24,24,-0.040250906740211256
8329,solar,2030,78,1,1,-0.09334815488806232
8330,solar,2030,78,2,2,-0.09334815488806232
8331,solar,2030,78,3,3,-0.09334815488806232
8332,solar,2030,78,4,4,-0.09334815488806232
8333,solar,2030,78,5,5,-0.09334815488806232
8334,solar,2030,78,6,6,-0.09334815488806232
8335,solar,2030,78,7,7,-0.09334815488806232
8336,solar,2030,78,8,8,-0.09334815488806232
8337,solar,2030,78,9,9,-0.09334815488806232
8338,solar,2030,78,10,10,-0.09334815488806232
8339,solar,2030,78,11,11,0.0
8340,solar,2030,78,12,12,0.0
8341,solar,2030,78,13,13,0.0
8342,solar,2030,78,14,14,0.0
8343,solar,2030,78,15,15,0.0
8344,solar,2030,78,16,16,-0.09334815488806232
8345,solar,2030,78,17,17,-0.09334815488806232
8346,solar,2030,78,18,18,-0.09334815488806232
8347,solar,2030,78,19,19,-0.09334815488806232
8348,solar,2030,78,20,20,-0.09334815488806232
8349,solar,2030,78,21,21,-0.09334815488806232
8350,solar,2030,78,22,22,-0.09334815488806232
8351,solar,2030,78,23,23,-0.09334815488806232
8352,solar,2030,78,24,24,-0.09334815488806232
8353,solar,2030,79,1,1,-0.050308856339606516
8354,solar,2030,79,2,2,-0.050308856339606516
8355,solar,2030,79,3,3,-0.050308856339606516
8356,solar,2030,79,4,4,-0.050308856339606516
8357,solar,2030,79,5,5,-0.050308856339606516
8358,solar,2030,79,6,6,-0.050308856339606516
8359,solar,2030,79,7,7,-0.050308856339606516
8360,solar,2030,79,8,8,-0.050308856339606516
8361,solar,2030,79,9,9,-0.050308856339606516
8362,solar,2030,79,10,10,-0.050308856339606516
8363,solar,2030,79,11,11,0.0
8364,solar,2030,79,12,12,0.0
8365,solar,2030,79,13,13,0.0
8366,solar,2030,79,14,14,0.0
8367,solar,2030,79,15,15,0.0
8368,solar,2030,79,16,16,-0.050308856339606516
8369,solar,2030,79,17,17,-0.050308856339606516
8370,solar,2030,79,18,18,-0.050308856339606516
8371,solar,2030,79,19,19,-0.050308856339606516
8372,solar,2030,79,20,20,-0.050308856339606516
8373,solar,2030,79,21,21,-0.050308856339606516
8374,solar,2030,79,22,22,-0.050308856339606516
8375,solar,2030,79,23,23,-0.050308856339606516
8376,solar,2030,79,24,24,-0.050308856339606516
8377,solar,2030,80,1,1,-0.4588802731590953
8378,solar,2030,80,2,2,-0.4588802731590953
8379,solar,2030,80,3,3,-0.4588802731590953
8380,solar,2030,80,4,4,-0.4588802731590953
8381,solar,2030,80,5,5,-0.4588802731590953
8382,solar,2030,80,6,6,-0.4588802731590953
8383,solar,2030,80,7,7,-0.4588802731590953
8384,solar,2030,80,8,8,-0.4588802731590953
8385,solar,2030,80,9,9,-0.4588802731590953
8386,solar,2030,80,10,10,-0.01835521092636381
8387,solar,2030,80,11,11,0.0
8388,solar,2030,80,12,12,0.0
8389,solar,2030,80,13,13,0.0
8390,solar,2030,80,14,14,0.0
8391,solar,2030,80,15,15,-0.01835521092636381
8392,solar,2030,80,16,16,-0.4588802731590953
8393,solar,2030,80,17,17,-0.4588802731590953
8394,solar,2030,80,18,18,-0.4588802731590953
8395,solar,2030,80,19,19,-0.4588802731590953
8396,solar,2030,80,20,20,-0.4588802731590953
8397,solar,2030,80,21,21,-0.4588802731590953
8398,solar,2030,80,22,22,-0.4588802731590953
8399,solar,2030,80,23,23,-0.4588802731590953
8400,solar,2030,80,24,24,-0.4588802731590953
8401,solar,2030,81,1,1,-0.06837879877721548
8402,solar,2030,81,2,2,-0.06837879877721548
8403,solar,2030,81,3,3,-0.06837879877721548
8404,solar,2030,81,4,4,-0.06837879877721548
8405,solar,2030,81,5,5,-0.06837879877721548
8406,solar,2030,81,6,6,-0.06837879877721548
8407,solar,2030,81,7,7,-0.06837879877721548
8408,solar,2030,81,8,8,-0.06837879877721548
8409,solar,2030,81,9,9,-0.06837879877721548
8410,solar,2030,81,10,10,0.0
8411,solar,2030,81,11,11,0.0
8412,solar,2030,81,12,12,0.0
8413,solar,2030,81,13,13,0.0
8414,solar,2030,81,14,14,0.0
8415,solar,2030,81,15,15,0.0
8416,solar,2030,81,16,16,0.0
8417,solar,2030,81,17,17,-0.06837879877721548
8418,solar,2030,81,18,18,-0.06837879877721548
8419,solar,2030,81,19,19,-0.06837879877721548
8420,solar,2030,81,20,20,-0.06837879877721548
8421,solar,2030,81,21,21,-0.06837879877721548
8422,solar,2030,81,22,22,-0.06837879877721548
8423,solar,2030,81,23,23,-0.06837879877721548
8424,solar,2030,81,24,24,-0.06837879877721548
8425,solar,2030,82,1,1,-0.025967889476855355
8426,solar,2030,82,2,2,-0.025967889476855355
8427,solar,2030,82,3,3,-0.025967889476855355
8428,solar,2030,82,4,4,-0.025967889476855355
8429,solar,2030,82,5,5,-0.025967889476855355
8430,solar,2030,82,6,6,-0.025967889476855355
8431,solar,2030,82,7,7,-0.025967889476855355
8432,solar,2030,82,8,8,-0.025967889476855355
8433,solar,2030,82,9,9,-0.025967889476855355
8434,solar,2030,82,10,10,0.0
8435,solar,2030,82,11,11,0.0
8436,solar,2030,82,12,12,0.0
8437,solar,2030,82,13,13,0.0
8438,solar,2030,82,14,14,0.0
8439,solar,2030,82,15,15,0.0
8440,solar,2030,82,16,16,0.0
8441,solar,2030,82,17,17,-0.025967889476855355
8442,solar,2030,82,18,18,-0.025967889476855355
8443,solar,2030,82,19,19,-0.025967889476855355
8444,solar,2030,82,20,20,-0.025967889476855355
8445,solar,2030,82,21,21,-0.025967889476855355
8446,solar,2030,82,22,22,-0.025967889476855355
8447,solar,2030,82,23,23,-0.025967889476855355
8448,solar,2030,82,24,24,-0.025967889476855355
8449,solar,2030,83,1,1,-0.026767780406618442
8450,solar,2030,83,2,2,-0.026767780406618442
8451,solar,2030,83,3,3,-0.026767780406618442
8452,solar,2030,83,4,4,-0.026767780406618442
8453,solar,2030,83,5,5,-0.026767780406618442
8454,solar,2030,83,6,6,-0.026767780406618442
8455,solar,2030,83,7,7,-0.026767780406618442
8456,solar,2030,83,8,8,-0.026767780406618442
8457,solar,2030,83,9,9,-0.026767780406618442
8458,solar,2030,83,10,10,-0.026767780406618442
8459,solar,2030,83,11,11,0.0
8460,solar,2030,83,12,12,0.0
8461,solar,2030,83,13,13,0.0
8462,solar,2030,83,14,14,0.0
8463,solar,2030,83,15,15,0.0
8464,solar,2030,83,16,16,-0.0010707112162647377
8465,solar,2030,83,17,17,-0.026767780406618442
8466,solar,2030,83,18,18,-0.026767780406618442
8467,solar,2030,83,19,19,-0.026767780406618442
8468,solar,2030,83,20,20,-0.026767780406618442
8469,solar,2030,83,21,21,-0.026767780406618442
8470,solar,2030,83,22,22,-0.026767780406618442
8471,solar,2030,83,23,23,-0.026767780406618442
8472,solar,2030,83,24,24,-0.026767780406618442
8473,solar,2030,84,1,1,-0.5097648985179144
8474,solar,2030,84,2,2,-0.5097648985179144
