base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,4.9226536,4.9226536,4.9226536,12.7107445,12.7107445,12.7107445,1.2725083,1.2725083,1.2725083,1.102943,1.102943,1.102943,20.0088494,20.0088494,20.0088494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmeans_cross_dirac,2,0.64874526,0.110851425,0.258228525,0.36074316,0.33718395,0.385578,1.0191558399999998,0.9621945000000001,1.120992675,0.00250372,0.0022672250000000003,0.00271055,0.006678039999999999,0.0053963,0.0076974,2.0378260200000002,1.5650187,1.7176246,10.63797067069741,10.637970670697408,10.637970670697408,53.0,53.0,53.0,9.30762585902386,9.307625859023862,9.307625859023862
kmeans_cross_dirac,4,0.1735293,0.11487975,0.21335075000000003,0.35995795,0.346549675,0.39352339999999997,1.12052014,1.040159025,1.1848102,0.00255837,0.002448,0.002709875,0.007282810000000001,0.00679145,0.0080146,1.66384857,1.620650125,1.7372181,4.890735444028577,2.935336215655277,6.804534851183952,27.5,20.25,34.5,4.374629837388527,2.6894132989985957,6.031587149610733
kmeans_cross_dirac,6,0.21696049,0.12419659999999999,0.25024397499999995,0.4125839699999999,0.3928309,0.44455432500000003,1.18274468,1.1332940749999998,1.263198075,0.00260281,0.0024739500000000004,0.0026731000000000003,0.00820015,0.0077120750000000005,0.008924075,1.8230921000000002,1.7093369999999999,1.886700975,2.4744954244979063,1.1079427434619902,2.8150995502883576,18.3,12.5,20.0,2.277363345165727,1.0804412446918694,2.584747357935886
kmeans_cross_dirac,8,0.23106010000000002,0.159596025,0.26258227500000003,0.3799674300000001,0.35532172500000003,0.41558575000000003,1.08215672,1.007199775,1.141727625,0.00277258,0.002609775,0.002935575,0.00677353,0.005969675,0.0067170500000000005,1.7027303599999999,1.6131459000000001,1.7995283249999998,1.9803700235524384,0.7994960692928643,2.461034681229662,16.1,11.0,19.25,1.8419608132371887,0.8061783164744185,2.275697843846803
kmeans_cross_dirac,10,0.18117824,0.12787389999999998,0.19461497500000002,0.3924246,0.378006975,0.405607075,1.05388204,0.9632629500000001,1.161984925,0.00265602,0.0025213250000000005,0.002763325,0.006485629999999999,0.005668474999999999,0.007275225,1.6366265300000002,1.5534235,1.74261735,0.9373025457691361,0.7994960692928643,0.9413936104061686,11.3,11.0,11.75,0.9286830789683573,0.8061783164744185,0.9336551298706677
kmeans_cross_dirac,12,0.16566971000000003,0.1275025,0.1858071,0.38848577,0.37246187499999994,0.40953802499999997,1.12306718,1.028806875,1.17185385,0.00270194,0.0026285749999999997,0.0027429,0.0065355299999999995,0.0056104,0.0077365,1.68646013,1.6291659250000001,1.7148188500000001,0.7402199260794355,0.6131728330461581,0.816307105116178,10.2,9.5,11.0,0.7518409677018963,0.6382379653325385,0.8213140797724732
kmeans_cross_dirac,14,0.19471122999999999,0.159694,0.22873812500000001,0.37734858,0.34020015000000003,0.411907425,1.09002963,1.0189494749999999,1.1582808999999998,0.00277508,0.00269135,0.00293085,0.007981229999999999,0.006451475,0.00862685,1.67284575,1.6066529999999999,1.6944710999999997,0.6011962487413685,0.5033725016565103,0.7690658064328804,8.8,7.5,11.0,0.6217475312664097,0.5365193151495478,0.7787805248935122
kmeans_cross_dirac,16,0.19578406,0.168671275,0.22782034999999998,0.36896222,0.3540722,0.399483325,1.1245424300000002,1.065504475,1.152349525,0.00276977,0.00261265,0.00287325,0.006858930000000001,0.005694375,0.007487799999999999,1.69891741,1.6140261,1.76589845,0.5023196740320153,0.47193485357682496,0.6198133989717659,7.5,7.0,10.0,0.5312197735537619,0.5072816397297242,0.6434070973845988
kmeans_cross_dirac,18,0.22101800000000008,0.146686925,0.261518375,0.37602635,0.332825975,0.41318715,1.09140897,1.014130025,1.180123775,0.00287845,0.0028515999999999997,0.002959475,0.006815400000000001,0.006077675,0.007294750000000001,1.69814717,1.5682455250000003,1.81119465,0.4264913314091891,0.307614129678775,0.47193485357682496,6.7,5.25,7.0,0.4596524151354737,0.34896449387724293,0.5072816397297242
