base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,20.3797673,20.3797673,20.3797673,88.3634437,88.3634437,88.3634437,395.4139321,395.4139321,395.4139321,23.9072213,23.9072213,23.9072213,528.0643643999999,528.0643643999999,528.0643643999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,4.3077112,2.1392455000000004,5.255332800000001,0.54703455,0.53000245,0.5785010500000001,2.7055947,2.45264735,2.8154353,4.67073197,4.57482525,4.847656275,0.24123953,0.19863265000000002,0.2053697,12.47231195,10.003445525,14.575326075,0.5170740925961678,0.5128353153478681,0.5206729209383404,384.0,326.75,437.75,99.0,55.5,74.0
kmedoids_cross_convex,8,2.39589869,2.210504275,2.82110675,0.75003085,0.7312105499999999,0.774835375,3.82704471,3.507099575,4.1146948750000005,12.768139279999998,12.405155225000001,13.091478975,0.40112492,0.31819745,0.34182942499999996,20.14223845,19.713479399999997,20.871415250000002,0.49022699938510667,0.4836190699301298,0.49935146457134544,356.0,293.25,427.75,49.9,35.0,56.5
kmedoids_cross_convex,12,2.51874749,2.4559613,2.669970475,0.9529576900000001,0.9129323,1.000540925,5.14969741,4.783540025,5.420428425,24.167444949999997,22.522537925,24.538449125,0.4569459899999999,0.443792525,0.4730373,33.24579353,31.469669425,33.850620675,0.46036261096913933,0.45303044180592256,0.4687572846825183,290.7,244.0,313.5,35.4,26.25,40.5
kmedoids_cross_convex,16,3.1102341,2.889209225,3.445382475,1.2089830400000001,1.13908995,1.2870887,7.00840848,5.972792975,6.404495675000001,33.82676323,31.8190098,35.509181125,0.8148444899999999,0.581999325,0.618508025,45.96923334,44.439814,48.3308551,0.42346008128676615,0.38366017884016773,0.45790896227956845,264.9,163.0,368.25,30.9,18.5,40.5
kmedoids_cross_convex,20,3.26929293,2.934043225,3.3634546,1.41528524,1.3690744000000001,1.4693910499999998,8.91685867,7.151254,8.437581875,47.31015207,45.486097375,47.773641,0.8032039799999998,0.71406985,0.768831025,61.71479289,58.88977295,63.542805175000005,0.39372150437727227,0.37564890349853597,0.4129181508528825,217.4,110.75,284.0,32.1,16.75,34.5
kmedoids_cross_convex,30,7.634452390000002,4.404382074999999,10.73916195,2.0731644099999995,1.902757875,2.173218125,10.26945372,9.671361124999999,10.7335456,72.80600098,69.50025790000001,75.4431443,3.02284711,1.078474,1.5871292750000001,95.80591860999999,91.0666206,100.31065232499998,0.35489598986746484,0.3435224252298421,0.36650727473464845,162.8,109.0,174.5,20.4,9.25,22.75
kmedoids_cross_convex,45,7.27444325,5.1519903750000005,6.58160275,3.09043101,2.7828767250000004,3.2588888000000003,17.89788742,14.87875665,21.752218199999998,115.54584078999999,113.09874325,121.421576425,1.7942532800000002,1.57490025,2.0849396000000002,145.60285574999997,144.6654788,148.17886857500002,0.3240399200747804,0.3119979150034493,0.3313669701866107,141.2,87.5,162.5,16.4,5.25,18.5
kmedoids_cross_convex,60,6.9812135600000005,6.433464300000001,7.171805000000001,3.9954008799999996,3.718424175,3.854088675,21.03372518,20.524527974999998,21.4810644,161.36836828,159.2065296,165.3492886,3.71003349,2.8190314,2.947845,197.08874139000002,194.053291875,199.12317967500002,0.3136153922447741,0.30521498608516623,0.3141357914208877,106.8,50.25,129.75,11.8,3.25,11.25
kmedoids_cross_convex,90,11.72723563,9.7319311,13.834506575,7.750644960000001,7.017246149999999,8.3086083,35.546351720000004,34.322139,37.394370025,359.77365999000006,237.93389925,279.1542826,9.225576199999999,3.7674282999999997,14.174759675,424.02346850000004,303.0248738,348.926080725,0.30292508046475625,0.29873366912000104,0.301793510801407,68.4,0.75,100.5,11.3,0.75,18.25
kmedoids_cross_convex,120,35.132556369999996,33.18756355,37.29960995,13.018407329999999,12.485657799999998,13.743247275,67.79339610000001,67.10326785000001,71.613772325,259.31418431,241.2921181,276.212694975,5.4641097,5.544820675,5.7582122,380.72265381,365.93746282499995,393.25035135,0.29183941049256623,0.291846257203399,0.2969034936844803,34.5,-0.5,69.25,8.9,1.0,13.75
kmedoids_cross_convex,180,45.82688836,42.287705849999995,50.464726625,22.235715449999997,21.1388249,24.120220325,113.76617357,106.40527895000001,123.968931675,310.80094217,291.815934975,316.305356925,8.720267079999998,8.2977001,8.904471825,501.34998663,474.53930472499997,504.11111255000003,0.2203853000475778,0.22594865224022753,0.26692691818835484,15.0,-23.0,41.75,21.5,0.0,17.75
