base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables
convex_cross,4,Xpress,9.1578446,1.9908018,10.5447043,7.1275725,1.075093,4.141972022121582e8,OPTIMAL,0,0,0.0,0.0,112713,64898
convex_cross,8,Xpress,1.5114336,0.5333727,3.4807411,16.1691015,0.390785,4.1295376880716705e8,OPTIMAL,0,0,0.0,-3.6637359812630166e-15,173961,112418
convex_cross,12,Xpress,1.2539095,0.7475086,4.6130653,28.4646092,0.4241239,4.4282888538513184e8,OPTIMAL,0,0,0.0,2.55351295663786e-15,235209,159938
convex_cross,16,Xpress,1.6987285,0.9181086,5.6612147,49.9949391,0.696171,4.399544765382614e8,OPTIMAL,0,0,0.0,2.1094237467877974e-15,296457,207458
convex_cross,20,Xpress,2.0937604,1.1370115,6.5765712,51.8769725,0.8823683,4.386299753658066e8,OPTIMAL,0,0,0.0,4.218847493575595e-15,357705,254978
convex_cross,30,Xpress,2.9049619,1.7132355,8.8343694,85.2129194,2.0782358,4.3840695613287354e8,OPTIMAL,1,0,0.6660582517518314,7.771561172376096e-15,510825,373778
convex_cross,45,Xpress,5.3435937,2.5498125,12.4872132,131.780413,1.7994363,4.511041559959717e8,OPTIMAL,3,0,6.878181035301468,1.0547118733938987e-14,740505,551978
convex_cross,60,Xpress,9.2005054,3.4640868,16.9414449,162.4642433,2.5247765,4.5172839606316376e8,OPTIMAL,4,0,8.3775466606841,1.587618925213974e-14,970185,730178
convex_cross,90,Xpress,13.682643,5.2592975,24.8492882,241.5256974,3.7688994,4.5236615634986115e8,OPTIMAL,5,0,8.275306761964472,2.531308496145357e-14,1429545,1086578
convex_cross,120,Xpress,27.5059632,6.8746677,38.2977172,294.5692119,5.2354199,4.5383297869083405e8,OPTIMAL,12,0,20.869374714046575,3.375077994860476e-14,1888905,1442978
convex_cross,180,Xpress,67.1832736,11.0323693,57.6922373,323.2055198,7.3951694,4.5625389365997314e8,OPTIMAL,13,2,26.27257959608515,0.03175911205165882,2807625,2155778
