base_name,rp,solver,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,time_to_cluster
convex_cross,4,Xpress,0.6063826,3.1155994,6.2220162,0.2800284,4.141972022121582e8,OPTIMAL,112713,64898,165.3062612,1.4573063125771787e9,OPTIMAL,5979,5685,32029.644797226676,19441.25453766022,1.0016973
convex_cross,8,Xpress,0.672341,4.2804387,17.0839019,0.3822783,4.1295376880716705e8,OPTIMAL,173961,112418,113.6444567,1.044643882457521e9,OPTIMAL,4986,1897,26601.47103061181,4270.736920688407,1.3613765
convex_cross,12,Xpress,0.8224507,4.8841413,29.3790985,0.4678503,4.4282888538513184e8,OPTIMAL,235209,159938,100.61538,7.123225967164661e8,OPTIMAL,3543,1797,10788.650027720496,2173.5020399342857,1.6590964
convex_cross,16,Xpress,1.0989131,6.7252263,52.9003584,0.6477212,4.399544765382614e8,OPTIMAL,296457,207458,97.7002633,7.044344751763798e8,OPTIMAL,4421,693,11927.314627837353,744.3535302288105,1.7416655
convex_cross,20,Xpress,1.2758552,7.1337689,54.3660842,1.081007,4.386299753658066e8,OPTIMAL,357705,254978,108.6052701,6.690983422240152e8,OPTIMAL,3230,511,10295.781274505965,589.8779771180957,1.9201433
convex_cross,30,Xpress,1.7549335,9.5858742,89.157072,1.1361695,4.3840695613287354e8,OPTIMAL,510825,373778,99.5554209,6.513048271332629e8,OPTIMAL,2875,543,9389.441037095508,630.0170688895714,2.5126491
convex_cross,45,Xpress,2.9549132,22.3919541,136.2599434,2.429227,4.511041559959717e8,OPTIMAL,740505,551978,98.9202977,5.454147476003551e8,OPTIMAL,1333,270,4193.221854188081,268.8104903452439,3.6856194
convex_cross,60,Xpress,3.7103793,18.1902308,167.8381251,11.6126393,4.5172839606316376e8,OPTIMAL,970185,730178,97.6698261,5.430046471217544e8,OPTIMAL,1283,211,4132.935540071829,228.98985203588884,5.7491677
convex_cross,90,Xpress,5.6359313,37.7912002,241.9294664,4.1558557,4.5236615634986115e8,OPTIMAL,1429545,1086578,95.8334366,5.3150436337800884e8,OPTIMAL,976,182,3561.2371023578266,211.80862709266884,8.9367538
convex_cross,120,Xpress,9.1232388,47.8333007,296.574245,5.6411736,4.5383297869083405e8,OPTIMAL,1888905,1442978,96.1177474,5.177090543809247e8,OPTIMAL,772,140,2899.6876432968975,163.33579137368937,20.8379759
convex_cross,180,Xpress,15.5731408,71.0211573,333.7285523,8.1743741,4.5625389365997314e8,OPTIMAL,2807625,2155778,96.2573799,5.0212334663563395e8,OPTIMAL,615,123,2038.55998806031,152.6134574670076,52.7217411
conicalb_cross,4,Xpress,1.0844523,6.5348314,5.4151141,0.2219878,4.088540288402939e8,OPTIMAL,112713,64898,81.9012367,3.178789910241316e9,OPTIMAL,19595,10709,106581.59062409887,30934.342215920955,1.3432455
conicalb_cross,8,Xpress,0.7423029,4.3927177,15.7583896,0.3558175,4.156641896535187e8,OPTIMAL,173961,112418,137.1407581,9.837133427790961e8,OPTIMAL,5215,1057,25529.073455537695,1868.7963840257976,1.3572082
conicalb_cross,12,Xpress,0.9863379,5.339949,28.2071915,0.4522351,4.395482478081131e8,OPTIMAL,235209,159938,104.2942451,7.441488586532354e8,OPTIMAL,3827,793,13306.351453404077,1062.5911368762352,1.6008399
conicalb_cross,16,Xpress,1.2294908,7.1995746,46.2659613,0.5779859,4.4266614456049347e8,OPTIMAL,296457,207458,101.6505356,6.539409904924903e8,OPTIMAL,3204,417,9571.995773958268,493.342029539143,1.8217721
conicalb_cross,20,Xpress,1.2429564,7.318216,68.8733535,1.0997005,4.403319557499466e8,OPTIMAL,357705,254978,98.4894205,6.405326280778794e8,OPTIMAL,2760,412,9031.61085379116,458.1376290319958,2.0343122
conicalb_cross,30,Xpress,2.2215305,11.5461302,90.061751,9.5904719,4.499157740645218e8,OPTIMAL,510825,373778,109.9515441,5.589735536430917e8,OPTIMAL,1713,233,4765.449053542774,268.0110090982827,2.5640203
conicalb_cross,45,Xpress,3.1194947,14.5189256,153.0827313,2.0933783,4.503689704158325e8,OPTIMAL,740505,551978,100.4667955,5.420791560359011e8,OPTIMAL,1239,193,4042.1996734144204,197.62457527740986,3.7039535
conicalb_cross,60,Xpress,4.0850521,21.2487699,173.6198766,2.2521851,4.5093742710134125e8,OPTIMAL,970185,730178,93.5259326,5.425133104762583e8,OPTIMAL,1216,174,4131.408614016034,180.70837909169282,5.8799719
conicalb_cross,90,Xpress,7.267669,30.1347156,294.8228374,3.3469689,4.479233152380905e8,OPTIMAL,1429545,1086578,99.4091621,5.352288886518822e8,OPTIMAL,1018,151,3822.624960691852,164.35974345025048,10.585883
conicalb_cross,120,Xpress,9.9661667,51.9910498,363.192883,5.2792667,4.5151455623023224e8,OPTIMAL,1888905,1442978,92.674122,5.1734535471914864e8,OPTIMAL,810,134,2891.054899476339,159.51473461072993,22.0835507
conicalb_cross,180,Xpress,16.0080447,82.3654851,322.4649289,8.7569089,4.548015587297516e8,OPTIMAL,2807625,2155778,90.5483057,5.0351213424139214e8,OPTIMAL,656,104,2143.82355357112,120.46446557747072,50.7105205
0_HourlyBenchmark,1,Xpress,20.3867751,89.5134293,541.0414123,24.3712417,4.685700547504196e8,OPTIMAL,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909,
