base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75,loss_of_load_h2_demand_mean,loss_of_load_h2_demand_q25,loss_of_load_h2_demand_q75,total_lol_mean,total_lol_q25,total_lol_q75
kmedoids_cross_dirac,10,3.27377658,3.1272095,3.4128648,2.75046548,2.3941902,3.0335568,14.547670580000002,14.1484269,15.7058449,18.38222786,17.3052627,18.9151978,1.10910812,0.9190631,0.9659692,40.06324862,39.299206399999996,42.1878475,1.302138193637387,0.8285287189472581,1.6601140863100223,32487.0,18467.0,36593.0,4290.4,2334.0,4933.0,36777.4,21183.0,41526.0,161217.55652122622,105392.74136024874,206275.24914454648,4473.541863815495,2306.5408507915204,5398.80311667852,165691.09838504173,108408.08554333814,211674.052261225
kmedoids_cross_dirac,20,3.3077215200000003,3.2837268,3.3309668,5.327439480000001,4.4030683,5.566012,28.926942399999994,20.5796463,39.3476229,43.885231,41.6842253,46.3357767,2.3346996600000005,1.2928095,3.8083587,83.78203406,77.1857619,90.6756612,0.6626416060549978,0.2741504134011485,1.1942152622806042,17334.8,7239.0,30518.0,2143.4,857.0,3729.0,19478.2,8096.0,34247.0,84252.19025275749,39879.151853029616,149303.063007583,2743.27120224312,822.0222653675204,4884.14830034052,86995.46145500061,40701.17411839714,154187.2113079235
kmedoids_cross_dirac,40,3.7155479399999995,3.6713968,3.7181494,9.71979724,6.2610296,13.9214336,37.541666539999994,28.9109338,49.21013,102.30278666000001,100.016017,105.4401566,2.58669312,2.1607211,2.1955858,155.8664915,143.9097978,174.43974629999997,0.2195837921820467,0.19039307913659845,0.30604613388586777,6744.8,6034.0,7110.0,715.6,311.0,775.0,7460.4,6345.0,7807.0,29573.63780763225,26077.11562670082,43368.78752539326,817.9651158797205,467.1007459855205,992.4593371345203,30391.60292351197,26891.659938096338,43835.888271378775
kmedoids_cross_dirac,60,4.05460802,4.0216724,4.0935286,9.70497158,9.3901747,10.1492302,48.56726306,44.7102123,47.9633824,169.18844859999996,161.0773218,183.6006198,3.2295026,2.6119325,2.9308134,234.74479386000002,222.6438083,235.8659252,0.2308089598535425,0.20018722956265195,0.2630985537675802,6338.2,6409.0,6472.0,619.4,510.0,705.0,6957.6,6982.0,7114.0,32407.135191889945,27836.41681036441,38061.1059803227,789.0765170218699,493.0457377015205,1025.736127252268,33196.21170891182,28987.71872012993,38497.494896924225
kmedoids_cross_dirac,80,4.3579657,4.3267233,4.3571562,10.776273940000001,10.109588,11.2416443,58.89303698,47.834543,61.4224838,221.30930394,203.0062253,232.695012,4.12840796,3.4324585,3.5646406,299.46498852,280.2376275,310.19176960000004,0.1945070180562443,0.20107428204272934,0.23268038250532078,5248.2,4520.0,6158.0,472.6,248.0,604.0,5720.8,4768.0,6694.0,27062.301663740935,27327.679825890584,32573.76629293256,597.4994192141205,350.30483420352056,953.3934477195204,27659.801082955055,28281.073273610105,32924.07112713608
kmedoids_cross_dirac,100,4.7354631,4.7154529,4.7297339,15.36304014,13.6135589,16.3781991,60.96158405999999,56.542166,61.8826325,312.5359394,271.5984493,330.8733952,4.89694902,4.1963866,4.6492328,398.49297572,346.3531419,428.4957246,0.04478130025540854,0.045219974906174985,0.04646589280946652,1651.0,1143.0,1955.0,59.4,15.0,64.0,1710.4,1136.0,2158.0,6164.8064159755995,4898.276332310682,6578.655172173142,66.78352965652066,27.878713579520635,67.80772355952065,6231.58994563212,4929.987772968203,6775.028213927662
kmedoids_cross_dirac,150,5.77525166,5.769313,5.7933389,23.76718124,19.5571983,25.4748556,94.66822414,88.2521669,95.8097347,427.70169797999995,400.0808175,454.4280574,7.62635758,6.5688536,9.5966698,559.5387125999999,554.0009751,581.2580605999999,0.03801813807066663,0.020823695875094337,0.04663140178214411,1472.2,999.0,1521.0,101.8,23.0,107.0,1574.0,1022.0,1628.0,5249.031480373413,1786.3359719403745,8194.499527152158,104.73009798872067,10.847142622520678,113.75849400252066,5353.761578362132,1792.7159698788953,8230.845670999679
kmedoids_cross_dirac,225,7.0656431600000005,7.0267885,7.0707672,41.6318803,36.5127122,47.6976167,163.44142589999998,141.254348,183.039258,538.58697734,506.9004538,524.9308834,21.2744034,9.8476899,15.0234085,772.0003300999999,726.4879755999999,768.8474202,0.028754517995299093,0.013001313087071415,0.047458880273095846,983.6,499.0,953.0,25.8,-39.0,16.0,1009.4,457.0,969.0,3931.130261776034,849.6953639567162,8123.8748074039295,43.629170374520676,-31.63776752947932,35.843860741520686,3974.7594321505553,818.0575964272368,8383.98557766145
kmedoids_cross_dirac,300,8.328357180000001,8.2519813,8.3691944,53.608563460000006,48.6955189,50.0087312,255.62439134000002,250.8292235,260.9290774,754.3338793,755.3323667,783.0446485,16.49513224,17.2010563,17.3278842,1088.39032352,1083.5384801,1118.5035191999998,0.017497165401657386,0.010117383055950235,0.020550932168467477,645.8,376.0,844.0,-15.6,-60.0,22.0,630.2,316.0,889.0,2036.5317666595245,548.6419176258769,1909.7649539053807,-2.713452376079336,-56.4742758344793,16.77586697552067,2033.8183142834453,492.1676417913976,1926.5408208809013
kmedoids_per_dirac,10,2.84284742,2.7527962,2.7994572,5.500756460000001,4.749821,6.2600736,18.82494142,16.3827674,20.4360579,10.87718368,10.4251525,11.0783587,0.95134196,0.9110648,1.00689,38.99707094,35.2257585,39.4903287,1.9206705504625705,1.4499985023032953,1.8688971180141396,40296.6,36615.0,38236.0,5081.4,3636.0,5740.0,45378.0,40268.0,43404.0,235345.75454178717,179576.6535917002,229564.09211286023,6525.75547790747,3865.1023527065204,7454.62668354327,241871.51001969463,183441.7559444067,237018.7187964035
kmedoids_per_dirac,20,2.84520324,2.8280567,2.8635736,7.602267979999999,6.7226262,8.3384504,47.183420999999996,26.6834264,72.6183758,21.76767188,21.4865931,21.7440608,1.31572496,1.270392,1.3943483,80.71428906,59.6369806,105.73347589999999,0.9773438965206562,0.8793305739925645,1.2438100834181662,23385.0,18859.0,26514.0,2409.4,1842.0,2926.0,25794.4,20701.0,29523.0,123299.72547669476,113366.98157334175,154664.58233007995,3004.27307142267,2657.7907797995204,3226.4443172612687,126303.9985481174,116024.77235314126,157891.02664734123
kmedoids_per_dirac,40,3.0762936000000005,3.0481767,3.1077103,8.250028400000001,7.5088497,8.8352138,45.980016039999995,35.9365836,37.9762592,50.92452978,49.2389317,52.1925282,2.66663896,1.9464816,2.2552089,110.89750678,99.40748319999999,106.3625157,0.44451294136103564,0.38991920996163865,0.5335650868650179,11108.4,10409.0,11192.0,1189.0,703.0,1256.0,12297.4,11319.0,12448.0,57993.06017828289,49580.674985101134,71449.45949535067,1489.4212374767205,845.1481567445204,1670.2415853225205,59482.48141575961,50943.603143756656,73119.7010806732
