base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
convex_per,450,1,48.7846438,0.7336685,1.8107947,1.4057398,0.3645535,53.0994003,0.3502774076718475,14.0,0.6727019559174463
conicalb_cross,20,1,21.4532202,0.2871833,0.7203499,0.0220469,0.0197661,22.502566399999996,0.0012488284322873956,0.0,0.0
conicalb_cross,40,1,33.619589,0.3536818,0.7400134,0.0458176,0.0307767,34.78987849999999,0.0009885874031550993,0.0,0.0
conicalb_cross,60,1,45.9189816,0.3288815,0.8015153,0.1307051,0.0466302,47.226713700000005,0.0010003603273457523,0.0,0.0
conicalb_cross,80,1,54.4436039,0.3336906,0.788955,0.1176881,0.0565567,55.7404943,0.001014105726992473,0.0,0.0
conicalb_cross,100,1,64.7747919,0.355536,0.8087382,0.1804854,0.078591,66.19814249999999,0.001033633330664062,0.0,0.0
conicalb_cross,150,1,92.0029433,0.4278015,1.0309008,0.3214719,0.1078075,93.89092500000001,0.001041425722557841,0.0,0.0
conicalb_cross,300,1,166.0411396,0.6022747,1.4436627,0.7608754,0.2066787,169.05463110000002,0.0008717185143841056,0.0,0.0
conicalb_cross,450,1,252.6644323,0.7707155,1.8703887,1.5786096,0.3155278,257.1996739,0.0008188664544590251,0.0,0.0
conicalb_per,20,1,5.441786,0.2849366,0.6736243,0.0345761,0.0198003,6.4547232999999995,8.092008749518088,469.0,15.367958834871404
conicalb_per,40,1,5.6252465,0.3249422,0.7547177,0.0702995,0.0381767,6.813382600000001,0.04128868851889307,6.0,0.08519417723922307
conicalb_per,60,1,9.4311649,0.5114727,0.9609767,0.1587489,0.04417,11.106533200000001,0.04092650969162741,6.0,0.08499249175231349
conicalb_per,80,1,12.3763178,0.3360155,0.7793144,0.1707632,0.0613325,13.723743400000002,0.0005850731024973154,0.0,0.0
conicalb_per,100,1,13.312528,0.3748116,0.8574458,0.2338502,0.0712395,14.849875100000002,0.0005600039185181128,0.0,0.0
conicalb_per,150,1,17.6307689,0.4391623,0.9741981,0.4139365,0.1039229,19.561988699999997,0.0004528162484542281,0.0,0.0
conicalb_per,300,1,33.7648862,0.5506868,1.2745269,0.8124806,0.3084235,36.711004,0.0002883145091470462,0.0,0.0
conicalb_per,450,1,55.1186181,0.8389538,1.9444531,1.3694387,0.3339463,59.60541,0.00028387779951344593,0.0,0.0
0_HourlyBenchmark,1,2,0.0,5.8009331,12.3244775,19.1316665,2.9661999,40.223277,0.0,0.0,0.0
convex_cross,20,2,21.198126,0.3223873,0.6567891,0.0278555,0.0196988,22.2248567,1.4008382846645115,102.0,2.659272296260964
convex_cross,40,2,31.6843407,0.3586159,0.7360388,0.0456071,0.0312727,32.8558752,1.4218090071823235,103.0,2.6986918544515186
convex_cross,60,2,43.6568569,0.3765303,0.8480879,0.070074,0.0430512,44.9946003,1.4217221300833935,103.0,2.6985148219656603
convex_cross,80,2,56.4847348,0.3594415,0.7760999,0.1239149,0.0560111,57.8002022,0.2079545496856159,30.0,0.40315193531770044
convex_cross,100,2,64.359939,0.4033262,0.9096947,0.2154731,0.0679986,65.95643159999999,0.20767889389602456,30.0,0.4027757983723228
