base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
convex_per,100,1,Gurobi,12.2041917,0.4036077,0.8647489,0.2585952,0.0740794,569.18142642703,OPTIMAL,0,0.0,16800,14405,0.1393903,803.4892213273515,OPTIMAL,17,0.7900012316073499
convex_per,150,1,Gurobi,17.850812,0.425805,0.9427816,0.4119054,0.0997988,570.4855830860809,OPTIMAL,0,0.0,25200,21605,0.1411032,804.5533404541661,OPTIMAL,17,0.7934757430642803
convex_per,300,1,Gurobi,36.1770688,0.5643241,1.3675492,0.8725333,0.2045063,569.2165208767098,OPTIMAL,0,0.0,50400,43205,0.1952349,803.9803036794916,OPTIMAL,17,0.7917023466930642
convex_per,450,1,Gurobi,48.7846438,0.7336685,1.8107947,1.4057398,0.3645535,568.399646830491,OPTIMAL,0,0.0,75600,64805,0.1692452,768.4564176282066,OPTIMAL,14,0.6727019559174463
conicalb_cross,20,1,Gurobi,21.4532202,0.2871833,0.7203499,0.0220469,0.0197661,565.4915975335092,OPTIMAL,0,0.0,3360,2885,0.1595005,569.8207520024674,OPTIMAL,0,0.0
conicalb_cross,40,1,Gurobi,33.619589,0.3536818,0.7400134,0.0458176,0.0307767,562.6362563167542,OPTIMAL,0,0.0,6720,5765,0.1556293,569.6726462222547,OPTIMAL,0,0.0
conicalb_cross,60,1,Gurobi,45.9189816,0.3288815,0.8015153,0.1307051,0.0466302,564.4266493858757,OPTIMAL,0,0.0,10080,8645,0.1450522,569.6793463115083,OPTIMAL,0,0.0
conicalb_cross,80,1,Gurobi,54.4436039,0.3336906,0.788955,0.1176881,0.0565567,564.1451378513065,OPTIMAL,0,0.0,13440,11525,0.1380599,569.6871689563303,OPTIMAL,0,0.0
conicalb_cross,100,1,Gurobi,64.7747919,0.355536,0.8087382,0.1804854,0.078591,563.2888142853384,OPTIMAL,0,0.0,16800,14405,0.1371923,569.6982823114654,OPTIMAL,0,0.0
conicalb_cross,150,1,Gurobi,92.0029433,0.4278015,1.0309008,0.3214719,0.1078075,561.4951774521675,OPTIMAL,0,0.0,25200,21605,0.138223,569.7027170398593,OPTIMAL,0,0.0
conicalb_cross,300,1,Gurobi,166.0411396,0.6022747,1.4436627,0.7608754,0.2066787,559.833218763552,OPTIMAL,0,0.0,50400,43205,0.1391597,569.6061349653182,OPTIMAL,0,0.0
conicalb_cross,450,1,Gurobi,252.6644323,0.7707155,1.8703887,1.5786096,0.3155278,558.6911653046448,OPTIMAL,0,0.0,75600,64805,0.1412843,569.5760563278445,OPTIMAL,0,0.0
conicalb_per,20,1,Gurobi,5.441786,0.2849366,0.6736243,0.0345761,0.0198003,457.86396932931314,OPTIMAL,0,0.0,3360,2885,0.3295749,5174.353383239719,OPTIMAL,469,15.367958834871404
conicalb_per,40,1,Gurobi,5.6252465,0.3249422,0.7547177,0.0702995,0.0381767,530.0148997922003,OPTIMAL,0,0.0,6720,5765,0.2657028,592.6078380261753,OPTIMAL,6,0.08519417723922307
conicalb_per,60,1,Gurobi,9.4311649,0.5114727,0.9609767,0.1587489,0.04417,541.590729158162,OPTIMAL,0,0.0,10080,8645,0.1517816,592.4017184224849,OPTIMAL,6,0.08499249175231349
conicalb_per,80,1,Gurobi,12.3763178,0.3360155,0.7793144,0.1707632,0.0613325,558.4363705619635,OPTIMAL,0,0.0,13440,11525,0.1975678,569.4430021860119,OPTIMAL,0,0.0
conicalb_per,100,1,Gurobi,13.312528,0.3748116,0.8574458,0.2338502,0.0712395,561.0324358844097,OPTIMAL,0,0.0,16800,14405,0.1386362,569.428735061935,OPTIMAL,0,0.0
conicalb_per,150,1,Gurobi,17.6307689,0.4391623,0.9741981,0.4139365,0.1039229,561.5064917545382,OPTIMAL,0,0.0,25200,21605,0.1400488,569.3677334836791,OPTIMAL,0,0.0
conicalb_per,300,1,Gurobi,33.7648862,0.5506868,1.2745269,0.8124806,0.3084235,563.8666516408714,OPTIMAL,0,0.0,50400,43205,0.1744844,569.2741138936872,OPTIMAL,0,0.0
conicalb_per,450,1,Gurobi,55.1186181,0.8389538,1.9444531,1.3694387,0.3339463,564.030078038345,OPTIMAL,0,0.0,75600,64805,0.1369202,569.2715889177291,OPTIMAL,0,0.0
0_HourlyBenchmark,1,2,Gurobi,0.0,5.8009331,12.3244775,19.1316665,2.9661999,564.6770551144042,OPTIMAL,0,0.0,613200,525605,0.0,0.0,,0,0.0
convex_cross,20,2,Gurobi,21.198126,0.3223873,0.6567891,0.0278555,0.0196988,562.8721459683586,OPTIMAL,0,0.0,3360,2885,0.2313131,1355.698292390274,OPTIMAL,102,2.659272296260964
convex_cross,40,2,Gurobi,31.6843407,0.3586159,0.7360388,0.0456071,0.0312727,560.700657838139,OPTIMAL,0,0.0,6720,5765,0.1452221,1367.5399782252534,OPTIMAL,103,2.6986918544515186
convex_cross,60,2,Gurobi,43.6568569,0.3765303,0.8480879,0.070074,0.0430512,560.3127164325209,OPTIMAL,0,0.0,10080,8645,0.152965,1367.4909207208727,OPTIMAL,103,2.6985148219656603
convex_cross,80,2,Gurobi,56.4847348,0.3594415,0.7760999,0.1239149,0.0560111,562.7184370624844,OPTIMAL,0,0.0,13440,11525,0.1845735,682.1042178285198,OPTIMAL,30,0.40315193531770044
convex_cross,100,2,Gurobi,64.359939,0.4033262,0.9096947,0.2154731,0.0679986,562.7834269737996,OPTIMAL,0,0.0,16800,14405,0.1391213,681.9485613290282,OPTIMAL,30,0.4027757983723228
