base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
0_HourlyBenchmark,1,1,0.0,3.4743813,8.4605794,8.2730716,1.4073302,21.6153625,0.0,0.0,0.0
convex_cross,20,1,13.5902439,0.562509,1.0987854,0.0301703,0.0302984,15.312007000000001,3.2127039135763873,110.0,3.036728545238253
convex_cross,40,1,16.8509111,0.5368901,1.1539372,0.0649014,0.0387404,18.6453802,3.2327893027801644,109.0,3.0557212172945274
convex_cross,60,1,23.4783594,0.684839,1.2975816,0.1142024,0.0560909,25.6310733,3.1234142439226904,107.0,2.9525098055795143
convex_cross,80,1,30.432514,0.6759305,1.2249972,0.2806139,0.0653339,32.6793895,2.4670163281722175,82.0,2.3327552309104904
convex_cross,100,1,37.566242,0.6919738,1.4011291,0.2580156,0.0801403,39.9975008,2.4670163281722175,82.0,2.3327552309104904
convex_cross,150,1,51.8981757,0.6992707,1.4808726,0.5218954,0.1128725,54.7130869,0.32672658267764726,30.0,0.31173767677569786
convex_cross,300,1,110.7520298,0.9390873,1.9781814,1.1192334,0.2047405,114.9932724,0.1610945079709104,16.0,0.15498113337013386
convex_cross,450,1,175.9858709,1.2755877,2.6844574,1.7895534,0.2930079,182.0284773,0.1613126650559764,16.0,0.1552422774493314
convex_per,20,1,4.1182231,0.5786629,1.1871165,0.0348242,0.029464,5.9482907,2.0643315837714957,46.0,1.949078543611167
convex_per,40,1,5.1687459,0.6796102,1.4523504,0.0589573,0.052975,7.412638800000001,2.0911715814324356,48.0,1.9746518959734671
convex_per,60,1,7.2010656,0.7371026,1.4127732,0.1450498,0.058231,9.5542222,1.572282380437734,38.0,1.4856725596878384
convex_per,80,1,10.0317752,0.7886106,1.4841372,0.1462597,0.067664,12.5184467,1.5724857121818572,38.0,1.4858595721115888
convex_per,100,1,13.7051484,0.7034467,1.4060223,0.2831271,0.0827378,16.1804823,1.5725227597994762,38.0,1.485882254311489
convex_per,150,1,17.6132583,0.6760303,1.3281508,0.4576333,0.1109517,20.1860244,1.5728282821286568,38.0,1.4861537583621405
convex_per,300,1,33.8042165,0.9456206,1.9460158,0.9997506,0.2097077,37.9053112,1.2009583193559255,30.0,1.1357250007096307
convex_per,450,1,52.6743949,1.3242142,2.6935459,1.6931513,0.3029019,58.6882082,0.016277707510397393,2.0,0.016496723782236433
conicalb_cross,20,1,11.0542975,0.5821782,1.3362554,0.038087,0.0457679,13.056586000000001,0.1807421860788976,19.0,0.17283628013357744
conicalb_cross,40,1,18.993783,0.7056376,1.4243071,0.0827531,0.0493009,21.2557817,0.17999782377960769,19.0,0.17221899863749535
conicalb_cross,60,1,25.3043255,0.637057,1.1853603,0.1154025,0.0860932,27.328238499999998,0.17957565362972167,19.0,0.172014586253028
conicalb_cross,80,1,29.6010392,0.5879098,1.1898031,0.2891641,0.0766255,31.744541699999996,0.180483124458612,19.0,0.17283628013357744
conicalb_cross,100,1,37.911666,0.6205402,1.309654,0.3874379,0.0780484,40.3073465,0.18147288015828067,19.0,0.17373223815990557
conicalb_cross,150,1,55.5926693,0.984614,1.5985351,0.567431,0.1119616,58.855211,0.1807911078753989,19.0,0.17326811805192532
conicalb_cross,300,1,115.5346795,1.0955201,2.0374561,1.2745145,0.3690874,120.31125759999999,0.1820459932089317,19.0,0.17447175825828087
conicalb_cross,450,1,202.7960861,1.1396531,2.6651505,1.7242345,0.2831808,208.608305,0.1586956788532477,16.0,0.15261613014694553
conicalb_per,20,1,4.9975422,0.5866206,1.1113734,0.0312784,0.0302847,6.757099299999999,0.35520515417715426,31.0,0.33873472996527565
conicalb_per,40,1,5.4808194,0.6276438,1.2216642,0.0696739,0.0439245,7.443725799999999,0.1771948953976255,19.0,0.17006831404948453
conicalb_per,60,1,8.0992214,0.7198585,1.2460889,0.1149713,0.0544361,10.2345762,0.1767778279859083,19.0,0.16970816240058673
conicalb_per,80,1,10.3695517,0.7536351,1.389973,0.2047077,0.0761511,12.794018600000001,0.1771998472594894,19.0,0.17008419278318843
conicalb_per,100,1,14.8633064,0.7065691,1.2219429,0.2980011,0.0806651,17.1704846,0.17712679454774916,19.0,0.1700180401192457
conicalb_per,150,1,18.2802518,0.8316163,1.2979561,0.4715822,0.1062643,20.9876707,0.17796497054719101,19.0,0.17079077413256294
conicalb_per,300,1,35.3363716,0.9667755,1.864869,1.091886,0.2118228,39.4717249,0.17788047761889544,19.0,0.17079077413256294
conicalb_per,450,1,54.0282772,1.2110968,2.72911,1.871417,0.4176231,60.2575241,0.16136719362305502,16.0,0.15516871742360672
