method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio,lol_ratio
convex,20,99.5,126.1,2.7853674719743333,3.5167481444260367,-0.5994562026436105,-0.8296458303032315
convex,40,54.7,71.9,1.4139167411324582,1.8543302429160842,-0.01283947487040793,-0.005982783018653759
convex,60,46.9,35.3,1.1642103540714215,0.799749952530561,-0.4262173103764596,-0.5115305021183445
convex,80,27.0,19.1,0.6696096378368044,0.5085227212852119,-0.28014132553606236,-0.2652786042257025
convex,100,26.3,19.1,0.6613803529530007,0.5089374366030597,-0.2542153996101364,-0.24939669590922525
convex,150,19.5,17.2,0.3932510598670915,0.4842640837095031,-0.08820662768031189,-0.050787219789796854
convex,300,11.8,13.3,0.20313956176405606,0.31077559430407203,0.08026315789473684,0.049856087758116854
convex,450,6.9,6.5,0.0880761132966287,0.09719245367449994,-0.7426470588235294,-0.8427109088494934
conicalb,20,46.5,169.7,1.0361106006359788,7.037513845528539,-0.9882652700409512,-1.4774044907875201
conicalb,40,27.5,39.4,0.5754603304962808,0.9415567664150334,-1.4692352648958242,-1.9235503963276508
conicalb,60,27.8,19.5,0.5763033882116948,0.36031893373650903,-1.5241740687029819,-1.9120815858786266
conicalb,80,18.0,11.7,0.3772843229542433,0.2169049037141572,-1.2316606997190245,-1.4502425920830737
conicalb,100,17.2,11.9,0.3678368861267538,0.21700839563142377,-1.1739629794826048,-1.4150055027064605
conicalb,150,17.2,8.8,0.36698914898372725,0.14061393809618283,-1.2745967741935484,-1.5205745107875912
conicalb,300,9.3,7.2,0.1323975508927911,0.09705877611651748,-0.8365079365079364,-0.761372724707053
conicalb,450,6.3,6.2,0.08197170183497896,0.08807008300280832,-0.6980042016806722,-0.5889474946738107
