method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio,lol_ratio
kmeans,20,2116.84,5598.259999999999,146.96035928015507,556.4417455887697,0.6111972518827549,0.7249473687994278
kmeans,40,1287.86,2164.5600000000004,66.13666690887669,156.43126155124915,0.39779265698519717,0.5647469349525706
kmeans,60,941.3599999999999,1648.8799999999999,43.01515382213658,100.30653768279483,0.4244348222585623,0.5670750548745864
kmeans,80,757.5399999999998,1197.86,31.999685528889053,63.879634540263865,0.3413452244409765,0.4658740095269134
kmeans,100,603.22,990.54,23.843134091095397,47.48337028637572,0.36035287076811284,0.4557760631079598
kmeans,150,388.12,686.0,13.255993214732749,28.91433461216507,0.3887885451784895,0.47254882904475715
kmeans,300,149.9,188.06,4.055594538381153,5.6460141339317245,0.18285513764496777,0.25770207660130023
kmeans,450,63.08,72.94,1.4323736771392492,1.8362075354932899,-0.16510083756097033,-0.07211663028038218
kmedoids,20,958.9,2449.7400000000002,49.67900119763193,185.41022769281886,0.6040465477791332,0.7200116830922495
kmedoids,40,380.17999999999995,592.0,14.147227858444177,25.55375284030855,0.31047745932238996,0.3877454032189228
kmedoids,60,246.82,314.84000000000003,7.915632336184866,10.68745614955564,0.1779590228359566,0.21617672499751053
kmedoids,80,166.90000000000003,227.74,5.079379567453501,7.409618683544697,0.17633504846613804,0.1952352556739889
kmedoids,100,116.17999999999999,146.7,3.2750942361251694,4.172470382801303,0.230682932220379,0.26076606682252723
kmedoids,150,72.78,90.2,1.8580720921356595,2.457867459625022,0.03700006033032945,0.004235354080780107
kmedoids,300,27.120000000000005,24.32,0.6583783355592435,0.5609552677259133,-0.332929312890481,-0.8978593438967717
kmedoids,450,13.319999999999999,12.46,0.3141811132248641,0.2681361706226327,-Inf,-Inf
