base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
0_HourlyBenchmark,1,1,0.0,3.7087457,9.241633,8.2305271,1.390983,22.571888799999996,0.0,0.0,0.0
kmeans_cross_dirac,20,1,0.2711865,0.5628552600000001,1.04827626,0.03436937999999999,0.03143058,1.94811798,129.30472698613858,1955.4,121.82057901898779
kmeans_cross_dirac,40,1,0.23108225999999998,0.57167188,1.2465262400000001,0.093735,0.048780620000000004,2.1917960000000005,68.01561836761785,1310.6,64.08896433772173
kmeans_cross_dirac,60,1,0.31774484000000003,0.6291802000000001,1.17850674,0.13615436,0.053610420000000006,2.3151965599999995,47.96613114549425,988.8,45.202216751062316
kmeans_cross_dirac,80,1,0.78193628,0.65880206,1.18150866,0.20052086,0.06823846,2.89100632,30.34941593664977,672.6,28.605797549937268
kmeans_cross_dirac,100,1,0.85153308,0.72641616,1.2074209599999999,0.25288104,0.0763664,3.1146176399999996,22.001971240179948,528.0,20.741464652053683
kmeans_cross_dirac,150,1,1.34952692,0.7734622199999999,1.49519666,0.44136615999999995,0.1107598,4.17031176,13.676572115171023,382.0,12.897996652404112
kmeans_cross_dirac,300,1,1.73406874,1.02475688,2.1587580799999997,1.05351332,0.23905764000000002,6.21015466,4.829353583989722,164.4,4.5606009996594405
kmeans_cross_dirac,450,1,2.11658846,1.2664772599999998,2.8712240799999997,1.58902426,0.36379568,8.20710974,2.031753377801163,89.4,1.922161928429921
kmeans_per_dirac,20,1,0.5364422400000001,0.6588506199999999,1.2497012399999998,0.033970719999999996,0.030679440000000002,2.50964426,562.0236537178964,5277.8,529.3889056399855
kmeans_per_dirac,40,1,0.23156468000000002,0.64676756,1.2246235200000002,0.11003470000000001,0.04416315999999999,2.2571536199999995,150.65035292667199,2043.8,141.9249691194636
kmeans_per_dirac,60,1,0.16732646,0.6825089799999999,1.4962841799999997,0.19006947999999996,0.055947920000000005,2.59213702,84.28808188538167,1495.6,79.4171150299053
kmeans_per_dirac,80,1,0.17943791999999997,0.74547346,1.5714026,0.20120504,0.0688881,2.76640712,74.7162551501151,1347.2,70.40113187350951
kmeans_per_dirac,100,1,0.5631080599999999,0.74269518,1.35816822,0.38263590000000003,0.0820166,3.12862396,46.32869597897231,953.6,43.66023922327933
kmeans_per_dirac,150,1,0.24999107999999998,0.77140596,1.4325220799999998,0.5010436800000001,0.11753046,3.0724932600000003,32.318258818850644,718.6,30.46149504894264
kmeans_per_dirac,300,1,1.11788598,1.01158174,2.0351397600000003,1.10396368,0.24027333999999997,5.5088445,4.6041245017995305,149.2,4.347747629161042
