base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
convex_cross_5,40,Gurobi,0.1459819,1.7272583,7.0426804,0.0058936,0.0417832,111.23766778926708,OPTIMAL,880,443,0.0014997,111.23221019588243,OPTIMAL,0,0
convex_per_5,2,Gurobi,0.0267262,1.434525,7.2260589,0.00428,0.0430238,42.66911337076365,OPTIMAL,614,215,0.011001,3972.1148128906507,OPTIMAL,152,0
convex_per_5,4,Gurobi,0.0479455,1.632564,8.1101865,0.0044093,0.0461064,112.83127521008527,OPTIMAL,628,227,0.0083254,112.76911588036869,OPTIMAL,0,0
convex_per_5,6,Gurobi,0.0875416,1.8352045,8.6014561,0.0056987,0.0473791,111.21949757586003,OPTIMAL,642,239,0.0041242,111.23227482278526,OPTIMAL,0,0
convex_per_5,8,Gurobi,0.0996314,1.8181993,9.14789,0.0049166,0.0506031,111.43670550583904,OPTIMAL,656,251,0.0020777,111.232431569176,OPTIMAL,0,0
convex_per_5,10,Gurobi,0.5861998,1.4661891,7.0173593,0.0041815,0.0405799,111.33544935970983,OPTIMAL,670,263,0.0018324,111.23246385402011,OPTIMAL,0,0
convex_per_5,12,Gurobi,0.0920913,1.8912439,7.7840856,0.0051013,0.0476016,111.29393400183044,OPTIMAL,684,275,0.0032016,111.25588395789593,OPTIMAL,0,0
convex_per_5,14,Gurobi,0.294993,1.4865436,6.8412242,0.0056807,0.0420986,111.26964068832442,OPTIMAL,698,287,0.0038678,111.23501468448293,OPTIMAL,0,0
convex_per_5,16,Gurobi,0.2139754,1.5299928,6.8307502,0.005413,0.0440611,111.25732572450434,OPTIMAL,712,299,0.0014892,111.23501468448293,OPTIMAL,0,0
convex_per_5,18,Gurobi,0.094725,1.9527112,7.7719566,0.0050919,0.0519738,111.2933079385241,OPTIMAL,726,311,0.003785,111.25588395789593,OPTIMAL,0,0
convex_per_5,20,Gurobi,0.2610957,1.5267782,7.139042,0.0054215,0.0418719,111.31576803900529,OPTIMAL,740,323,0.0016003,111.25588395789592,OPTIMAL,0,0
convex_per_5,24,Gurobi,0.204047,1.6418122,7.1031721,0.0051832,0.0442514,111.30433151631695,OPTIMAL,768,347,0.0021604,111.25926589234612,OPTIMAL,0,0
convex_per_5,28,Gurobi,0.0896581,2.0908368,8.1655823,0.0056353,0.0495915,111.28526524674596,OPTIMAL,796,371,0.0039479,111.23501468448293,OPTIMAL,0,0
convex_per_5,34,Gurobi,0.2724107,1.6975844,7.3766377,0.0057168,0.0444169,111.26571456753652,OPTIMAL,838,407,0.002277,111.23221019588246,OPTIMAL,0,0
convex_per_5,40,Gurobi,0.196702,1.8344499,7.4888369,0.0066634,0.045005,111.25363271104115,OPTIMAL,880,443,0.0013528,111.23221019588246,OPTIMAL,0,0
